Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.13897670,40.85125775,AULT,BAIR,BAIR100,,On,-459.67,3.065,10/22/2015,Yes,789.12,21.45,21.45,15.50,3.789,20.00,1201.0,1201.0,Grain Harvest,203748,CORN
-86.13899728,40.85125752,AULT,BAIR,BAIR100,,On,-459.67,8.126,10/22/2015,Yes,789.10,58.88,58.88,15.50,3.660,20.00,3297.6,3297.6,Grain Harvest,203748,CORN
-86.13901573,40.85125751,AULT,BAIR,BAIR100,,On,-459.67,11.07,10/22/2015,Yes,789.20,81.59,81.59,15.50,3.597,20.00,4569.0,4569.0,Grain Harvest,203748,CORN
-86.13903459,40.85125760,AULT,BAIR,BAIR100,,On,-459.67,9.980,10/22/2015,Yes,789.31,77.28,77.28,15.50,3.425,20.00,4327.6,4327.6,Grain Harvest,203748,CORN
-86.13904809,40.85125789,AULT,BAIR,BAIR100,,On,-459.67,8.471,10/22/2015,Yes,789.33,84.10,84.10,15.50,2.671,20.00,4709.8,4709.8,Grain Harvest,203748,CORN
-86.13906444,40.85125840,AULT,BAIR,BAIR100,,On,-459.67,11.07,10/22/2015,Yes,789.37,96.02,96.02,15.50,3.058,20.00,5377.4,5377.4,Grain Harvest,203748,CORN
-86.13908513,40.85125832,AULT,BAIR,BAIR100,,On,-459.67,10.06,10/22/2015,Yes,789.27,69.11,69.11,15.50,3.861,20.00,3870.2,3870.2,Grain Harvest,203748,CORN
-86.13910404,40.85125861,AULT,BAIR,BAIR100,,On,-459.67,13.73,10/22/2015,Yes,789.39,101.39,101.39,15.50,3.590,20.00,5677.9,5677.9,Grain Harvest,203748,CORN
-86.13912396,40.85125871,AULT,BAIR,BAIR100,,On,-459.67,10.57,10/22/2015,Yes,789.52,76.75,76.75,15.50,3.651,20.00,4297.8,4297.8,Grain Harvest,203748,CORN
-86.13914434,40.85125871,AULT,BAIR,BAIR100,,On,-459.67,13.85,10/22/2015,Yes,789.50,98.17,98.17,15.50,3.740,20.00,5497.7,5497.7,Grain Harvest,203748,CORN
-86.13916351,40.85125897,AULT,BAIR,BAIR100,,On,-459.67,11.09,10/22/2015,Yes,789.61,81.87,81.87,15.50,3.593,20.00,4584.5,4584.5,Grain Harvest,203748,CORN
-86.13918319,40.85125931,AULT,BAIR,BAIR100,,On,-459.67,11.97,10/22/2015,Yes,789.71,86.50,86.50,15.50,3.671,20.00,4843.9,4843.9,Grain Harvest,203748,CORN
-86.13920309,40.85125955,AULT,BAIR,BAIR100,,On,-459.67,11.85,10/22/2015,Yes,789.79,80.30,80.30,15.50,3.915,20.00,4496.9,4496.9,Grain Harvest,203748,CORN
-86.13922321,40.85125964,AULT,BAIR,BAIR100,,On,-459.67,10.77,10/22/2015,Yes,789.81,76.61,76.61,15.50,3.729,20.00,4290.3,4290.3,Grain Harvest,203748,CORN
-86.13924294,40.85125967,AULT,BAIR,BAIR100,,On,-459.67,11.48,10/22/2015,Yes,789.88,84.47,84.47,15.50,3.604,20.00,4730.1,4730.1,Grain Harvest,203748,CORN
-86.13926306,40.85125973,AULT,BAIR,BAIR100,,On,-459.67,9.751,10/22/2015,Yes,789.89,70.40,70.40,15.50,3.673,20.00,3942.2,3942.2,Grain Harvest,203748,CORN
-86.13928280,40.85125997,AULT,BAIR,BAIR100,,On,-459.67,13.59,10/22/2015,Yes,789.93,99.78,99.78,5.600,3.610,20.00,5587.7,5587.7,Grain Harvest,203748,CORN
-86.13930253,40.85125996,AULT,BAIR,BAIR100,,On,-459.67,10.47,10/22/2015,Yes,789.95,75.85,75.85,6.600,3.660,20.00,4247.6,4247.6,Grain Harvest,203748,CORN
-86.13932280,40.85125999,AULT,BAIR,BAIR100,,On,-459.67,10.94,10/22/2015,Yes,789.87,77.80,77.80,7.400,3.729,20.00,4356.6,4356.6,Grain Harvest,203748,CORN
-86.13934271,40.85126000,AULT,BAIR,BAIR100,,On,-459.67,8.240,10/22/2015,Yes,789.88,58.84,58.84,8.300,3.713,20.00,3295.2,3295.2,Grain Harvest,203748,CORN
-86.13936282,40.85125996,AULT,BAIR,BAIR100,,On,-459.67,9.777,10/22/2015,Yes,789.89,69.40,69.40,9.100,3.736,20.00,3886.6,3886.6,Grain Harvest,203748,CORN
