Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.16755420,40.96500728,AULT,CALLOWAY,ACCESS48,,On,-459.67,1.719,7/18/2015,Yes,821.68,28.98,28.98,13.50,1.007,29.17,1739.1,1739.1,Grain Harvest,2010385416,WHEAT
-86.16755250,40.96500216,AULT,CALLOWAY,ACCESS48,,On,-459.67,2.559,7/18/2015,Yes,821.68,40.97,40.97,13.50,1.031,29.98,2458.4,2458.4,Grain Harvest,2010385416,WHEAT
-86.16755109,40.96499593,AULT,CALLOWAY,ACCESS48,,On,-459.67,3.307,7/18/2015,Yes,821.67,52.46,52.46,13.50,1.040,30.00,3147.9,3147.9,Grain Harvest,2010385416,WHEAT
-86.16757371,40.96499381,AULT,CALLOWAY,ACCESS48,,On,-459.67,7.438,7/18/2015,Yes,819.64,82.26,82.26,13.50,1.492,30.00,4935.3,4935.3,Grain Harvest,2010385416,WHEAT
-86.16757256,40.96498682,AULT,CALLOWAY,ACCESS48,,On,-459.67,8.030,7/18/2015,Yes,819.67,91.35,91.35,13.50,1.526,28.52,5481.1,5481.1,Grain Harvest,2010385416,WHEAT
-86.16757135,40.96497968,AULT,CALLOWAY,ACCESS48,,On,-459.67,5.597,7/18/2015,Yes,819.67,61.99,61.99,13.50,1.490,30.00,3719.5,3719.5,Grain Harvest,2010385416,WHEAT
-86.16757015,40.96497261,AULT,CALLOWAY,ACCESS48,,On,-459.67,6.954,7/18/2015,Yes,819.67,77.02,77.02,13.50,1.490,30.00,4621.3,4621.3,Grain Harvest,2010385416,WHEAT
-86.16756338,40.96495505,AULT,CALLOWAY,ACCESS48,,On,-459.67,6.130,7/18/2015,Yes,812.01,69.24,69.24,13.50,1.461,30.00,4154.3,4154.3,Grain Harvest,2010385416,WHEAT
-86.16756239,40.96494951,AULT,CALLOWAY,ACCESS48,,On,-459.67,6.015,7/18/2015,Yes,811.97,88.03,88.03,13.50,1.127,30.00,5281.7,5281.7,Grain Harvest,2010385416,WHEAT
-86.16756154,40.96494164,AULT,CALLOWAY,ACCESS48,,On,-459.67,6.182,7/18/2015,Yes,812.00,67.45,67.45,13.50,1.512,30.00,4047.2,4047.2,Grain Harvest,2010385416,WHEAT
-86.16756079,40.96493309,AULT,CALLOWAY,ACCESS48,,On,-459.67,6.526,7/18/2015,Yes,812.08,55.14,55.14,13.50,1.953,30.00,3308.5,3308.5,Grain Harvest,2010385416,WHEAT
-86.16755972,40.96492444,AULT,CALLOWAY,ACCESS48,,On,-459.67,7.683,7/18/2015,Yes,812.07,65.29,65.29,4.500,1.942,30.00,3917.3,3917.3,Grain Harvest,2010385416,WHEAT
-86.16755896,40.96491632,AULT,CALLOWAY,ACCESS48,,On,-459.67,9.116,7/18/2015,Yes,812.07,76.93,76.93,7.800,1.955,30.00,4616.1,4616.1,Grain Harvest,2010385416,WHEAT
-86.16755841,40.96490751,AULT,CALLOWAY,ACCESS48,,On,-459.67,7.382,7/18/2015,Yes,812.06,62.80,62.80,10.20,1.939,30.00,3768.0,3768.0,Grain Harvest,2010385416,WHEAT
