Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.16905704,40.95302668,AULT,CALLOWAY,BANK53,,On,-459.67,6.387,11/4/2015,No,800.07,53.63,53.63,15.50,3.159,20.00,3003.1,3003.1,Grain Harvest,203748,CORN
-86.16905524,40.95301283,AULT,CALLOWAY,BANK53,,On,-459.67,9.953,11/4/2015,No,798.95,77.02,77.02,15.50,3.427,20.00,4312.9,4312.9,Grain Harvest,203748,CORN
-86.16904684,40.95299624,AULT,CALLOWAY,BANK53,,On,-459.67,11.04,11/4/2015,Yes,806.84,77.42,77.42,15.50,3.783,20.00,4335.4,4335.4,Grain Harvest,203748,CORN
-86.16904544,40.95298071,AULT,CALLOWAY,BANK53,,On,-459.67,14.56,11/4/2015,Yes,807.81,103.56,103.56,15.50,3.729,20.00,5799.3,5799.3,Grain Harvest,203748,CORN
-86.16904490,40.95296477,AULT,CALLOWAY,BANK53,,On,-459.67,14.78,11/4/2015,Yes,807.49,103.64,103.64,15.50,3.783,20.00,5803.6,5803.6,Grain Harvest,203748,CORN
-86.16904453,40.95294797,AULT,CALLOWAY,BANK53,,On,-459.67,18.62,11/4/2015,Yes,807.13,118.12,118.12,15.50,4.181,20.00,6614.8,6614.8,Grain Harvest,203748,CORN
-86.16904392,40.95293123,AULT,CALLOWAY,BANK53,,On,-459.67,16.55,11/4/2015,Yes,806.72,108.79,108.79,15.50,4.035,20.00,6092.0,6092.0,Grain Harvest,203748,CORN
-86.16904364,40.95291442,AULT,CALLOWAY,BANK53,,On,-459.67,21.50,11/4/2015,Yes,806.49,141.59,141.59,15.50,4.026,20.00,7929.3,7929.3,Grain Harvest,203748,CORN
-86.16904329,40.95289785,AULT,CALLOWAY,BANK53,,On,-459.67,19.15,11/4/2015,Yes,806.02,125.20,125.20,15.50,4.056,20.00,7011.4,7011.4,Grain Harvest,203748,CORN
-86.16904289,40.95288105,AULT,CALLOWAY,BANK53,,On,-459.67,20.88,11/4/2015,Yes,805.80,139.21,139.21,5.800,3.977,20.00,7795.9,7795.9,Grain Harvest,203748,CORN
