Longitude,Latitude,Field,Dataset,Product - Name,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Sky Cond,Wind Speed(mph),Wind Dir,Air Temp(¡F),Humidity(%),Soil Tex,Soil Cond,Soil Moist,Crop Resid,Nozzle PN,Pass Num,Speed(mph),Prod(ac/h),Crop Flw(V)(bu/h),Date
-86.17221991,40.96849391,CHURCH17,15/07/18-17:58:43,SOYBEANS,1,3.012,88.7,1,809.61,10/9/15,On,25,Yes,2.42,13,1400.3,23.34,1400.3,23.34,In,0.00046,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,2.054,6.223,145.23,10/9/15
-86.17220858,40.96849389,CHURCH17,15/07/18-17:58:43,SOYBEANS,2,3.222,90,1,809.69,10/9/15,On,25,Yes,4.112,13,2223.6,37.06,2223.6,37.06,In,-0.0036,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,2.197,6.657,246.69,10/9/15
-86.17219526,40.96849302,CHURCH17,15/07/18-17:58:43,SOYBEANS,3,3.343,95,1,809.81,10/9/15,On,25,Yes,7.443,13,3879.1,64.65,3879.1,64.65,In,-0.0018,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,2.279,6.907,446.57,10/9/15
-86.17218081,40.96849209,CHURCH17,15/07/18-17:58:43,SOYBEANS,4,3.612,94.9,1,809.9,10/9/15,On,25,Yes,6.908,13,3332.4,55.54,3332.4,55.54,In,-0.0041,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,2.463,7.463,414.5,10/9/15
-86.17216695,40.96849135,CHURCH17,15/07/18-17:58:43,SOYBEANS,5,3.786,94.1,1,810.07,10/9/15,On,25,Yes,7.534,13,3467.1,57.79,3467.1,57.79,In,-0.0018,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,2.581,7.822,452.02,10/9/15
-86.1721525,40.96849028,CHURCH17,15/07/18-17:58:43,SOYBEANS,6,3.885,95.6,1,810.14,10/9/15,On,25,Yes,12.36,13,5544.4,92.41,5544.4,92.41,In,-0.0041,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,2.649,8.026,741.64,10/9/15
-86.17213809,40.96848862,CHURCH17,15/07/18-17:58:43,SOYBEANS,7,3.753,98.7,1,810.08,10/9/15,On,25,Yes,12.81,13,5947.4,99.12,5947.4,99.12,In,0.00046,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,2.559,7.755,768.67,10/9/15
-86.17212362,40.96848574,CHURCH17,15/07/18-17:58:43,SOYBEANS,8,3.786,104.8,1,811.5,10/9/15,On,25,Yes,12.4,13,5708.1,95.13,5708.1,95.13,In,-0.0032,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,2.581,7.822,744.18,10/9/15
-86.17210993,40.96848352,CHURCH17,15/07/18-17:58:43,SOYBEANS,9,3.688,102.1,1,811.42,10/9/15,On,25,Yes,11.77,13,5561.9,92.7,5561.9,92.7,In,-2.59E-09,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,2.514,7.619,706.28,10/9/15
-86.17210226,40.96848203,CHURCH17,15/07/18-17:58:43,SOYBEANS,10,2.592,104.4,1,811.38,10/9/15,On,25,Yes,8.044,13,5407.3,90.12,5407.3,90.12,In,-0.0041,Unknown,0,Unknown,-459.67,0,None,Unknown,Unknown,Unknown,,4,1.767,5.355,482.61,10/9/15
