Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.14503595,40.90953407,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,1.343,10/24/2015,Yes,810.03,11.67,11.67,15.50,3.051,20.00,653.77,653.77,Grain Harvest,203748,CORN
-86.14502052,40.90952778,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,6.305,10/24/2015,Yes,809.45,55.08,55.08,15.50,3.036,20.00,3084.7,3084.7,Grain Harvest,203748,CORN
-86.14500288,40.90952100,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,14.28,10/24/2015,Yes,808.53,108.56,108.56,15.50,3.487,20.00,6079.1,6079.1,Grain Harvest,203748,CORN
-86.14498880,40.90951579,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,17.27,10/24/2015,Yes,808.40,160.22,160.22,15.50,2.859,20.00,8972.2,8972.2,Grain Harvest,203748,CORN
-86.14497582,40.90951213,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,20.57,10/24/2015,Yes,808.49,186.43,186.43,15.50,2.926,20.00,10440,10440,Grain Harvest,203748,CORN
-86.14496159,40.90950922,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,16.51,10/24/2015,Yes,808.50,156.42,156.42,15.50,2.798,20.00,8759.7,8759.7,Grain Harvest,203748,CORN
-86.14494492,40.90950747,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,20.31,10/24/2015,Yes,808.30,167.64,167.64,15.50,3.212,20.00,9388.1,9388.1,Grain Harvest,203748,CORN
-86.14492650,40.90950576,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,16.32,10/24/2015,Yes,808.34,120.14,120.14,15.50,3.601,20.00,6727.7,6727.7,Grain Harvest,203748,CORN
-86.14490571,40.90950506,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,20.13,10/24/2015,Yes,808.22,136.19,136.19,15.50,3.919,20.00,7626.4,7626.4,Grain Harvest,203748,CORN
-86.14488421,40.90950440,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,22.57,10/24/2015,Yes,808.18,139.28,139.28,15.50,4.297,20.00,7799.7,7799.7,Grain Harvest,203748,CORN
-86.14485961,40.90950361,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,22.37,10/24/2015,Yes,808.15,130.50,130.50,15.50,4.545,20.00,7308.1,7308.1,Grain Harvest,203748,CORN
-86.14483562,40.90950262,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,27.19,10/24/2015,Yes,808.19,161.80,161.80,4.900,4.456,20.00,9060.9,9060.9,Grain Harvest,203748,CORN
-86.14481089,40.90950243,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,28.02,10/24/2015,Yes,808.24,154.86,154.86,7.100,4.798,20.00,8672.1,8672.1,Grain Harvest,203748,CORN
-86.14478438,40.90950238,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,31.58,10/24/2015,Yes,808.22,169.76,169.76,9.700,4.932,20.00,9506.5,9506.5,Grain Harvest,203748,CORN
-86.14475786,40.90950248,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,23.22,10/24/2015,Yes,808.25,131.48,131.48,12.10,4.684,20.00,7362.8,7362.8,Grain Harvest,203748,CORN
-86.14472998,40.90950254,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,33.61,10/24/2015,Yes,808.27,186.09,186.09,14.30,4.789,20.00,10421,10421,Grain Harvest,203748,CORN
-86.14470137,40.90950255,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,34.15,10/24/2015,Yes,808.23,170.37,170.98,15.80,5.297,20.00,9540.8,9574.8,Grain Harvest,203748,CORN
-86.14467371,40.90950288,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,36.03,10/24/2015,Yes,808.34,171.06,172.90,16.40,5.525,20.00,9579.3,9682.4,Grain Harvest,203748,CORN
-86.14464586,40.90950335,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,40.34,10/24/2015,Yes,808.58,205.46,207.67,16.40,5.152,20.00,11506,11629,Grain Harvest,203748,CORN
-86.14461765,40.90950377,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,40.93,10/24/2015,Yes,808.65,201.37,203.54,16.40,5.333,20.00,11277,11398,Grain Harvest,203748,CORN
-86.14458982,40.90950410,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,44.82,10/24/2015,Yes,808.79,227.05,227.05,15.50,5.234,20.00,12715,12715,Grain Harvest,203748,CORN
-86.14456197,40.90950449,AULT,CALLOWAY,DEEDSVILLE SOUTH24,,On,-459.67,45.03,10/24/2015,Yes,808.89,231.31,231.31,15.30,5.163,20.00,12953,12953,Grain Harvest,203748,CORN
