Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.15539465,40.96055931,AULT,CALLOWAY,MACY25,,On,-459.67,2.888,11/3/2015,Yes,831.47,36.64,37.17,16.70,2.060,20.00,2051.9,2081.5,Grain Harvest,203748,CORN
-86.15541297,40.96055926,AULT,CALLOWAY,MACY25,,On,-459.67,13.07,11/3/2015,Yes,831.34,100.55,101.99,16.70,3.398,20.00,5630.6,5711.7,Grain Harvest,203748,CORN
-86.15543117,40.96055908,AULT,CALLOWAY,MACY25,,On,-459.67,14.18,11/3/2015,Yes,831.29,106.21,107.74,16.70,3.490,20.00,5947.7,6033.4,Grain Harvest,203748,CORN
-86.15545342,40.96055884,AULT,CALLOWAY,MACY25,,On,-459.67,17.36,11/3/2015,Yes,831.24,105.68,106.94,16.50,4.304,20.00,5917.9,5988.7,Grain Harvest,203748,CORN
-86.15547729,40.96055855,AULT,CALLOWAY,MACY25,,On,-459.67,20.81,11/3/2015,Yes,831.22,120.12,120.41,15.70,4.583,20.00,6727.0,6742.9,Grain Harvest,203748,CORN
-86.15550396,40.96055820,AULT,CALLOWAY,MACY25,,On,-459.67,19.97,11/3/2015,Yes,831.14,104.85,105.23,15.80,5.033,20.00,5871.7,5892.6,Grain Harvest,203748,CORN
-86.15553269,40.96055797,AULT,CALLOWAY,MACY25,,On,-459.67,22.05,11/3/2015,Yes,831.01,108.56,109.34,16.10,5.349,20.00,6079.3,6122.8,Grain Harvest,203748,CORN
-86.15556174,40.96055764,AULT,CALLOWAY,MACY25,,On,-459.67,21.98,11/3/2015,Yes,830.91,105.37,106.25,16.20,5.485,20.00,5900.5,5949.8,Grain Harvest,203748,CORN
-86.15559084,40.96055702,AULT,CALLOWAY,MACY25,,On,-459.67,30.17,11/3/2015,Yes,830.83,147.29,147.47,15.60,5.425,20.00,8248.3,8258.1,Grain Harvest,203748,CORN
-86.15562007,40.96055646,AULT,CALLOWAY,MACY25,,On,-459.67,25.41,11/3/2015,Yes,830.74,122.62,122.77,15.60,5.489,20.00,6867.0,6875.1,Grain Harvest,203748,CORN
-86.15564952,40.96055549,AULT,CALLOWAY,MACY25,,On,-459.67,33.43,11/3/2015,Yes,830.67,158.41,158.97,15.80,5.577,20.00,8870.7,8902.3,Grain Harvest,203748,CORN
-86.15567915,40.96055440,AULT,CALLOWAY,MACY25,,On,-459.67,28.78,11/3/2015,Yes,830.61,135.81,136.29,15.80,5.599,20.00,7605.2,7632.3,Grain Harvest,203748,CORN
-86.15570903,40.96055361,AULT,CALLOWAY,MACY25,,On,-459.67,33.25,11/3/2015,Yes,830.53,156.23,156.23,15.40,5.644,20.00,8749.0,8749.0,Grain Harvest,203748,CORN
-86.15573872,40.96055315,AULT,CALLOWAY,MACY25,,On,-459.67,36.54,11/3/2015,Yes,830.51,174.40,175.02,15.80,5.536,20.00,9766.3,9801.1,Grain Harvest,203748,CORN
-86.15576832,40.96055245,AULT,CALLOWAY,MACY25,,On,-459.67,34.22,11/3/2015,Yes,830.43,161.44,162.40,16.00,5.588,20.00,9040.4,9094.2,Grain Harvest,203748,CORN
-86.15579821,40.96055177,AULT,CALLOWAY,MACY25,,On,-459.67,37.79,11/3/2015,Yes,830.41,177.22,178.48,16.10,5.615,20.00,9924.1,9995.0,Grain Harvest,203748,CORN
-86.15582775,40.96055108,AULT,CALLOWAY,MACY25,,On,-459.67,35.04,11/3/2015,Yes,830.44,167.46,168.06,15.80,5.530,20.00,9377.7,9411.1,Grain Harvest,203748,CORN
-86.15585778,40.96055052,AULT,CALLOWAY,MACY25,,On,-459.67,40.19,11/3/2015,Yes,830.36,190.42,191.33,15.90,5.570,20.00,10664,10714,Grain Harvest,203748,CORN
-86.15588755,40.96054995,AULT,CALLOWAY,MACY25,,On,-459.67,38.41,11/3/2015,Yes,830.32,179.13,179.77,15.80,5.666,20.00,10031,10067,Grain Harvest,203748,CORN
-86.15591765,40.96054954,AULT,CALLOWAY,MACY25,,On,-459.67,44.18,11/3/2015,Yes,830.20,204.90,206.61,16.20,5.671,20.00,11474,11570,Grain Harvest,203748,CORN
-86.15594729,40.96054909,AULT,CALLOWAY,MACY25,,On,-459.67,39.48,11/3/2015,Yes,830.14,189.15,190.50,16.10,5.496,20.00,10592,10668,Grain Harvest,203748,CORN
-86.15597686,40.96054865,AULT,CALLOWAY,MACY25,,On,-459.67,34.59,11/3/2015,Yes,830.16,162.80,163.38,15.80,5.615,20.00,9116.7,9149.2,Grain Harvest,203748,CORN
-86.15600677,40.96054850,AULT,CALLOWAY,MACY25,,On,-459.67,38.39,11/3/2015,Yes,830.14,181.85,183.37,16.20,5.552,20.00,10184,10269,Grain Harvest,203748,CORN
-86.15603657,40.96054837,AULT,CALLOWAY,MACY25,,On,-459.67,34.14,11/3/2015,Yes,830.15,159.85,160.61,15.90,5.637,20.00,8951.6,8994.2,Grain Harvest,203748,CORN
-86.15606655,40.96054840,AULT,CALLOWAY,MACY25,,On,-459.67,36.66,11/3/2015,Yes,830.09,172.38,172.58,15.60,5.633,20.00,9653.0,9664.4,Grain Harvest,203748,CORN
-86.15609628,40.96054836,AULT,CALLOWAY,MACY25,,On,-459.67,32.56,11/3/2015,Yes,830.12,153.71,154.08,15.70,5.604,20.00,8607.9,8628.4,Grain Harvest,203748,CORN
-86.15612625,40.96054800,AULT,CALLOWAY,MACY25,,On,-459.67,34.11,11/3/2015,Yes,830.10,160.70,161.85,16.10,5.588,20.00,8999.3,9063.7,Grain Harvest,203748,CORN
-86.15615558,40.96054744,AULT,CALLOWAY,MACY25,,On,-459.67,29.58,11/3/2015,Yes,830.23,138.67,140.00,16.30,5.604,20.00,7765.6,7839.8,Grain Harvest,203748,CORN
-86.15618582,40.96054744,AULT,CALLOWAY,MACY25,,On,-459.67,32.59,11/3/2015,Yes,830.18,149.76,150.83,16.10,5.729,20.00,8386.7,8446.7,Grain Harvest,203748,CORN
-86.15621557,40.96054722,AULT,CALLOWAY,MACY25,,On,-459.67,29.30,11/3/2015,Yes,830.23,137.22,137.54,15.70,5.648,20.00,7684.2,7702.4,Grain Harvest,203748,CORN
-86.15624559,40.96054683,AULT,CALLOWAY,MACY25,,On,-459.67,27.31,11/3/2015,Yes,830.19,128.01,128.46,15.80,5.637,20.00,7168.4,7193.9,Grain Harvest,203748,CORN
-86.15627567,40.96054663,AULT,CALLOWAY,MACY25,,On,-459.67,31.01,11/3/2015,Yes,830.13,144.56,145.42,16.00,5.655,20.00,8095.3,8143.5,Grain Harvest,203748,CORN
-86.15630566,40.96054678,AULT,CALLOWAY,MACY25,,On,-459.67,28.25,11/3/2015,Yes,830.08,130.25,131.18,16.10,5.711,20.00,7294.0,7346.1,Grain Harvest,203748,CORN
