Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.17121644,40.94589325,AULT,CALLOWAY,MUCK17,,On,-459.67,2.852,11/5/2015,Yes,812.27,35.89,35.89,15.50,2.107,20.00,2009.9,2009.9,Grain Harvest,203748,CORN
-86.17122446,40.94589539,AULT,CALLOWAY,MUCK17,,On,-459.67,8.001,11/5/2015,Yes,812.46,131.36,131.36,15.50,1.615,20.00,7356.4,7356.4,Grain Harvest,203748,CORN
-86.17123379,40.94589799,AULT,CALLOWAY,MUCK17,,On,-459.67,9.144,11/5/2015,Yes,812.60,130.28,130.28,15.50,1.861,20.00,7295.7,7295.7,Grain Harvest,203748,CORN
-86.17124218,40.94590011,AULT,CALLOWAY,MUCK17,,On,-459.67,6.147,11/5/2015,Yes,812.54,108.76,108.76,15.50,1.499,20.00,6090.4,6090.4,Grain Harvest,203748,CORN
-86.17123150,40.94589801,AULT,CALLOWAY,MUCK17,,On,-459.67,5.108,11/5/2015,Yes,812.70,47.24,47.24,15.50,2.868,20.00,2645.3,2645.3,Grain Harvest,203748,CORN
-86.17122363,40.94589540,AULT,CALLOWAY,MUCK17,,On,-459.67,3.963,11/5/2015,Yes,812.66,64.89,64.89,15.50,1.620,20.00,3633.9,3633.9,Grain Harvest,203748,CORN
-86.17122112,40.94589442,AULT,CALLOWAY,MUCK17,,On,-459.67,2.386,11/5/2015,Yes,812.61,170.37,170.37,15.50,0.371,20.00,9540.8,9540.8,Grain Harvest,203748,CORN
-86.17122383,40.94589430,AULT,CALLOWAY,MUCK17,,On,-459.67,1.597,11/5/2015,Yes,812.46,29.58,29.58,15.50,1.432,20.00,1656.6,1656.6,Grain Harvest,203748,CORN
-86.17130136,40.94590216,AULT,CALLOWAY,MUCK17,,On,-459.67,1.124,11/5/2015,Yes,812.69,11.68,11.68,15.50,2.552,20.00,653.85,653.85,Grain Harvest,203748,CORN
-86.17134731,40.94589518,AULT,CALLOWAY,MUCK17,,On,-459.67,3.654,11/5/2015,No,795.70,40.00,40.00,15.50,2.423,20.00,2240.1,2240.1,Grain Harvest,203748,CORN
-86.17136495,40.94589549,AULT,CALLOWAY,MUCK17,,On,-459.67,5.704,11/5/2015,No,796.07,45.94,45.94,15.50,3.293,20.00,2572.4,2572.4,Grain Harvest,203748,CORN
-86.17138492,40.94589554,AULT,CALLOWAY,MUCK17,,On,-459.67,13.55,11/5/2015,No,796.34,99.51,99.51,15.50,3.610,20.00,5572.6,5572.6,Grain Harvest,203748,CORN
-86.17140558,40.94589543,AULT,CALLOWAY,MUCK17,,On,-459.67,15.31,11/5/2015,No,796.37,108.58,108.58,15.50,3.740,20.00,6080.4,6080.4,Grain Harvest,203748,CORN
-86.17142816,40.94589558,AULT,CALLOWAY,MUCK17,,On,-459.67,17.72,11/5/2015,No,796.44,117.13,117.13,15.50,4.011,20.00,6559.1,6559.1,Grain Harvest,203748,CORN
-86.17145165,40.94589583,AULT,CALLOWAY,MUCK17,,On,-459.67,20.72,11/5/2015,No,796.43,127.85,127.85,15.50,4.297,20.00,7159.6,7159.6,Grain Harvest,203748,CORN
-86.17147681,40.94589537,AULT,CALLOWAY,MUCK17,,On,-459.67,20.17,11/5/2015,No,796.37,108.96,108.96,15.50,4.908,20.00,6101.6,6101.6,Grain Harvest,203748,CORN
-86.17150709,40.94589449,AULT,CALLOWAY,MUCK17,,On,-459.67,23.94,11/5/2015,No,796.22,113.28,113.28,15.50,5.604,20.00,6343.7,6343.7,Grain Harvest,203748,CORN
-86.17153692,40.94589383,AULT,CALLOWAY,MUCK17,,On,-459.67,20.48,11/5/2015,No,796.06,99.69,99.69,15.50,5.447,20.00,5582.7,5582.7,Grain Harvest,203748,CORN
-86.17156716,40.94589243,AULT,CALLOWAY,MUCK17,,On,-459.67,31.23,11/5/2015,No,795.75,149.46,149.46,15.50,5.541,20.00,8369.9,8369.9,Grain Harvest,203748,CORN
-86.17159680,40.94589172,AULT,CALLOWAY,MUCK17,,On,-459.67,21.88,11/5/2015,No,795.48,108.49,108.49,15.50,5.349,20.00,6075.6,6075.6,Grain Harvest,203748,CORN
-86.17161886,40.94589187,AULT,CALLOWAY,MUCK17,,On,-459.67,25.19,11/5/2015,No,795.69,149.15,149.15,5.900,4.478,20.00,8352.2,8352.2,Grain Harvest,203748,CORN
-86.17164294,40.94589158,AULT,CALLOWAY,MUCK17,,On,-459.67,24.89,11/5/2015,No,795.87,149.16,149.16,7.800,4.425,20.00,8352.8,8352.8,Grain Harvest,203748,CORN
-86.17166578,40.94589089,AULT,CALLOWAY,MUCK17,,On,-459.67,20.19,11/5/2015,No,795.76,125.78,125.78,9.500,4.257,20.00,7043.5,7043.5,Grain Harvest,203748,CORN
-86.17168949,40.94589029,AULT,CALLOWAY,MUCK17,,On,-459.67,17.30,11/5/2015,No,796.58,106.87,106.87,11.00,4.293,20.00,5984.9,5984.9,Grain Harvest,203748,CORN
-86.17171263,40.94588931,AULT,CALLOWAY,MUCK17,,On,-459.67,14.37,11/5/2015,No,796.87,87.25,87.25,12.20,4.366,20.00,4885.9,4885.9,Grain Harvest,203748,CORN
