Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.16098476,40.93771844,AULT,CRISPEN,CRISPEN8,,On,-459.67,1.439,10/25/2015,Yes,818.76,22.81,22.81,15.50,1.673,20.00,1277.4,1277.4,Grain Harvest,203748,CORN
-86.16097694,40.93772294,AULT,CRISPEN,CRISPEN8,,On,-459.67,2.687,10/25/2015,Yes,818.81,40.90,40.90,15.50,1.743,20.00,2290.2,2290.2,Grain Harvest,203748,CORN
-86.16096635,40.93772859,AULT,CRISPEN,CRISPEN8,,On,-459.67,4.354,10/25/2015,Yes,818.82,51.67,51.67,15.50,2.235,20.00,2893.3,2893.3,Grain Harvest,203748,CORN
-86.16095510,40.93773542,AULT,CRISPEN,CRISPEN8,,On,-459.67,6.114,10/25/2015,Yes,818.73,63.86,63.86,15.50,2.539,20.00,3576.0,3576.0,Grain Harvest,203748,CORN
-86.16094284,40.93774308,AULT,CRISPEN,CRISPEN8,,On,-459.67,7.755,10/25/2015,Yes,818.60,68.76,68.76,15.50,2.991,20.00,3850.4,3850.4,Grain Harvest,203748,CORN
-86.16092911,40.93775124,AULT,CRISPEN,CRISPEN8,,On,-459.67,9.007,10/25/2015,Yes,818.40,83.61,83.61,15.50,2.857,20.00,4682.3,4682.3,Grain Harvest,203748,CORN
-86.16091495,40.93775949,AULT,CRISPEN,CRISPEN8,,On,-459.67,10.84,10/25/2015,Yes,818.11,88.80,88.80,15.50,3.237,20.00,4972.7,4972.7,Grain Harvest,203748,CORN
-86.16090009,40.93776782,AULT,CRISPEN,CRISPEN8,,On,-459.67,15.78,10/25/2015,Yes,817.85,125.21,125.21,15.50,3.342,20.00,7011.5,7011.5,Grain Harvest,203748,CORN
-86.16088343,40.93777689,AULT,CRISPEN,CRISPEN8,,On,-459.67,16.20,10/25/2015,Yes,817.57,143.45,143.45,15.50,2.995,20.00,8033.1,8033.1,Grain Harvest,203748,CORN
-86.16086535,40.93778658,AULT,CRISPEN,CRISPEN8,,On,-459.67,19.53,10/25/2015,Yes,817.28,174.43,174.43,15.50,2.968,20.00,9768.0,9768.0,Grain Harvest,203748,CORN
-86.16084773,40.93779640,AULT,CRISPEN,CRISPEN8,,On,-459.67,19.26,10/25/2015,Yes,816.99,125.78,125.78,15.50,4.060,20.00,7043.7,7043.7,Grain Harvest,203748,CORN
-86.16082954,40.93780621,AULT,CRISPEN,CRISPEN8,,On,-459.67,23.40,10/25/2015,Yes,816.71,196.01,196.01,15.50,3.165,20.00,10977,10977,Grain Harvest,203748,CORN
-86.16081031,40.93781628,AULT,CRISPEN,CRISPEN8,,On,-459.67,20.98,10/25/2015,Yes,816.42,131.80,131.80,15.50,4.221,20.00,7380.9,7380.9,Grain Harvest,203748,CORN
-86.16079057,40.93782642,AULT,CRISPEN,CRISPEN8,,On,-459.67,26.78,10/25/2015,Yes,816.08,161.01,161.01,15.50,4.411,20.00,9016.4,9016.4,Grain Harvest,203748,CORN
-86.16077126,40.93783675,AULT,CRISPEN,CRISPEN8,,On,-459.67,28.12,10/25/2015,Yes,815.81,169.21,169.21,15.50,4.407,20.00,9475.6,9475.6,Grain Harvest,203748,CORN
-86.16075156,40.93784751,AULT,CRISPEN,CRISPEN8,,On,-459.67,27.85,10/25/2015,Yes,815.57,165.07,165.07,15.50,4.474,20.00,9243.8,9243.8,Grain Harvest,203748,CORN
-86.16073003,40.93785895,AULT,CRISPEN,CRISPEN8,,On,-459.67,36.28,10/25/2015,Yes,815.30,205.80,205.80,5.800,4.675,20.00,11525,11525,Grain Harvest,203748,CORN
-86.16070859,40.93787171,AULT,CRISPEN,CRISPEN8,,On,-459.67,36.52,10/25/2015,Yes,815.12,193.37,193.37,9.000,5.009,20.00,10829,10829,Grain Harvest,203748,CORN
-86.16068756,40.93788530,AULT,CRISPEN,CRISPEN8,,On,-459.67,43.37,10/25/2015,Yes,814.90,222.77,222.77,12.00,5.163,20.00,12475,12475,Grain Harvest,203748,CORN
-86.16066724,40.93789891,AULT,CRISPEN,CRISPEN8,,On,-459.67,42.54,10/25/2015,Yes,814.71,223.91,223.91,15.20,5.038,20.00,12539,12539,Grain Harvest,203748,CORN
-86.16064821,40.93791344,AULT,CRISPEN,CRISPEN8,,On,-459.67,49.40,10/25/2015,Yes,814.60,282.82,284.84,16.10,4.599,20.00,15838,15951,Grain Harvest,203748,CORN
-86.16063027,40.93792860,AULT,CRISPEN,CRISPEN8,,On,-459.67,38.10,10/25/2015,Yes,814.58,220.67,222.25,16.10,4.545,20.00,12358,12446,Grain Harvest,203748,CORN
-86.16061431,40.93794480,AULT,CRISPEN,CRISPEN8,,On,-459.67,42.46,10/25/2015,Yes,814.61,225.40,226.74,16.00,4.966,20.00,12622,12698,Grain Harvest,203748,CORN
-86.16060155,40.93796235,AULT,CRISPEN,CRISPEN8,,On,-459.67,37.93,10/25/2015,Yes,814.83,202.73,202.73,14.90,4.962,20.00,11353,11353,Grain Harvest,203748,CORN
-86.16059226,40.93798136,AULT,CRISPEN,CRISPEN8,,On,-459.67,32.06,10/25/2015,Yes,814.90,160.66,160.66,14.70,5.293,20.00,8996.7,8996.7,Grain Harvest,203748,CORN
-86.16058585,40.93800068,AULT,CRISPEN,CRISPEN8,,On,-459.67,34.28,10/25/2015,Yes,815.11,185.38,185.38,14.80,4.903,20.00,10381,10381,Grain Harvest,203748,CORN
-86.16058112,40.93802083,AULT,CRISPEN,CRISPEN8,,On,-459.67,29.86,10/25/2015,Yes,815.28,158.68,158.68,15.00,4.991,20.00,8886.2,8886.2,Grain Harvest,203748,CORN
-86.16057673,40.93804105,AULT,CRISPEN,CRISPEN8,,On,-459.67,33.78,10/25/2015,Yes,815.35,174.94,174.94,14.80,5.120,20.00,9796.5,9796.5,Grain Harvest,203748,CORN
