Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.17980114,40.98622739,AULT,ENYART,EAST50,,On,-459.67,0.234,10/13/2015,Yes,806.15,13.71,13.71,13.00,0.248,34.00,822.69,822.69,Grain Harvest,203748,SOYBEANS
-86.17977076,40.98621330,AULT,ENYART,EAST50,,On,-459.67,0.553,10/13/2015,Yes,806.73,9.254,9.254,13.00,0.870,34.00,555.25,555.25,Grain Harvest,203748,SOYBEANS
-86.17976648,40.98621191,AULT,ENYART,EAST50,,On,-459.67,0.553,10/13/2015,Yes,806.83,9.302,9.302,13.00,0.866,34.00,558.12,558.12,Grain Harvest,203748,SOYBEANS
-86.17976160,40.98621017,AULT,ENYART,EAST50,,On,-459.67,1.337,10/13/2015,Yes,806.92,19.60,19.60,13.00,0.993,34.00,1176.1,1176.1,Grain Harvest,203748,SOYBEANS
-86.17975667,40.98620791,AULT,ENYART,EAST50,,On,-459.67,4.091,10/13/2015,Yes,807.02,59.97,59.97,13.00,0.993,34.00,3598.2,3598.2,Grain Harvest,203748,SOYBEANS
-86.17975180,40.98620541,AULT,ENYART,EAST50,,On,-459.67,4.420,10/13/2015,Yes,807.19,51.65,51.65,13.00,1.246,34.00,3098.9,3098.9,Grain Harvest,203748,SOYBEANS
-86.17974698,40.98620258,AULT,ENYART,EAST50,,On,-459.67,2.347,10/13/2015,Yes,807.31,26.24,26.24,13.00,1.302,34.00,1574.5,1574.5,Grain Harvest,203748,SOYBEANS
-86.17974261,40.98619960,AULT,ENYART,EAST50,,On,-459.67,3.439,10/13/2015,Yes,807.31,42.39,42.39,13.00,1.181,34.00,2543.3,2543.3,Grain Harvest,203748,SOYBEANS
-86.17973778,40.98619592,AULT,ENYART,EAST50,,On,-459.67,4.280,10/13/2015,Yes,807.19,58.64,58.64,13.00,1.063,34.00,3518.6,3518.6,Grain Harvest,203748,SOYBEANS
-86.17973307,40.98619209,AULT,ENYART,EAST50,,On,-459.67,6.577,10/13/2015,Yes,807.08,81.54,81.54,13.00,1.174,34.00,4892.3,4892.3,Grain Harvest,203748,SOYBEANS
-86.17972835,40.98618806,AULT,ENYART,EAST50,,On,-459.67,6.140,10/13/2015,Yes,807.00,75.83,75.83,13.00,1.179,34.00,4549.6,4549.6,Grain Harvest,203748,SOYBEANS
-86.17972338,40.98618355,AULT,ENYART,EAST50,,On,-459.67,6.979,10/13/2015,Yes,806.99,71.20,71.20,13.00,1.427,34.00,4271.9,4271.9,Grain Harvest,203748,SOYBEANS
-86.17971791,40.98617794,AULT,ENYART,EAST50,,On,-459.67,7.705,10/13/2015,Yes,807.01,74.73,74.73,13.00,1.501,34.00,4484.0,4484.0,Grain Harvest,203748,SOYBEANS
-86.17971171,40.98617121,AULT,ENYART,EAST50,,On,-459.67,7.209,10/13/2015,Yes,807.03,56.73,56.73,13.00,1.850,34.00,3404.1,3404.1,Grain Harvest,203748,SOYBEANS
-86.17970528,40.98616380,AULT,ENYART,EAST50,,On,-459.67,10.25,10/13/2015,Yes,807.11,70.61,70.61,13.00,2.114,34.00,4236.9,4236.9,Grain Harvest,203748,SOYBEANS
-86.17969757,40.98615550,AULT,ENYART,EAST50,,On,-459.67,9.998,10/13/2015,Yes,807.09,63.36,63.36,13.00,2.297,34.00,3801.8,3801.8,Grain Harvest,203748,SOYBEANS
-86.17969017,40.98614735,AULT,ENYART,EAST50,,On,-459.67,11.03,10/13/2015,Yes,807.10,66.31,66.31,13.00,2.423,34.00,3978.4,3978.4,Grain Harvest,203748,SOYBEANS
-86.17968268,40.98613901,AULT,ENYART,EAST50,,On,-459.67,11.79,10/13/2015,Yes,807.18,70.26,70.26,13.00,2.443,34.00,4215.5,4215.5,Grain Harvest,203748,SOYBEANS
-86.17967569,40.98613091,AULT,ENYART,EAST50,,On,-459.67,12.43,10/13/2015,Yes,807.24,73.26,73.26,13.00,2.470,34.00,4395.4,4395.4,Grain Harvest,203748,SOYBEANS
-86.17966814,40.98612236,AULT,ENYART,EAST50,,On,-459.67,11.81,10/13/2015,Yes,807.25,67.52,67.52,13.00,2.546,34.00,4051.0,4051.0,Grain Harvest,203748,SOYBEANS
-86.17966039,40.98611362,AULT,ENYART,EAST50,,On,-459.67,11.68,10/13/2015,Yes,807.20,66.78,66.78,13.00,2.546,34.00,4006.6,4006.6,Grain Harvest,203748,SOYBEANS
-86.17965215,40.98610437,AULT,ENYART,EAST50,,On,-459.67,11.68,10/13/2015,Yes,807.18,64.70,64.70,13.00,2.628,34.00,3881.9,3881.9,Grain Harvest,203748,SOYBEANS
-86.17964388,40.98609591,AULT,ENYART,EAST50,,On,-459.67,10.28,10/13/2015,Yes,807.23,56.12,56.12,13.00,2.666,34.00,3367.4,3367.4,Grain Harvest,203748,SOYBEANS
-86.17963575,40.98608725,AULT,ENYART,EAST50,,On,-459.67,10.80,10/13/2015,Yes,807.28,60.44,60.44,13.00,2.602,34.00,3626.6,3626.6,Grain Harvest,203748,SOYBEANS
-86.17962722,40.98607854,AULT,ENYART,EAST50,,On,-459.67,9.912,10/13/2015,Yes,807.35,53.76,53.76,13.00,2.684,34.00,3225.7,3225.7,Grain Harvest,203748,SOYBEANS
-86.17961842,40.98607021,AULT,ENYART,EAST50,,On,-459.67,13.06,10/13/2015,Yes,807.43,71.29,71.29,13.00,2.666,34.00,4277.2,4277.2,Grain Harvest,203748,SOYBEANS
-86.17960840,40.98606156,AULT,ENYART,EAST50,,On,-459.67,13.94,10/13/2015,Yes,807.44,74.22,74.22,13.00,2.734,34.00,4453.2,4453.2,Grain Harvest,203748,SOYBEANS
-86.17959807,40.98605340,AULT,ENYART,EAST50,,On,-459.67,14.33,10/13/2015,Yes,807.45,74.91,74.91,13.00,2.785,34.00,4494.8,4494.8,Grain Harvest,203748,SOYBEANS
-86.17958630,40.98604508,AULT,ENYART,EAST50,,On,-459.67,15.29,10/13/2015,Yes,807.40,79.35,79.35,13.00,2.805,34.00,4761.0,4761.0,Grain Harvest,203748,SOYBEANS
-86.17957410,40.98603765,AULT,ENYART,EAST50,,On,-459.67,15.11,10/13/2015,Yes,807.35,75.28,75.28,13.00,2.921,34.00,4516.7,4516.7,Grain Harvest,203748,SOYBEANS
-86.17956142,40.98603112,AULT,ENYART,EAST50,,On,-459.67,16.20,10/13/2015,Yes,807.34,82.77,82.77,13.00,2.850,34.00,4966.5,4966.5,Grain Harvest,203748,SOYBEANS
-86.17954801,40.98602532,AULT,ENYART,EAST50,,On,-459.67,13.30,10/13/2015,Yes,807.35,67.53,67.53,13.00,2.868,34.00,4051.8,4051.8,Grain Harvest,203748,SOYBEANS
-86.17953398,40.98602028,AULT,ENYART,EAST50,,On,-459.67,15.04,10/13/2015,Yes,807.41,76.45,76.45,13.00,2.863,34.00,4587.3,4587.3,Grain Harvest,203748,SOYBEANS
-86.17952146,40.98601608,AULT,ENYART,EAST50,,On,-459.67,14.14,10/13/2015,Yes,807.50,71.99,71.99,13.00,2.859,34.00,4319.5,4319.5,Grain Harvest,203748,SOYBEANS
-86.17950914,40.98601231,AULT,ENYART,EAST50,,On,-459.67,16.17,10/13/2015,Yes,807.60,94.79,94.79,13.00,2.483,34.00,5687.4,5687.4,Grain Harvest,203748,SOYBEANS
-86.17949669,40.98600900,AULT,ENYART,EAST50,,On,-459.67,14.90,10/13/2015,Yes,807.69,85.15,85.15,6.200,2.548,34.00,5109.2,5109.2,Grain Harvest,203748,SOYBEANS
-86.17948348,40.98600595,AULT,ENYART,EAST50,,On,-459.67,14.34,10/13/2015,Yes,807.69,86.23,86.23,6.700,2.420,34.00,5174.0,5174.0,Grain Harvest,203748,SOYBEANS
-86.17947046,40.98600363,AULT,ENYART,EAST50,,On,-459.67,11.64,10/13/2015,Yes,807.70,64.96,64.96,7.100,2.608,34.00,3897.4,3897.4,Grain Harvest,203748,SOYBEANS
-86.17945689,40.98600146,AULT,ENYART,EAST50,,On,-459.67,10.92,10/13/2015,Yes,807.69,64.16,64.16,7.300,2.479,34.00,3849.8,3849.8,Grain Harvest,203748,SOYBEANS
-86.17944346,40.98599953,AULT,ENYART,EAST50,,On,-459.67,14.07,10/13/2015,Yes,807.67,78.02,78.02,7.700,2.626,34.00,4681.4,4681.4,Grain Harvest,203748,SOYBEANS
-86.17943010,40.98599809,AULT,ENYART,EAST50,,On,-459.67,14.00,10/13/2015,Yes,807.69,80.41,80.41,8.000,2.534,34.00,4824.8,4824.8,Grain Harvest,203748,SOYBEANS
-86.17941679,40.98599694,AULT,ENYART,EAST50,,On,-459.67,13.79,10/13/2015,Yes,807.71,78.51,78.51,8.400,2.557,34.00,4710.3,4710.3,Grain Harvest,203748,SOYBEANS
-86.17940294,40.98599582,AULT,ENYART,EAST50,,On,-459.67,11.84,10/13/2015,Yes,807.69,69.45,69.45,8.700,2.483,34.00,4167.0,4167.0,Grain Harvest,203748,SOYBEANS
-86.17938962,40.98599508,AULT,ENYART,EAST50,,On,-459.67,12.19,10/13/2015,Yes,807.72,69.67,69.67,9.000,2.548,34.00,4180.3,4180.3,Grain Harvest,203748,SOYBEANS
-86.17937609,40.98599445,AULT,ENYART,EAST50,,On,-459.67,12.99,10/13/2015,Yes,807.71,74.56,74.56,9.300,2.537,34.00,4473.7,4473.7,Grain Harvest,203748,SOYBEANS
-86.17936292,40.98599409,AULT,ENYART,EAST50,,On,-459.67,12.63,10/13/2015,Yes,807.76,73.80,73.80,9.600,2.492,34.00,4428.1,4428.1,Grain Harvest,203748,SOYBEANS
-86.17934942,40.98599402,AULT,ENYART,EAST50,,On,-459.67,12.79,10/13/2015,Yes,807.77,75.17,75.17,9.900,2.476,34.00,4510.4,4510.4,Grain Harvest,203748,SOYBEANS
-86.17933622,40.98599375,AULT,ENYART,EAST50,,On,-459.67,13.43,10/13/2015,Yes,807.76,78.24,78.24,10.20,2.499,34.00,4694.4,4694.4,Grain Harvest,203748,SOYBEANS
-86.17932289,40.98599380,AULT,ENYART,EAST50,,On,-459.67,15.16,10/13/2015,Yes,807.76,87.08,87.08,10.50,2.534,34.00,5224.6,5224.6,Grain Harvest,203748,SOYBEANS
-86.17930960,40.98599397,AULT,ENYART,EAST50,,On,-459.67,12.81,10/13/2015,Yes,807.75,76.51,76.51,10.70,2.438,34.00,4590.3,4590.3,Grain Harvest,203748,SOYBEANS
-86.17929569,40.98599446,AULT,ENYART,EAST50,,On,-459.67,13.92,10/13/2015,Yes,807.75,83.82,83.82,10.90,2.418,34.00,5029.3,5029.3,Grain Harvest,203748,SOYBEANS
-86.17928132,40.98599520,AULT,ENYART,EAST50,,On,-459.67,12.45,10/13/2015,Yes,807.76,67.76,67.76,11.00,2.675,34.00,4065.9,4065.9,Grain Harvest,203748,SOYBEANS
-86.17926711,40.98599598,AULT,ENYART,EAST50,,On,-459.67,14.53,10/13/2015,Yes,807.77,79.25,79.25,11.10,2.669,34.00,4755.1,4755.1,Grain Harvest,203748,SOYBEANS
-86.17925269,40.98599648,AULT,ENYART,EAST50,,On,-459.67,14.20,10/13/2015,Yes,807.79,77.78,77.78,11.10,2.657,34.00,4666.6,4666.6,Grain Harvest,203748,SOYBEANS
-86.17923831,40.98599684,AULT,ENYART,EAST50,,On,-459.67,13.13,10/13/2015,Yes,807.82,71.58,71.58,11.10,2.671,34.00,4294.8,4294.8,Grain Harvest,203748,SOYBEANS
-86.17922382,40.98599720,AULT,ENYART,EAST50,,On,-459.67,12.64,10/13/2015,Yes,807.84,68.91,68.91,11.10,2.671,34.00,4134.6,4134.6,Grain Harvest,203748,SOYBEANS
-86.17920951,40.98599767,AULT,ENYART,EAST50,,On,-459.67,11.64,10/13/2015,Yes,807.86,62.95,62.95,11.10,2.691,34.00,3777.1,3777.1,Grain Harvest,203748,SOYBEANS
-86.17919502,40.98599828,AULT,ENYART,EAST50,,On,-459.67,13.50,10/13/2015,Yes,807.87,74.10,74.10,11.10,2.653,34.00,4446.1,4446.1,Grain Harvest,203748,SOYBEANS
-86.17918100,40.98599892,AULT,ENYART,EAST50,,On,-459.67,13.87,10/13/2015,Yes,807.88,75.08,75.08,11.10,2.689,34.00,4505.0,4505.0,Grain Harvest,203748,SOYBEANS
-86.17916644,40.98599980,AULT,ENYART,EAST50,,On,-459.67,15.70,10/13/2015,Yes,807.85,83.62,83.62,11.00,2.734,34.00,5017.2,5017.2,Grain Harvest,203748,SOYBEANS
-86.17915182,40.98600115,AULT,ENYART,EAST50,,On,-459.67,13.82,10/13/2015,Yes,807.77,75.72,75.72,10.60,2.657,34.00,4543.1,4543.1,Grain Harvest,203748,SOYBEANS
-86.17913759,40.98600286,AULT,ENYART,EAST50,,On,-459.67,14.89,10/13/2015,Yes,807.68,82.52,82.52,10.70,2.626,34.00,4951.3,4951.3,Grain Harvest,203748,SOYBEANS
-86.17912303,40.98600494,AULT,ENYART,EAST50,,On,-459.67,14.15,10/13/2015,Yes,807.60,75.44,75.44,10.80,2.731,34.00,4526.3,4526.3,Grain Harvest,203748,SOYBEANS
-86.17910844,40.98600708,AULT,ENYART,EAST50,,On,-459.67,14.44,10/13/2015,Yes,807.48,79.19,79.19,10.90,2.655,34.00,4751.2,4751.2,Grain Harvest,203748,SOYBEANS
-86.17909403,40.98600944,AULT,ENYART,EAST50,,On,-459.67,12.89,10/13/2015,Yes,807.37,70.08,70.08,10.90,2.678,34.00,4204.9,4204.9,Grain Harvest,203748,SOYBEANS
-86.17908032,40.98601201,AULT,ENYART,EAST50,,On,-459.67,12.16,10/13/2015,Yes,807.37,64.31,64.31,11.00,2.754,34.00,3858.6,3858.6,Grain Harvest,203748,SOYBEANS
-86.17906624,40.98601472,AULT,ENYART,EAST50,,On,-459.67,12.81,10/13/2015,Yes,807.34,68.40,68.40,11.00,2.727,34.00,4104.1,4104.1,Grain Harvest,203748,SOYBEANS
-86.17905236,40.98601721,AULT,ENYART,EAST50,,On,-459.67,10.02,10/13/2015,Yes,807.29,54.65,54.65,10.50,2.669,34.00,3278.9,3278.9,Grain Harvest,203748,SOYBEANS
-86.17903822,40.98601916,AULT,ENYART,EAST50,,On,-459.67,12.24,10/13/2015,Yes,807.21,66.73,66.73,10.70,2.671,34.00,4004.0,4004.0,Grain Harvest,203748,SOYBEANS
-86.17902391,40.98602036,AULT,ENYART,EAST50,,On,-459.67,10.49,10/13/2015,Yes,807.19,57.34,57.34,10.90,2.664,34.00,3440.6,3440.6,Grain Harvest,203748,SOYBEANS
-86.17900952,40.98602083,AULT,ENYART,EAST50,,On,-459.67,14.45,10/13/2015,Yes,807.26,78.42,78.42,10.90,2.682,34.00,4704.9,4704.9,Grain Harvest,203748,SOYBEANS
-86.17899556,40.98602076,AULT,ENYART,EAST50,,On,-459.67,13.16,10/13/2015,Yes,807.32,73.37,73.37,10.90,2.611,34.00,4402.4,4402.4,Grain Harvest,203748,SOYBEANS
-86.17898145,40.98602016,AULT,ENYART,EAST50,,On,-459.67,13.71,10/13/2015,Yes,807.40,76.65,76.65,10.90,2.604,34.00,4598.9,4598.9,Grain Harvest,203748,SOYBEANS
-86.17896705,40.98601907,AULT,ENYART,EAST50,,On,-459.67,13.61,10/13/2015,Yes,807.42,74.39,74.39,11.00,2.664,34.00,4463.2,4463.2,Grain Harvest,203748,SOYBEANS
-86.17895289,40.98601752,AULT,ENYART,EAST50,,On,-459.67,14.49,10/13/2015,Yes,807.46,78.85,78.85,11.00,2.675,34.00,4731.2,4731.2,Grain Harvest,203748,SOYBEANS
-86.17893919,40.98601520,AULT,ENYART,EAST50,,On,-459.67,14.89,10/13/2015,Yes,807.57,80.83,80.83,11.00,2.682,34.00,4849.9,4849.9,Grain Harvest,203748,SOYBEANS
-86.17892562,40.98601237,AULT,ENYART,EAST50,,On,-459.67,12.55,10/13/2015,Yes,807.65,70.05,70.05,11.00,2.608,34.00,4202.7,4202.7,Grain Harvest,203748,SOYBEANS
-86.17891194,40.98600983,AULT,ENYART,EAST50,,On,-459.67,15.14,10/13/2015,Yes,807.73,82.55,82.55,11.00,2.671,34.00,4952.7,4952.7,Grain Harvest,203748,SOYBEANS
-86.17889847,40.98600688,AULT,ENYART,EAST50,,On,-459.67,10.94,10/13/2015,Yes,807.85,62.89,62.89,11.00,2.532,34.00,3773.4,3773.4,Grain Harvest,203748,SOYBEANS
-86.17888466,40.98600389,AULT,ENYART,EAST50,,On,-459.67,13.19,10/13/2015,Yes,807.88,73.17,73.17,11.00,2.624,34.00,4390.4,4390.4,Grain Harvest,203748,SOYBEANS
-86.17887142,40.98600114,AULT,ENYART,EAST50,,On,-459.67,13.49,10/13/2015,Yes,807.99,76.97,76.97,11.00,2.552,34.00,4618.3,4618.3,Grain Harvest,203748,SOYBEANS
-86.17885748,40.98599833,AULT,ENYART,EAST50,,On,-459.67,14.40,10/13/2015,Yes,808.05,78.88,78.88,11.00,2.657,34.00,4732.5,4732.5,Grain Harvest,203748,SOYBEANS
-86.17884379,40.98599576,AULT,ENYART,EAST50,,On,-459.67,13.15,10/13/2015,Yes,808.18,72.92,72.92,11.00,2.626,34.00,4375.0,4375.0,Grain Harvest,203748,SOYBEANS
-86.17882982,40.98599309,AULT,ENYART,EAST50,,On,-459.67,14.08,10/13/2015,Yes,808.29,71.75,71.75,11.00,2.857,34.00,4305.1,4305.1,Grain Harvest,203748,SOYBEANS
-86.17881554,40.98598984,AULT,ENYART,EAST50,,On,-459.67,16.77,10/13/2015,Yes,808.36,92.02,92.02,11.00,2.653,34.00,5521.4,5521.4,Grain Harvest,203748,SOYBEANS
-86.17880124,40.98598710,AULT,ENYART,EAST50,,On,-459.67,13.38,10/13/2015,Yes,808.40,74.39,74.39,11.00,2.619,34.00,4463.5,4463.5,Grain Harvest,203748,SOYBEANS
-86.17878693,40.98598407,AULT,ENYART,EAST50,,On,-459.67,14.93,10/13/2015,Yes,808.45,79.70,79.70,11.10,2.727,34.00,4782.0,4782.0,Grain Harvest,203748,SOYBEANS
-86.17877264,40.98598093,AULT,ENYART,EAST50,,On,-459.67,12.66,10/13/2015,Yes,808.51,65.86,65.86,11.10,2.798,34.00,3951.7,3951.7,Grain Harvest,203748,SOYBEANS
-86.17875867,40.98597803,AULT,ENYART,EAST50,,On,-459.67,15.81,10/13/2015,Yes,808.64,83.95,83.95,11.10,2.742,34.00,5037.0,5037.0,Grain Harvest,203748,SOYBEANS
-86.17874406,40.98597569,AULT,ENYART,EAST50,,On,-459.67,13.73,10/13/2015,Yes,808.73,71.70,71.70,11.10,2.787,34.00,4301.7,4301.7,Grain Harvest,203748,SOYBEANS
-86.17872858,40.98597344,AULT,ENYART,EAST50,,On,-459.67,13.96,10/13/2015,Yes,808.81,69.43,69.43,11.10,2.928,34.00,4165.5,4165.5,Grain Harvest,203748,SOYBEANS
-86.17871331,40.98597133,AULT,ENYART,EAST50,,On,-459.67,13.59,10/13/2015,Yes,808.92,69.40,69.40,11.10,2.852,34.00,4163.9,4163.9,Grain Harvest,203748,SOYBEANS
-86.17869768,40.98596909,AULT,ENYART,EAST50,,On,-459.67,14.29,10/13/2015,Yes,808.94,72.77,72.77,11.10,2.859,34.00,4366.3,4366.3,Grain Harvest,203748,SOYBEANS
-86.17868262,40.98596718,AULT,ENYART,EAST50,,On,-459.67,16.38,10/13/2015,Yes,808.99,81.43,81.43,11.10,2.928,34.00,4885.8,4885.8,Grain Harvest,203748,SOYBEANS
-86.17866683,40.98596559,AULT,ENYART,EAST50,,On,-459.67,13.42,10/13/2015,Yes,808.93,67.06,67.06,11.10,2.912,34.00,4023.8,4023.8,Grain Harvest,203748,SOYBEANS
-86.17865147,40.98596422,AULT,ENYART,EAST50,,On,-459.67,14.70,10/13/2015,Yes,808.96,71.65,71.65,11.10,2.986,34.00,4299.2,4299.2,Grain Harvest,203748,SOYBEANS
-86.17863534,40.98596303,AULT,ENYART,EAST50,,On,-459.67,12.31,10/13/2015,Yes,808.92,60.39,60.39,11.10,2.968,34.00,3623.7,3623.7,Grain Harvest,203748,SOYBEANS
-86.17861947,40.98596190,AULT,ENYART,EAST50,,On,-459.67,15.90,10/13/2015,Yes,808.89,77.41,77.41,11.10,2.991,34.00,4644.9,4644.9,Grain Harvest,203748,SOYBEANS
-86.17860367,40.98596095,AULT,ENYART,EAST50,,On,-459.67,15.75,10/13/2015,Yes,808.85,77.00,77.00,11.10,2.977,34.00,4620.1,4620.1,Grain Harvest,203748,SOYBEANS
