Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.18096050,40.98787416,AULT,ENYART,WEST MUCK18,,On,-459.67,1.336,10/13/2015,No,807.97,11.73,11.73,13.00,1.879,30.00,704.00,704.00,Grain Harvest,2010385416,SOYBEANS
-86.18097019,40.98787153,AULT,ENYART,WEST MUCK18,,On,-459.67,2.241,10/13/2015,No,807.95,18.91,18.91,13.00,1.955,30.00,1134.5,1134.5,Grain Harvest,2010385416,SOYBEANS
-86.18098024,40.98786831,AULT,ENYART,WEST MUCK18,,On,-459.67,2.621,10/13/2015,No,808.09,22.25,22.25,13.00,1.944,30.00,1335.1,1335.1,Grain Harvest,2010385416,SOYBEANS
-86.18098563,40.98786647,AULT,ENYART,WEST MUCK18,,On,-459.67,2.461,10/13/2015,No,808.19,28.45,28.45,13.00,1.427,30.00,1707.2,1707.2,Grain Harvest,2010385416,SOYBEANS
-86.18090511,40.98781088,AULT,ENYART,WEST MUCK18,,On,-459.67,3.071,10/13/2015,No,808.07,20.28,20.28,13.00,2.499,30.00,1216.8,1216.8,Grain Harvest,2010385416,SOYBEANS
-86.18090104,40.98780034,AULT,ENYART,WEST MUCK18,,On,-459.67,5.350,10/13/2015,No,808.02,35.36,35.36,13.00,2.496,30.00,2121.6,2121.6,Grain Harvest,2010385416,SOYBEANS
-86.18089696,40.98778998,AULT,ENYART,WEST MUCK18,,On,-459.67,5.315,10/13/2015,Yes,807.95,35.16,35.16,13.00,2.494,30.00,2109.5,2109.5,Grain Harvest,2010385416,SOYBEANS
-86.18089267,40.98777922,AULT,ENYART,WEST MUCK18,,On,-459.67,5.857,10/13/2015,Yes,807.98,39.20,39.20,13.00,2.465,30.00,2352.0,2352.0,Grain Harvest,2010385416,SOYBEANS
-86.18088862,40.98776859,AULT,ENYART,WEST MUCK18,,On,-459.67,6.770,10/13/2015,Yes,808.00,44.00,44.00,13.00,2.539,30.00,2639.7,2639.7,Grain Harvest,2010385416,SOYBEANS
-86.18088886,40.98775920,AULT,ENYART,WEST MUCK18,,On,-459.67,5.826,10/13/2015,Yes,808.02,38.79,38.79,13.00,2.479,30.00,2327.3,2327.3,Grain Harvest,2010385416,SOYBEANS
-86.18088760,40.98774895,AULT,ENYART,WEST MUCK18,,On,-459.67,6.193,10/13/2015,Yes,808.04,41.15,41.15,13.00,2.483,30.00,2469.1,2469.1,Grain Harvest,2010385416,SOYBEANS
-86.18088617,40.98773879,AULT,ENYART,WEST MUCK18,,On,-459.67,8.580,10/13/2015,Yes,808.07,55.91,55.91,13.00,2.532,30.00,3354.6,3354.6,Grain Harvest,2010385416,SOYBEANS
-86.18088428,40.98772768,AULT,ENYART,WEST MUCK18,,On,-459.67,7.913,10/13/2015,Yes,808.09,51.11,51.11,13.00,2.555,30.00,3066.5,3066.5,Grain Harvest,2010385416,SOYBEANS
-86.18087823,40.98771644,AULT,ENYART,WEST MUCK18,,On,-459.67,6.720,10/13/2015,Yes,808.12,40.49,40.49,13.00,2.738,30.00,2429.6,2429.6,Grain Harvest,2010385416,SOYBEANS
-86.18087332,40.98770492,AULT,ENYART,WEST MUCK18,,On,-459.67,7.666,10/13/2015,Yes,808.14,46.20,46.20,13.00,2.738,30.00,2771.9,2771.9,Grain Harvest,2010385416,SOYBEANS
-86.18086952,40.98769463,AULT,ENYART,WEST MUCK18,,On,-459.67,8.414,10/13/2015,Yes,808.16,51.21,51.21,13.00,2.711,30.00,3072.6,3072.6,Grain Harvest,2010385416,SOYBEANS
-86.18085499,40.98766024,AULT,ENYART,WEST MUCK18,,On,-459.67,6.720,10/13/2015,Yes,815.13,41.03,41.03,13.00,2.702,30.00,2461.8,2461.8,Grain Harvest,2010385416,SOYBEANS
-86.18085007,40.98764926,AULT,ENYART,WEST MUCK18,,On,-459.67,3.886,10/13/2015,Yes,815.13,23.79,23.79,13.00,2.696,30.00,1427.3,1427.3,Grain Harvest,2010385416,SOYBEANS
-86.18076619,40.98753036,AULT,ENYART,WEST MUCK18,,On,-459.67,8.244,10/13/2015,No,814.52,72.53,72.53,9.000,2.250,25.00,4352.0,4352.0,Grain Harvest,2010385416,SOYBEANS
-86.18076212,40.98752135,AULT,ENYART,WEST MUCK18,,On,-459.67,4.191,10/13/2015,No,814.52,31.29,31.29,9.400,2.210,30.00,1877.3,1877.3,Grain Harvest,2010385416,SOYBEANS
-86.18075875,40.98751289,AULT,ENYART,WEST MUCK18,,On,-459.67,2.466,10/13/2015,No,814.52,18.31,18.31,9.500,2.221,30.00,1098.9,1098.9,Grain Harvest,2010385416,SOYBEANS
-86.18075572,40.98750388,AULT,ENYART,WEST MUCK18,,On,-459.67,1.629,10/13/2015,No,814.52,11.89,11.89,9.500,2.262,30.00,713.12,713.12,Grain Harvest,2010385416,SOYBEANS
-86.18078179,40.98751655,AULT,ENYART,WEST MUCK18,,On,-459.67,4.427,10/13/2015,No,813.36,32.95,32.95,9.600,2.217,30.00,1977.1,1977.1,Grain Harvest,2010385416,SOYBEANS
-86.18077893,40.98750755,AULT,ENYART,WEST MUCK18,,On,-459.67,7.814,10/13/2015,No,813.47,57.12,57.12,9.700,2.257,30.00,3427.3,3427.3,Grain Harvest,2010385416,SOYBEANS
-86.18077499,40.98749687,AULT,ENYART,WEST MUCK18,,On,-459.67,9.731,10/13/2015,No,813.34,67.91,67.91,9.800,2.364,30.00,4074.5,4074.5,Grain Harvest,2010385416,SOYBEANS
-86.18077092,40.98748653,AULT,ENYART,WEST MUCK18,,On,-459.67,11.61,10/13/2015,No,813.46,78.90,78.90,9.900,2.427,30.00,4734.0,4734.0,Grain Harvest,2010385416,SOYBEANS
-86.18076681,40.98747588,AULT,ENYART,WEST MUCK18,,On,-459.67,11.04,10/13/2015,No,813.38,73.87,73.87,9.800,2.465,30.00,4432.0,4432.0,Grain Harvest,2010385416,SOYBEANS
-86.18076298,40.98746495,AULT,ENYART,WEST MUCK18,,On,-459.67,10.30,10/13/2015,No,813.38,63.50,63.50,9.900,2.675,30.00,3809.8,3809.8,Grain Harvest,2010385416,SOYBEANS
-86.18075873,40.98745394,AULT,ENYART,WEST MUCK18,,On,-459.67,10.27,10/13/2015,No,813.32,64.09,64.09,9.900,2.644,30.00,3845.5,3845.5,Grain Harvest,2010385416,SOYBEANS
-86.18075414,40.98744286,AULT,ENYART,WEST MUCK18,,On,-459.67,11.78,10/13/2015,No,813.30,73.39,73.39,9.800,2.649,30.00,4403.5,4403.5,Grain Harvest,2010385416,SOYBEANS
-86.18074998,40.98743203,AULT,ENYART,WEST MUCK18,,On,-459.67,11.10,10/13/2015,No,813.12,68.22,68.22,9.900,2.684,30.00,4093.5,4093.5,Grain Harvest,2010385416,SOYBEANS
-86.18074532,40.98742083,AULT,ENYART,WEST MUCK18,,On,-459.67,11.22,10/13/2015,No,812.98,69.37,69.37,9.900,2.669,30.00,4162.3,4162.3,Grain Harvest,2010385416,SOYBEANS
-86.18074090,40.98740988,AULT,ENYART,WEST MUCK18,,On,-459.67,10.83,10/13/2015,No,812.82,66.84,66.84,9.900,2.673,30.00,4010.4,4010.4,Grain Harvest,2010385416,SOYBEANS
-86.18073635,40.98739895,AULT,ENYART,WEST MUCK18,,On,-459.67,9.687,10/13/2015,No,812.74,59.65,59.65,9.900,2.680,30.00,3578.8,3578.8,Grain Harvest,2010385416,SOYBEANS
-86.18073123,40.98738799,AULT,ENYART,WEST MUCK18,,On,-459.67,10.89,10/13/2015,No,812.58,67.14,67.14,9.900,2.675,30.00,4028.6,4028.6,Grain Harvest,2010385416,SOYBEANS
-86.18072665,40.98737707,AULT,ENYART,WEST MUCK18,,On,-459.67,11.91,10/13/2015,No,812.41,73.44,73.44,9.900,2.675,30.00,4406.7,4406.7,Grain Harvest,2010385416,SOYBEANS
-86.18072218,40.98736609,AULT,ENYART,WEST MUCK18,,On,-459.67,11.08,10/13/2015,No,812.24,68.44,68.44,9.900,2.671,30.00,4106.3,4106.3,Grain Harvest,2010385416,SOYBEANS
-86.18071747,40.98735500,AULT,ENYART,WEST MUCK18,,On,-459.67,11.40,10/13/2015,No,812.06,69.98,69.98,9.900,2.689,30.00,4198.6,4198.6,Grain Harvest,2010385416,SOYBEANS
-86.18071301,40.98734381,AULT,ENYART,WEST MUCK18,,On,-459.67,10.77,10/13/2015,No,811.99,65.54,65.54,9.800,2.711,30.00,3932.3,3932.3,Grain Harvest,2010385416,SOYBEANS
-86.18070811,40.98733201,AULT,ENYART,WEST MUCK18,,On,-459.67,11.31,10/13/2015,No,811.79,66.37,66.37,9.800,2.812,30.00,3982.3,3982.3,Grain Harvest,2010385416,SOYBEANS
-86.18070295,40.98732044,AULT,ENYART,WEST MUCK18,,On,-459.67,10.60,10/13/2015,No,811.76,62.59,62.59,9.800,2.794,30.00,3755.3,3755.3,Grain Harvest,2010385416,SOYBEANS
-86.18069794,40.98730856,AULT,ENYART,WEST MUCK18,,On,-459.67,12.26,10/13/2015,No,811.73,71.46,71.46,9.800,2.832,30.00,4287.6,4287.6,Grain Harvest,2010385416,SOYBEANS
-86.18069261,40.98729692,AULT,ENYART,WEST MUCK18,,On,-459.67,11.88,10/13/2015,No,811.57,69.23,69.23,9.800,2.832,30.00,4153.6,4153.6,Grain Harvest,2010385416,SOYBEANS
-86.18068838,40.98728514,AULT,ENYART,WEST MUCK18,,On,-459.67,11.64,10/13/2015,No,811.63,67.77,67.77,9.800,2.834,30.00,4066.3,4066.3,Grain Harvest,2010385416,SOYBEANS
-86.18068366,40.98727305,AULT,ENYART,WEST MUCK18,,On,-459.67,11.59,10/13/2015,No,811.38,67.64,67.64,9.800,2.827,30.00,4058.2,4058.2,Grain Harvest,2010385416,SOYBEANS
-86.18067913,40.98726159,AULT,ENYART,WEST MUCK18,,On,-459.67,11.61,10/13/2015,No,811.27,68.76,68.76,9.800,2.787,30.00,4125.3,4125.3,Grain Harvest,2010385416,SOYBEANS
-86.18067458,40.98724997,AULT,ENYART,WEST MUCK18,,On,-459.67,12.53,10/13/2015,No,811.16,73.13,73.13,9.800,2.827,30.00,4388.0,4388.0,Grain Harvest,2010385416,SOYBEANS
-86.18066985,40.98723834,AULT,ENYART,WEST MUCK18,,On,-459.67,11.72,10/13/2015,No,811.05,67.35,67.35,9.800,2.870,30.00,4041.2,4041.2,Grain Harvest,2010385416,SOYBEANS
-86.18066475,40.98722559,AULT,ENYART,WEST MUCK18,,On,-459.67,9.987,10/13/2015,No,810.93,55.22,55.22,9.900,2.984,30.00,3313.4,3313.4,Grain Harvest,2010385416,SOYBEANS
