Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.18007917,40.97481102,AULT,HOME,GRAHAM17,,On,-459.67,1.240,10/8/2015,Yes,813.05,12.43,12.43,13.00,1.646,30.00,745.80,745.80,Grain Harvest,2010385416,SOYBEANS
-86.18007966,40.97480186,AULT,HOME,GRAHAM17,,On,-459.67,3.508,10/8/2015,Yes,813.10,28.88,28.88,13.00,2.004,30.00,1732.5,1732.5,Grain Harvest,2010385416,SOYBEANS
-86.18007989,40.97479123,AULT,HOME,GRAHAM17,,On,-459.67,9.048,10/8/2015,Yes,812.98,65.50,65.50,13.00,2.279,30.00,3929.7,3929.7,Grain Harvest,2010385416,SOYBEANS
-86.18008008,40.97478031,AULT,HOME,GRAHAM17,,On,-459.67,8.419,10/8/2015,Yes,812.78,57.13,57.13,13.00,2.432,30.00,3427.7,3427.7,Grain Harvest,2010385416,SOYBEANS
-86.18007956,40.97477037,AULT,HOME,GRAHAM17,,On,-459.67,6.087,10/8/2015,Yes,812.89,42.76,42.76,13.00,2.349,30.00,2565.8,2565.8,Grain Harvest,2010385416,SOYBEANS
-86.18007909,40.97476008,AULT,HOME,GRAHAM17,,On,-459.67,6.644,10/8/2015,Yes,812.95,45.00,45.00,13.00,2.436,30.00,2700.2,2700.2,Grain Harvest,2010385416,SOYBEANS
-86.18007902,40.97475011,AULT,HOME,GRAHAM17,,On,-459.67,9.332,10/8/2015,Yes,813.05,63.50,63.50,13.00,2.425,30.00,3809.9,3809.9,Grain Harvest,2010385416,SOYBEANS
-86.18007897,40.97474002,AULT,HOME,GRAHAM17,,On,-459.67,11.13,10/8/2015,Yes,813.03,78.57,78.57,13.00,2.338,30.00,4714.0,4714.0,Grain Harvest,2010385416,SOYBEANS
-86.18007914,40.97472933,AULT,HOME,GRAHAM17,,On,-459.67,11.97,10/8/2015,Yes,813.10,82.16,82.16,13.00,2.405,30.00,4929.9,4929.9,Grain Harvest,2010385416,SOYBEANS
-86.18007936,40.97471955,AULT,HOME,GRAHAM17,,On,-459.67,6.589,10/8/2015,Yes,813.11,46.20,46.20,13.00,2.353,30.00,2772.0,2772.0,Grain Harvest,2010385416,SOYBEANS
-86.18007951,40.97471391,AULT,HOME,GRAHAM17,,On,-459.67,4.878,10/8/2015,Yes,813.16,51.18,51.18,13.00,1.573,30.00,3071.0,3071.0,Grain Harvest,2010385416,SOYBEANS
-86.18008218,40.97478887,AULT,HOME,GRAHAM17,,On,-459.67,0.199,10/8/2015,Yes,812.75,19.05,19.05,13.00,2.338,2.211,1143.0,1143.0,Grain Harvest,2010385416,SOYBEANS
-86.18014433,40.97477073,AULT,HOME,GRAHAM17,,On,-459.67,8.176,10/8/2015,Yes,812.97,147.58,147.58,13.00,2.673,10.26,8854.9,8854.9,Grain Harvest,2010385416,SOYBEANS
-86.18015804,40.97476884,AULT,HOME,GRAHAM17,,On,-459.67,7.951,10/8/2015,Yes,813.06,53.70,53.70,13.00,2.651,27.65,3221.8,3221.8,Grain Harvest,2010385416,SOYBEANS
-86.18016846,40.97476733,AULT,HOME,GRAHAM17,,On,-459.67,8.077,10/8/2015,Yes,813.22,65.40,65.40,5.700,2.038,30.00,3923.8,3923.8,Grain Harvest,2010385416,SOYBEANS
-86.18017975,40.97476590,AULT,HOME,GRAHAM17,,On,-459.67,9.317,10/8/2015,Yes,813.36,74.13,74.13,7.200,2.074,30.00,4448.0,4448.0,Grain Harvest,2010385416,SOYBEANS
-86.18019163,40.97476493,AULT,HOME,GRAHAM17,,On,-459.67,9.047,10/8/2015,Yes,813.52,71.14,71.14,8.600,2.098,30.00,4268.5,4268.5,Grain Harvest,2010385416,SOYBEANS
-86.18020461,40.97476360,AULT,HOME,GRAHAM17,,On,-459.67,9.054,10/8/2015,Yes,813.66,64.03,64.03,9.800,2.333,30.00,3841.7,3841.7,Grain Harvest,2010385416,SOYBEANS
-86.18021743,40.97476285,AULT,HOME,GRAHAM17,,On,-459.67,7.857,10/8/2015,Yes,813.79,56.65,56.65,10.80,2.288,30.00,3399.1,3399.1,Grain Harvest,2010385416,SOYBEANS
-86.18022981,40.97476202,AULT,HOME,GRAHAM17,,On,-459.67,7.359,10/8/2015,Yes,813.97,52.55,52.55,11.70,2.311,30.00,3153.0,3153.0,Grain Harvest,2010385416,SOYBEANS
-86.18024221,40.97476082,AULT,HOME,GRAHAM17,,On,-459.67,8.463,10/8/2015,Yes,814.19,60.49,60.49,12.60,2.309,30.00,3629.3,3629.3,Grain Harvest,2010385416,SOYBEANS
-86.18025486,40.97475963,AULT,HOME,GRAHAM17,,On,-459.67,7.410,10/8/2015,Yes,814.44,53.47,53.54,13.10,2.284,30.00,3208.5,3212.2,Grain Harvest,2010385416,SOYBEANS
-86.18026812,40.97475798,AULT,HOME,GRAHAM17,,On,-459.67,7.858,10/8/2015,Yes,814.66,53.72,53.97,13.40,2.402,30.00,3223.1,3237.9,Grain Harvest,2010385416,SOYBEANS
-86.18028292,40.97475612,AULT,HOME,GRAHAM17,,On,-459.67,7.492,10/8/2015,Yes,814.96,46.02,46.28,13.50,2.671,30.00,2761.1,2777.1,Grain Harvest,2010385416,SOYBEANS
-86.18029867,40.97475353,AULT,HOME,GRAHAM17,,On,-459.67,7.364,10/8/2015,Yes,815.18,42.63,42.97,13.70,2.827,30.00,2557.6,2578.3,Grain Harvest,2010385416,SOYBEANS
-86.18031509,40.97475107,AULT,HOME,GRAHAM17,,On,-459.67,7.535,10/8/2015,Yes,815.59,41.08,41.08,12.40,3.027,30.00,2464.6,2464.6,Grain Harvest,2010385416,SOYBEANS
-86.18033350,40.97474816,AULT,HOME,GRAHAM17,,On,-459.67,8.888,10/8/2015,Yes,815.97,44.33,44.33,11.70,3.308,30.00,2659.5,2659.5,Grain Harvest,2010385416,SOYBEANS
-86.18035238,40.97474608,AULT,HOME,GRAHAM17,,On,-459.67,11.36,10/8/2015,Yes,816.21,54.78,54.78,12.10,3.423,30.00,3286.5,3286.5,Grain Harvest,2010385416,SOYBEANS
-86.18037145,40.97474495,AULT,HOME,GRAHAM17,,On,-459.67,9.399,10/8/2015,Yes,816.45,44.96,44.96,12.30,3.449,30.00,2697.6,2697.6,Grain Harvest,2010385416,SOYBEANS
-86.18038970,40.97474458,AULT,HOME,GRAHAM17,,On,-459.67,6.870,10/8/2015,Yes,816.59,34.61,34.61,11.50,3.275,30.00,2076.7,2076.7,Grain Harvest,2010385416,SOYBEANS
-86.18040633,40.97474509,AULT,HOME,GRAHAM17,,On,-459.67,11.41,10/8/2015,Yes,817.00,60.64,60.64,11.50,3.105,30.00,3638.5,3638.5,Grain Harvest,2010385416,SOYBEANS
-86.18042445,40.97474657,AULT,HOME,GRAHAM17,,On,-459.67,6.899,10/8/2015,Yes,817.10,36.77,36.77,11.80,3.096,30.00,2206.2,2206.2,Grain Harvest,2010385416,SOYBEANS
-86.18044201,40.97474741,AULT,HOME,GRAHAM17,,On,-459.67,5.639,10/8/2015,Yes,817.29,29.71,29.71,11.90,3.132,30.00,1782.7,1782.7,Grain Harvest,2010385416,SOYBEANS
-86.18045965,40.97474828,AULT,HOME,GRAHAM17,,On,-459.67,9.702,10/8/2015,Yes,817.42,51.52,51.52,11.90,3.107,30.00,3091.5,3091.5,Grain Harvest,2010385416,SOYBEANS
-86.18047770,40.97474819,AULT,HOME,GRAHAM17,,On,-459.67,11.99,10/8/2015,Yes,817.64,62.50,62.50,11.90,3.165,30.00,3750.1,3750.1,Grain Harvest,2010385416,SOYBEANS
-86.18049636,40.97474796,AULT,HOME,GRAHAM17,,On,-459.67,8.633,10/8/2015,Yes,817.68,43.38,43.38,11.50,3.284,30.00,2602.7,2602.7,Grain Harvest,2010385416,SOYBEANS
