Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.19739021,40.98439871,AULT,KELLER,BEEF60,,On,-459.67,7.288,10/18/2015,Yes,804.94,40.30,41.63,18.20,4.642,20.00,2257.1,2331.6,Grain Harvest,203748,CORN
-86.19739056,40.98437864,AULT,KELLER,BEEF60,,On,-459.67,12.22,10/18/2015,Yes,804.86,63.43,65.61,18.30,4.939,20.00,3552.3,3674.1,Grain Harvest,203748,CORN
-86.19739057,40.98435866,AULT,KELLER,BEEF60,,On,-459.67,23.00,10/18/2015,Yes,804.79,117.03,120.89,18.20,5.044,20.00,6553.7,6770.0,Grain Harvest,203748,CORN
-86.19739039,40.98433820,AULT,KELLER,BEEF60,,On,-459.67,21.52,10/18/2015,Yes,804.82,110.47,112.33,16.90,5.080,20.00,6186.5,6290.7,Grain Harvest,203748,CORN
-86.19739070,40.98431785,AULT,KELLER,BEEF60,,On,-459.67,23.89,10/18/2015,Yes,804.86,123.26,124.59,16.40,5.085,20.00,6902.7,6977.0,Grain Harvest,203748,CORN
-86.19739104,40.98429721,AULT,KELLER,BEEF60,,On,-459.67,25.74,10/18/2015,Yes,804.81,133.95,136.04,16.80,5.017,20.00,7501.1,7618.3,Grain Harvest,203748,CORN
-86.19739138,40.98427655,AULT,KELLER,BEEF60,,On,-459.67,22.42,10/18/2015,Yes,804.78,113.26,115.03,16.80,5.167,20.00,6342.7,6441.8,Grain Harvest,203748,CORN
-86.19739248,40.98425582,AULT,KELLER,BEEF60,,On,-459.67,28.58,10/18/2015,Yes,804.77,146.70,148.46,16.50,5.105,20.00,8215.3,8313.7,Grain Harvest,203748,CORN
-86.19739336,40.98423512,AULT,KELLER,BEEF60,,On,-459.67,20.50,10/18/2015,Yes,804.80,104.00,105.37,16.60,5.158,20.00,5823.9,5900.7,Grain Harvest,203748,CORN
-86.19739431,40.98421473,AULT,KELLER,BEEF60,,On,-459.67,23.87,10/18/2015,Yes,804.84,120.71,122.60,16.80,5.163,20.00,6759.7,6865.4,Grain Harvest,203748,CORN
-86.19739516,40.98419418,AULT,KELLER,BEEF60,,On,-459.67,19.14,10/18/2015,Yes,804.92,97.25,98.89,16.90,5.132,20.00,5446.0,5537.8,Grain Harvest,203748,CORN
-86.19739591,40.98417352,AULT,KELLER,BEEF60,,On,-459.67,22.45,10/18/2015,Yes,804.96,112.71,114.06,16.50,5.219,20.00,6312.0,6387.6,Grain Harvest,203748,CORN
-86.19739669,40.98415297,AULT,KELLER,BEEF60,,On,-459.67,22.13,10/18/2015,Yes,805.04,110.41,111.86,16.60,5.246,20.00,6182.9,6264.4,Grain Harvest,203748,CORN
-86.19739688,40.98413227,AULT,KELLER,BEEF60,,On,-459.67,22.11,10/18/2015,Yes,805.08,111.66,113.55,16.90,5.163,20.00,6253.2,6358.5,Grain Harvest,203748,CORN
-86.19739721,40.98411145,AULT,KELLER,BEEF60,,On,-459.67,26.32,10/18/2015,Yes,805.11,132.90,135.30,17.00,5.158,20.00,7442.5,7577.0,Grain Harvest,203748,CORN
-86.19739714,40.98409062,AULT,KELLER,BEEF60,,On,-459.67,27.08,10/18/2015,Yes,805.11,138.38,139.53,16.20,5.147,20.00,7749.0,7813.7,Grain Harvest,203748,CORN
-86.19739726,40.98406985,AULT,KELLER,BEEF60,,On,-459.67,33.65,10/18/2015,Yes,805.10,173.04,173.87,15.90,5.132,20.00,9690.5,9736.6,Grain Harvest,203748,CORN
-86.19739736,40.98404895,AULT,KELLER,BEEF60,,On,-459.67,29.84,10/18/2015,Yes,805.05,153.13,154.22,16.10,5.132,20.00,8575.2,8636.5,Grain Harvest,203748,CORN
-86.19739739,40.98402806,AULT,KELLER,BEEF60,,On,-459.67,35.83,10/18/2015,Yes,805.02,183.13,184.44,16.10,5.152,20.00,10255,10329,Grain Harvest,203748,CORN
-86.19739721,40.98400714,AULT,KELLER,BEEF60,,On,-459.67,34.83,10/18/2015,Yes,804.96,178.72,179.57,15.90,5.143,20.00,10009,10056,Grain Harvest,203748,CORN
-86.19739700,40.98398604,AULT,KELLER,BEEF60,,On,-459.67,37.68,10/18/2015,Yes,804.81,193.46,193.68,15.60,5.158,20.00,10833,10846,Grain Harvest,203748,CORN
-86.19739674,40.98396481,AULT,KELLER,BEEF60,,On,-459.67,41.71,10/18/2015,Yes,804.61,213.21,214.23,15.90,5.163,20.00,11940,11997,Grain Harvest,203748,CORN
-86.19739643,40.98394363,AULT,KELLER,BEEF60,,On,-459.67,37.64,10/18/2015,Yes,804.43,190.16,191.98,16.30,5.199,20.00,10649,10751,Grain Harvest,203748,CORN
-86.19739625,40.98392251,AULT,KELLER,BEEF60,,On,-459.67,34.89,10/18/2015,Yes,804.25,176.24,177.29,16.00,5.219,20.00,9869.4,9928.2,Grain Harvest,203748,CORN
-86.19739594,40.98390128,AULT,KELLER,BEEF60,,On,-459.67,35.76,10/18/2015,Yes,804.03,182.31,182.96,15.80,5.183,20.00,10209,10246,Grain Harvest,203748,CORN
-86.19739533,40.98388017,AULT,KELLER,BEEF60,,On,-459.67,41.77,10/18/2015,Yes,803.83,211.19,212.45,16.00,5.214,20.00,11827,11897,Grain Harvest,203748,CORN
-86.19739531,40.98385911,AULT,KELLER,BEEF60,,On,-459.67,37.28,10/18/2015,Yes,803.65,190.06,191.88,16.30,5.152,20.00,10643,10745,Grain Harvest,203748,CORN
-86.19739541,40.98383824,AULT,KELLER,BEEF60,,On,-459.67,31.10,10/18/2015,Yes,803.52,157.40,159.48,16.60,5.172,20.00,8814.7,8930.9,Grain Harvest,203748,CORN
-86.19739550,40.98381718,AULT,KELLER,BEEF60,,On,-459.67,36.99,10/18/2015,Yes,803.31,183.94,185.70,16.30,5.281,20.00,10301,10399,Grain Harvest,203748,CORN
-86.19739610,40.98379637,AULT,KELLER,BEEF60,,On,-459.67,37.09,10/18/2015,Yes,803.19,190.93,191.84,15.90,5.127,20.00,10692,10743,Grain Harvest,203748,CORN
-86.19739638,40.98377542,AULT,KELLER,BEEF60,,On,-459.67,39.64,10/18/2015,Yes,803.02,201.41,202.37,15.90,5.194,20.00,11279,11333,Grain Harvest,203748,CORN
-86.19739688,40.98375446,AULT,KELLER,BEEF60,,On,-459.67,39.36,10/18/2015,Yes,802.89,202.00,202.96,15.90,5.143,20.00,11312,11366,Grain Harvest,203748,CORN
-86.19739735,40.98373366,AULT,KELLER,BEEF60,,On,-459.67,41.05,10/18/2015,Yes,802.74,213.18,213.43,15.60,5.100,20.00,11938,11952,Grain Harvest,203748,CORN
-86.19739796,40.98371324,AULT,KELLER,BEEF60,,On,-459.67,39.39,10/18/2015,Yes,802.71,202.51,202.51,15.20,5.158,20.00,11340,11340,Grain Harvest,203748,CORN
-86.19739890,40.98369291,AULT,KELLER,BEEF60,,On,-459.67,39.18,10/18/2015,Yes,802.66,206.42,206.42,15.00,5.033,20.00,11560,11560,Grain Harvest,203748,CORN
-86.19740005,40.98367290,AULT,KELLER,BEEF60,,On,-459.67,29.58,10/18/2015,Yes,802.77,155.72,155.72,15.30,5.038,20.00,8720.2,8720.2,Grain Harvest,203748,CORN
-86.19740116,40.98365300,AULT,KELLER,BEEF60,,On,-459.67,35.05,10/18/2015,Yes,802.86,187.75,187.75,15.50,4.950,20.00,10514,10514,Grain Harvest,203748,CORN
-86.19740191,40.98363650,AULT,KELLER,BEEF60,,On,-459.67,30.96,10/18/2015,Yes,802.93,203.24,203.24,15.40,4.040,20.00,11381,11381,Grain Harvest,203748,CORN
-86.19740199,40.98361685,AULT,KELLER,BEEF60,,On,-459.67,33.68,10/18/2015,Yes,802.93,183.55,183.55,15.40,4.865,20.00,10279,10279,Grain Harvest,203748,CORN
-86.19740247,40.98359800,AULT,KELLER,BEEF60,,On,-459.67,36.27,10/18/2015,Yes,803.01,202.91,203.87,15.90,4.718,20.00,11363,11417,Grain Harvest,203748,CORN
-86.19740317,40.98357845,AULT,KELLER,BEEF60,,On,-459.67,35.10,10/18/2015,Yes,803.11,186.56,187.45,15.90,4.966,20.00,10447,10497,Grain Harvest,203748,CORN
-86.19740393,40.98355856,AULT,KELLER,BEEF60,,On,-459.67,39.45,10/18/2015,Yes,803.20,212.77,213.53,15.80,4.899,20.00,11915,11957,Grain Harvest,203748,CORN
-86.19740475,40.98353904,AULT,KELLER,BEEF60,,On,-459.67,38.17,10/18/2015,Yes,803.31,205.93,206.42,15.70,4.903,20.00,11532,11560,Grain Harvest,203748,CORN
