Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.12491182,40.96810683,AULT,KELLER,MIAMI EAST43,,On,-459.67,0.870,10/10/2015,Yes,833.90,59.44,59.44,13.00,0.242,30.00,3566.5,3566.5,Grain Harvest,2010385416,SOYBEANS
-86.12490289,40.96810172,AULT,KELLER,MIAMI EAST43,,On,-459.67,2.452,10/10/2015,Yes,833.99,88.67,88.67,13.00,0.456,30.00,5320.0,5320.0,Grain Harvest,2010385416,SOYBEANS
-86.12489842,40.96809863,AULT,KELLER,MIAMI EAST43,,On,-459.67,1.357,10/10/2015,Yes,833.96,23.01,23.01,13.00,0.973,30.00,1380.4,1380.4,Grain Harvest,2010385416,SOYBEANS
-86.12489321,40.96809447,AULT,KELLER,MIAMI EAST43,,On,-459.67,0.973,10/10/2015,Yes,833.89,13.52,13.52,13.00,1.188,30.00,811.04,811.04,Grain Harvest,2010385416,SOYBEANS
-86.12488896,40.96809049,AULT,KELLER,MIAMI EAST43,,On,-459.67,0.822,10/10/2015,Yes,833.94,9.928,9.928,13.00,1.367,30.00,595.67,595.67,Grain Harvest,2010385416,SOYBEANS
-86.12488381,40.96808617,AULT,KELLER,MIAMI EAST43,,On,-459.67,2.234,10/10/2015,Yes,834.08,24.27,24.27,13.00,1.519,30.00,1455.9,1455.9,Grain Harvest,2010385416,SOYBEANS
-86.12487579,40.96807974,AULT,KELLER,MIAMI EAST43,,On,-459.67,6.464,10/10/2015,Yes,834.09,55.70,55.70,13.00,1.915,30.00,3341.8,3341.8,Grain Harvest,2010385416,SOYBEANS
-86.12486854,40.96807313,AULT,KELLER,MIAMI EAST43,,On,-459.67,9.735,10/10/2015,Yes,834.17,76.71,76.71,13.00,2.094,30.00,4602.8,4602.8,Grain Harvest,2010385416,SOYBEANS
-86.12486210,40.96806637,AULT,KELLER,MIAMI EAST43,,On,-459.67,6.077,10/10/2015,Yes,834.22,48.99,48.99,13.00,2.047,30.00,2939.5,2939.5,Grain Harvest,2010385416,SOYBEANS
-86.12485555,40.96805872,AULT,KELLER,MIAMI EAST43,,On,-459.67,11.13,10/10/2015,Yes,834.27,91.39,91.39,13.00,2.009,30.00,5483.7,5483.7,Grain Harvest,2010385416,SOYBEANS
