Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.12680012,40.96778831,AULT,KELLER,MIAMI WEST44,,On,-459.67,0.257,10/10/2015,Yes,838.53,15.09,15.09,13.00,0.248,34.00,905.27,905.27,Grain Harvest,203748,SOYBEANS
-86.12680012,40.96778831,AULT,KELLER,MIAMI WEST44,,On,-459.67,0.816,10/10/2015,Yes,838.53,63.23,63.23,13.00,0.188,34.00,3793.6,3793.6,Grain Harvest,203748,SOYBEANS
-86.12680027,40.96779160,AULT,KELLER,MIAMI WEST44,,On,-459.67,2.619,10/10/2015,Yes,838.46,123.51,123.51,13.00,0.309,34.00,7410.9,7410.9,Grain Harvest,203748,SOYBEANS
-86.12680039,40.96779411,AULT,KELLER,MIAMI WEST44,,On,-459.67,3.023,10/10/2015,Yes,838.37,88.22,88.22,13.00,0.499,34.00,5293.2,5293.2,Grain Harvest,203748,SOYBEANS
-86.12680055,40.96779719,AULT,KELLER,MIAMI WEST44,,On,-459.67,5.121,10/10/2015,Yes,838.22,119.90,119.90,13.00,0.622,34.00,7193.7,7193.7,Grain Harvest,203748,SOYBEANS
-86.12680081,40.96780199,AULT,KELLER,MIAMI WEST44,,On,-459.67,5.462,10/10/2015,Yes,837.89,98.20,98.20,13.00,0.810,34.00,5891.8,5891.8,Grain Harvest,203748,SOYBEANS
-86.12680100,40.96780622,AULT,KELLER,MIAMI WEST44,,On,-459.67,6.662,10/10/2015,Yes,837.51,97.88,97.88,13.00,0.991,34.00,5872.5,5872.5,Grain Harvest,203748,SOYBEANS
-86.12680130,40.96781087,AULT,KELLER,MIAMI WEST44,,On,-459.67,6.125,10/10/2015,Yes,836.93,120.08,120.08,13.00,0.743,34.00,7205.0,7205.0,Grain Harvest,203748,SOYBEANS
-86.12680147,40.96781296,AULT,KELLER,MIAMI WEST44,,On,-459.67,6.320,10/10/2015,Yes,836.64,147.44,147.44,13.00,0.624,34.00,8846.4,8846.4,Grain Harvest,203748,SOYBEANS
-86.12680185,40.96781742,AULT,KELLER,MIAMI WEST44,,On,-459.67,6.233,10/10/2015,Yes,836.34,121.45,121.45,13.00,0.747,34.00,7287.2,7287.2,Grain Harvest,203748,SOYBEANS
-86.12680195,40.96782006,AULT,KELLER,MIAMI WEST44,,On,-459.67,5.093,10/10/2015,Yes,836.28,108.32,108.32,13.00,0.685,34.00,6499.0,6499.0,Grain Harvest,203748,SOYBEANS
-86.12680199,40.96782302,AULT,KELLER,MIAMI WEST44,,On,-459.67,5.505,10/10/2015,Yes,836.23,117.08,117.08,13.00,0.685,34.00,7024.8,7024.8,Grain Harvest,203748,SOYBEANS
-86.12680201,40.96782622,AULT,KELLER,MIAMI WEST44,,On,-459.67,5.982,10/10/2015,Yes,836.22,107.86,107.86,13.00,0.808,34.00,6471.4,6471.4,Grain Harvest,203748,SOYBEANS
-86.12680216,40.96783041,AULT,KELLER,MIAMI WEST44,,On,-459.67,7.405,10/10/2015,Yes,836.26,102.33,102.33,13.00,1.054,34.00,6139.9,6139.9,Grain Harvest,203748,SOYBEANS
-86.12680237,40.96783593,AULT,KELLER,MIAMI WEST44,,On,-459.67,8.889,10/10/2015,Yes,836.29,103.87,103.87,13.00,1.246,34.00,6232.4,6232.4,Grain Harvest,203748,SOYBEANS
-86.12680262,40.96784197,AULT,KELLER,MIAMI WEST44,,On,-459.67,8.025,10/10/2015,Yes,836.47,72.14,72.14,13.00,1.620,34.00,4328.5,4328.5,Grain Harvest,203748,SOYBEANS
-86.12680295,40.96784637,AULT,KELLER,MIAMI WEST44,,On,-459.67,8.642,10/10/2015,Yes,836.62,96.47,96.47,13.00,1.304,34.00,5788.4,5788.4,Grain Harvest,203748,SOYBEANS
-86.12680318,40.96785159,AULT,KELLER,MIAMI WEST44,,On,-459.67,6.354,10/10/2015,Yes,836.76,74.51,74.51,13.00,1.241,34.00,4470.5,4470.5,Grain Harvest,203748,SOYBEANS
-86.12680358,40.96785743,AULT,KELLER,MIAMI WEST44,,On,-459.67,6.886,10/10/2015,Yes,836.78,80.60,80.60,13.00,1.244,34.00,4836.1,4836.1,Grain Harvest,203748,SOYBEANS
-86.12680408,40.96786326,AULT,KELLER,MIAMI WEST44,,On,-459.67,8.091,10/10/2015,Yes,836.84,86.48,86.48,13.00,1.362,34.00,5188.5,5188.5,Grain Harvest,203748,SOYBEANS
-86.12680434,40.96786946,AULT,KELLER,MIAMI WEST44,,On,-459.67,8.914,10/10/2015,Yes,836.87,90.51,90.51,13.00,1.434,34.00,5430.4,5430.4,Grain Harvest,203748,SOYBEANS
