Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.17889568,40.96042683,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,0.807,10/15/2015,Yes,799.66,30.54,30.54,13.00,0.374,35.00,1832.3,1832.3,Grain Harvest,203748,SOYBEANS
-86.17890045,40.96042510,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,1.187,10/15/2015,Yes,799.59,30.14,30.14,13.00,0.557,35.00,1808.2,1808.2,Grain Harvest,203748,SOYBEANS
-86.17890321,40.96042399,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,1.163,10/15/2015,Yes,799.60,32.99,32.99,13.00,0.499,35.00,1979.1,1979.1,Grain Harvest,203748,SOYBEANS
-86.17890616,40.96042294,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,0.750,10/15/2015,Yes,799.67,17.06,17.06,13.00,0.622,35.00,1023.8,1023.8,Grain Harvest,203748,SOYBEANS
-86.17890939,40.96042184,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,2.384,10/15/2015,Yes,799.79,54.42,54.42,13.00,0.620,35.00,3265.0,3265.0,Grain Harvest,203748,SOYBEANS
-86.17891274,40.96042108,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,2.478,10/15/2015,Yes,799.93,43.52,43.52,13.00,0.805,35.00,2611.2,2611.2,Grain Harvest,203748,SOYBEANS
-86.17891624,40.96042029,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,3.974,10/15/2015,Yes,800.14,69.59,69.59,13.00,0.808,35.00,4175.7,4175.7,Grain Harvest,203748,SOYBEANS
-86.17892012,40.96041944,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,3.731,10/15/2015,Yes,800.22,60.48,60.48,13.00,0.872,35.00,3628.6,3628.6,Grain Harvest,203748,SOYBEANS
-86.17892430,40.96041844,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,4.217,10/15/2015,Yes,800.21,68.54,68.54,13.00,0.870,35.00,4112.3,4112.3,Grain Harvest,203748,SOYBEANS
-86.17892857,40.96041696,AULT,LAKE ASSOC,LAKE ASSOC20,,On,-459.67,4.472,10/15/2015,Yes,800.18,63.67,63.67,13.00,0.993,35.00,3820.5,3820.5,Grain Harvest,203748,SOYBEANS
