Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.20689118,40.98736452,AULT,SCHALE,EAST MUCK19,,On,-459.67,0.581,10/15/2015,Yes,798.40,5.083,5.083,13.00,1.617,35.00,304.98,304.98,Grain Harvest,203748,SOYBEANS
-86.20688154,40.98736570,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.329,10/15/2015,Yes,798.34,35.31,35.31,13.00,1.734,35.00,2118.7,2118.7,Grain Harvest,203748,SOYBEANS
-86.20687132,40.98736657,AULT,SCHALE,EAST MUCK19,,On,-459.67,5.124,10/15/2015,Yes,798.34,37.50,37.50,13.00,1.933,35.00,2249.7,2249.7,Grain Harvest,203748,SOYBEANS
-86.20686060,40.98736728,AULT,SCHALE,EAST MUCK19,,On,-459.67,3.722,10/15/2015,Yes,798.35,38.58,38.58,13.00,1.365,35.00,2314.6,2314.6,Grain Harvest,203748,SOYBEANS
-86.20684933,40.98736771,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.002,10/15/2015,Yes,798.37,27.53,27.53,13.00,2.056,35.00,1652.1,1652.1,Grain Harvest,203748,SOYBEANS
-86.20683775,40.98736809,AULT,SCHALE,EAST MUCK19,,On,-459.67,3.919,10/15/2015,Yes,798.27,26.39,26.39,13.00,2.100,35.00,1583.4,1583.4,Grain Harvest,203748,SOYBEANS
-86.20682609,40.98736875,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.595,10/15/2015,Yes,798.02,47.47,47.47,13.00,1.369,35.00,2848.0,2848.0,Grain Harvest,203748,SOYBEANS
-86.20681420,40.98736935,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.117,10/15/2015,Yes,797.88,28.42,28.42,13.00,2.049,35.00,1704.9,1704.9,Grain Harvest,203748,SOYBEANS
-86.20680278,40.98737007,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.698,10/15/2015,Yes,797.67,66.74,66.74,13.00,0.995,35.00,4004.6,4004.6,Grain Harvest,203748,SOYBEANS
-86.20679073,40.98737053,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.832,10/15/2015,Yes,797.56,34.37,34.37,13.00,1.989,35.00,2061.9,2061.9,Grain Harvest,203748,SOYBEANS
-86.20677845,40.98737114,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.406,10/15/2015,Yes,797.30,18.53,18.53,13.00,3.362,35.00,1112.0,1112.0,Grain Harvest,203748,SOYBEANS
-86.20676574,40.98737185,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.752,10/15/2015,Yes,797.26,31.01,31.01,13.00,2.168,35.00,1860.3,1860.3,Grain Harvest,203748,SOYBEANS
-86.20675261,40.98737240,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.200,10/15/2015,Yes,797.19,29.77,29.77,13.00,1.995,35.00,1786.1,1786.1,Grain Harvest,203748,SOYBEANS
-86.20673942,40.98737286,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.560,10/15/2015,Yes,797.04,27.30,27.30,13.00,2.362,35.00,1638.2,1638.2,Grain Harvest,203748,SOYBEANS
-86.20672596,40.98737353,AULT,SCHALE,EAST MUCK19,,On,-459.67,4.672,10/15/2015,Yes,796.78,34.47,34.47,13.00,1.917,35.00,2068.0,2068.0,Grain Harvest,203748,SOYBEANS
