Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.20706633,40.99575444,AULT,SCHALE,MIKESELL40,,On,-459.67,0.714,7/15/2015,Yes,827.47,9.229,9.229,13.50,1.277,30.00,553.72,553.72,Grain Harvest,2010385416,WHEAT
-86.20706610,40.99574926,AULT,SCHALE,MIKESELL40,,On,-459.67,1.248,7/15/2015,Yes,827.36,16.47,16.47,13.50,1.250,30.00,988.38,988.38,Grain Harvest,2010385416,WHEAT
-86.20706614,40.99574455,AULT,SCHALE,MIKESELL40,,On,-459.67,1.803,7/15/2015,Yes,827.20,25.19,25.19,13.50,1.181,30.00,1511.7,1511.7,Grain Harvest,2010385416,WHEAT
-86.20706589,40.99574186,AULT,SCHALE,MIKESELL40,,On,-459.67,3.441,7/15/2015,Yes,827.39,92.98,92.98,13.50,0.611,30.00,5578.8,5578.8,Grain Harvest,2010385416,WHEAT
-86.20706538,40.99571909,AULT,SCHALE,MIKESELL40,,On,-459.67,5.352,7/15/2015,Yes,827.42,223.03,223.03,13.50,0.396,30.00,13382,13382,Grain Harvest,2010385416,WHEAT
-86.20706533,40.99571496,AULT,SCHALE,MIKESELL40,,On,-459.67,5.503,7/15/2015,Yes,827.49,96.42,96.42,13.50,0.942,30.00,5785.2,5785.2,Grain Harvest,2010385416,WHEAT
-86.20706523,40.99571092,AULT,SCHALE,MIKESELL40,,On,-459.67,4.055,7/15/2015,Yes,827.49,71.05,71.05,13.50,0.942,30.00,4263.2,4263.2,Grain Harvest,2010385416,WHEAT
-86.20706523,40.99570694,AULT,SCHALE,MIKESELL40,,On,-459.67,3.811,7/15/2015,Yes,827.52,66.77,66.77,13.50,0.942,30.00,4005.9,4005.9,Grain Harvest,2010385416,WHEAT
-86.20706519,40.99570293,AULT,SCHALE,MIKESELL40,,On,-459.67,3.557,7/15/2015,Yes,827.56,62.17,62.17,13.50,0.944,30.00,3730.1,3730.1,Grain Harvest,2010385416,WHEAT
-86.20706489,40.99569882,AULT,SCHALE,MIKESELL40,,On,-459.67,3.658,7/15/2015,Yes,827.67,64.25,64.25,13.50,0.940,30.00,3854.9,3854.9,Grain Harvest,2010385416,WHEAT
-86.20706487,40.99569490,AULT,SCHALE,MIKESELL40,,On,-459.67,4.416,7/15/2015,Yes,827.68,77.18,77.18,13.50,0.944,30.00,4630.8,4630.8,Grain Harvest,2010385416,WHEAT
-86.20706482,40.99569084,AULT,SCHALE,MIKESELL40,,On,-459.67,5.608,7/15/2015,Yes,827.71,98.25,98.25,13.50,0.942,30.00,5895.0,5895.0,Grain Harvest,2010385416,WHEAT
-86.20706486,40.99568635,AULT,SCHALE,MIKESELL40,,On,-459.67,5.169,7/15/2015,Yes,827.70,87.25,87.25,13.50,0.978,30.00,5235.1,5235.1,Grain Harvest,2010385416,WHEAT
-86.20706490,40.99568171,AULT,SCHALE,MIKESELL40,,On,-459.67,5.884,7/15/2015,Yes,827.65,86.63,86.63,13.50,1.121,30.00,5198.0,5198.0,Grain Harvest,2010385416,WHEAT
-86.20706493,40.99567721,AULT,SCHALE,MIKESELL40,,On,-459.67,6.281,7/15/2015,Yes,827.74,94.36,94.36,13.50,1.098,30.00,5661.5,5661.5,Grain Harvest,2010385416,WHEAT
-86.20706436,40.99567211,AULT,SCHALE,MIKESELL40,,On,-459.67,4.903,7/15/2015,Yes,827.83,71.76,71.76,13.50,1.127,30.00,4305.4,4305.4,Grain Harvest,2010385416,WHEAT
-86.20706475,40.99566745,AULT,SCHALE,MIKESELL40,,On,-459.67,5.237,7/15/2015,Yes,827.63,76.95,76.95,13.50,1.123,30.00,4617.1,4617.1,Grain Harvest,2010385416,WHEAT
-86.20706483,40.99566291,AULT,SCHALE,MIKESELL40,,On,-459.67,5.159,7/15/2015,Yes,827.70,77.50,77.50,13.50,1.098,30.00,4649.9,4649.9,Grain Harvest,2010385416,WHEAT
-86.20706480,40.99565931,AULT,SCHALE,MIKESELL40,,On,-459.67,6.197,7/15/2015,Yes,827.74,119.67,119.67,13.50,0.855,30.00,7180.1,7180.1,Grain Harvest,2010385416,WHEAT
-86.20706482,40.99565419,AULT,SCHALE,MIKESELL40,,On,-459.67,6.730,7/15/2015,Yes,827.79,105.17,105.17,13.50,1.056,30.00,6310.2,6310.2,Grain Harvest,2010385416,WHEAT
-86.20706470,40.99564862,AULT,SCHALE,MIKESELL40,,On,-459.67,6.895,7/15/2015,Yes,827.88,86.49,86.49,5.200,1.315,30.00,5189.6,5189.6,Grain Harvest,2010385416,WHEAT
-86.20706459,40.99564296,AULT,SCHALE,MIKESELL40,,On,-459.67,8.632,7/15/2015,Yes,827.91,109.78,109.78,8.300,1.297,30.00,6586.6,6586.6,Grain Harvest,2010385416,WHEAT
-86.20706482,40.99563755,AULT,SCHALE,MIKESELL40,,On,-459.67,7.961,7/15/2015,Yes,828.01,99.86,99.86,11.80,1.315,30.00,5991.7,5991.7,Grain Harvest,2010385416,WHEAT
-86.20706516,40.99563183,AULT,SCHALE,MIKESELL40,,On,-459.67,7.431,7/15/2015,Yes,827.89,93.43,93.86,13.90,1.306,30.00,5605.7,5631.7,Grain Harvest,2010385416,WHEAT
-86.20706529,40.99562629,AULT,SCHALE,MIKESELL40,,On,-459.67,7.608,7/15/2015,Yes,827.91,94.27,95.93,15.00,1.309,30.00,5656.0,5755.8,Grain Harvest,2010385416,WHEAT
-86.20706543,40.99562069,AULT,SCHALE,MIKESELL40,,On,-459.67,8.063,7/15/2015,Yes,827.96,99.89,102.02,15.30,1.304,30.00,5993.7,6121.1,Grain Harvest,2010385416,WHEAT
-86.20706559,40.99561516,AULT,SCHALE,MIKESELL40,,On,-459.67,7.919,7/15/2015,Yes,828.01,95.62,97.19,14.90,1.344,30.00,5737.3,5831.6,Grain Harvest,2010385416,WHEAT
-86.20706556,40.99560956,AULT,SCHALE,MIKESELL40,,On,-459.67,6.671,7/15/2015,Yes,828.04,83.03,84.40,14.90,1.304,30.00,4982.0,5063.9,Grain Harvest,2010385416,WHEAT
-86.20706588,40.99560320,AULT,SCHALE,MIKESELL40,,On,-459.67,7.383,7/15/2015,Yes,827.97,87.17,89.13,15.40,1.367,30.00,5230.3,5347.8,Grain Harvest,2010385416,WHEAT
