Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.05972622,40.97451189,AULT,WINEGARDENER,ALL52,,On,-459.67,1.960,10/17/2015,No,838.93,10.62,10.62,13.00,3.044,30.00,637.24,637.24,Grain Harvest,2010385416,SOYBEANS
-86.05972744,40.97449642,AULT,WINEGARDENER,ALL52,,On,-459.67,3.160,10/17/2015,No,838.87,15.69,15.69,13.00,3.324,30.00,941.21,941.21,Grain Harvest,2010385416,SOYBEANS
-86.05972673,40.97448214,AULT,WINEGARDENER,ALL52,,On,-459.67,2.613,10/17/2015,No,839.11,12.92,12.92,13.00,3.335,30.00,775.47,775.47,Grain Harvest,2010385416,SOYBEANS
-86.05972684,40.97446731,AULT,WINEGARDENER,ALL52,,On,-459.67,1.720,10/17/2015,No,839.11,8.190,8.190,13.00,3.465,30.00,491.38,491.38,Grain Harvest,2010385416,SOYBEANS
-86.05972567,40.97445178,AULT,WINEGARDENER,ALL52,,On,-459.67,3.410,10/17/2015,No,839.07,15.62,15.62,13.00,3.601,30.00,937.27,937.27,Grain Harvest,2010385416,SOYBEANS
-86.05972437,40.97443560,AULT,WINEGARDENER,ALL52,,On,-459.67,6.689,10/17/2015,No,839.07,29.90,29.90,13.00,3.691,30.00,1794.3,1794.3,Grain Harvest,2010385416,SOYBEANS
-86.05972316,40.97441957,AULT,WINEGARDENER,ALL52,,On,-459.67,9.820,10/17/2015,No,839.11,43.53,43.53,13.00,3.722,30.00,2611.8,2611.8,Grain Harvest,2010385416,SOYBEANS
-86.05972189,40.97440476,AULT,WINEGARDENER,ALL52,,On,-459.67,6.494,10/17/2015,No,839.29,29.66,29.66,13.00,3.613,30.00,1779.5,1779.5,Grain Harvest,2010385416,SOYBEANS
-86.05972127,40.97438947,AULT,WINEGARDENER,ALL52,,On,-459.67,3.040,10/17/2015,No,839.41,14.16,14.16,13.00,3.543,30.00,849.38,849.38,Grain Harvest,2010385416,SOYBEANS
-86.05972041,40.97437446,AULT,WINEGARDENER,ALL52,,On,-459.67,1.384,10/17/2015,No,839.37,6.691,6.691,13.00,3.414,30.00,401.43,401.43,Grain Harvest,2010385416,SOYBEANS
-86.05970831,40.97430567,AULT,WINEGARDENER,ALL52,,On,-459.67,3.374,10/17/2015,No,839.70,16.31,16.31,13.00,3.414,30.00,978.53,978.53,Grain Harvest,2010385416,SOYBEANS
-86.05970400,40.97429150,AULT,WINEGARDENER,ALL52,,On,-459.67,6.925,10/17/2015,No,839.64,33.02,33.02,13.00,3.461,30.00,1981.2,1981.2,Grain Harvest,2010385416,SOYBEANS
-86.05969913,40.97427658,AULT,WINEGARDENER,ALL52,,On,-459.67,10.37,10/17/2015,No,839.66,48.99,48.99,13.00,3.494,30.00,2939.2,2939.2,Grain Harvest,2010385416,SOYBEANS
-86.05969375,40.97426195,AULT,WINEGARDENER,ALL52,,On,-459.67,6.755,10/17/2015,No,839.68,31.88,31.88,13.00,3.496,30.00,1912.6,1912.6,Grain Harvest,2010385416,SOYBEANS
-86.05968915,40.97424679,AULT,WINEGARDENER,ALL52,,On,-459.67,2.995,10/17/2015,No,839.78,13.37,13.37,13.00,3.698,30.00,802.01,802.01,Grain Harvest,2010385416,SOYBEANS
