Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Protein(%),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.11758576,41.46780881,ANITA P0157/P0589,16/11/07-09:34:48,CORN,1,3.189,176.40,1.000,954.41,11/7/2016,On,20.00,Yes,2.362,15.50,1613.5,28.81,1613.5,28.81,In,0.00,6553.5,0.0026,0.554,0.00,41.00,2,2.174,5.271,1.804,9.510,0.0011,0.063,151.87,0.229,11/7/2016
-85.11758535,41.46780597,ANITA P0157/P0589,16/11/07-09:34:48,CORN,2,1.824,176.50,1.000,954.45,11/7/2016,On,20.00,Yes,4.215,15.50,5032.2,89.86,5032.2,89.86,In,0.0036,6553.5,0.0021,0.396,0.00,45.00,2,1.244,3.015,2.523,7.608,0.00050,0.028,270.94,0.163,11/7/2016
-85.11758510,41.46780066,ANITA P0157/P0589,16/11/07-09:34:48,CORN,3,4.373,178.10,2.000,954.36,11/7/2016,On,20.00,Yes,3.932,15.50,3916.8,69.94,3916.8,69.94,In,0.00046,6553.5,0.0021,0.950,0.00,45.00,2,1.491,3.614,1.052,3.804,0.00027,0.015,252.80,0.392,11/7/2016
-85.11758470,41.46779498,ANITA P0157/P0589,16/11/07-09:34:48,CORN,4,1.549,179.50,1.000,954.43,11/7/2016,On,20.00,Yes,5.307,15.50,7464.4,133.29,7464.4,133.29,In,0.0018,6553.5,0.0021,0.336,0.00,53.00,2,1.056,2.560,2.972,7.608,0.00040,0.022,341.17,0.139,11/7/2016
-85.11758417,41.46778861,ANITA P0157/P0589,16/11/07-09:34:48,CORN,5,2.277,180.10,1.000,954.07,11/7/2016,On,20.00,Yes,4.164,15.50,3983.1,71.13,3983.1,71.13,In,0.0018,6553.5,0.0024,0.440,0.00,51.00,2,1.552,3.763,2.274,8.559,0.00057,0.032,267.68,0.181,11/7/2016
-85.11758428,41.46777880,ANITA P0157/P0589,16/11/07-09:34:48,CORN,6,2.733,181.60,1.000,954.14,11/7/2016,On,20.00,Yes,5.018,15.50,3998.9,71.41,3998.9,71.41,In,0.00,6553.5,0.0024,0.528,0.00,49.00,2,1.863,4.517,1.895,8.559,0.00047,0.027,322.57,0.218,11/7/2016
-85.11758425,41.46777276,ANITA P0157/P0589,16/11/07-09:34:48,CORN,7,2.917,182.40,1.000,953.89,11/7/2016,On,20.00,Yes,6.844,15.50,5110.6,91.26,5110.6,91.26,In,-2.590e-009,6553.5,0.0024,0.563,0.00,50.00,2,1.989,4.821,1.775,8.559,0.00035,0.019,439.96,0.232,11/7/2016
-85.11758508,41.46776168,ANITA P0157/P0589,16/11/07-09:34:48,CORN,8,3.829,183.20,1.000,953.81,11/7/2016,On,20.00,Yes,7.947,15.50,4520.6,80.73,4520.6,80.73,In,0.0032,6553.5,0.0024,0.739,0.00,51.00,2,2.611,6.328,1.352,8.559,0.00030,0.017,510.87,0.305,11/7/2016
-85.11758590,41.46775413,ANITA P0157/P0589,16/11/07-09:34:48,CORN,9,3.645,183.40,1.000,953.70,11/7/2016,On,20.00,Yes,7.591,15.50,4535.8,81.00,4535.8,81.00,In,0.0018,6553.5,0.0024,0.704,0.00,49.00,2,2.485,6.025,1.421,8.559,0.00031,0.018,487.98,0.290,11/7/2016
-85.11758701,41.46774179,ANITA P0157/P0589,16/11/07-09:34:48,CORN,10,3.917,183.70,1.000,953.61,11/7/2016,On,20.00,Yes,6.885,15.50,3827.8,68.35,3827.8,68.35,In,0.00046,6553.5,0.0024,0.756,0.00,51.00,2,2.671,6.475,1.322,8.559,0.00035,0.019,442.59,0.312,11/7/2016
