Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10582858,41.50222293,DB1-33T16,16/09/27-14:10:23,SOYBEANS,1,4.738,298.50,1.000,987.23,10/24/2016,On,35.00,Yes,4.143,13.00,1088.4,18.14,1088.4,18.14,In,0.00,0.0026,1.441,0.00,63.00,2,3.230,13.70,0.694,9.510,0.00064,0.038,248.57,0.340,10/24/2016
-85.10584213,41.50222914,DB1-33T16,16/09/27-14:10:23,SOYBEANS,2,4.764,302.90,1.000,987.47,10/24/2016,On,35.00,Yes,7.195,13.00,1879.8,31.33,1879.8,31.33,In,-0.0023,0.0029,1.317,0.00,65.00,2,3.248,13.78,0.759,10.46,0.00040,0.024,431.71,0.310,10/24/2016
-85.10585482,41.50223615,DB1-33T16,16/09/27-14:10:23,SOYBEANS,3,4.400,307.30,1.000,987.93,10/24/2016,On,35.00,Yes,7.314,13.00,2068.9,34.48,2068.9,34.48,In,7.760e-009,0.0032,1.115,0.00,64.00,2,3.000,12.73,0.897,11.41,0.00043,0.026,438.82,0.263,10/24/2016
-85.10586610,41.50224354,DB1-33T16,16/09/27-14:10:23,SOYBEANS,4,4.639,311.90,1.000,988.34,10/24/2016,On,35.00,Yes,7.269,13.00,1950.2,32.50,1950.2,32.50,In,-0.0018,0.0032,1.176,0.00,65.00,2,3.163,13.42,0.850,11.41,0.00044,0.026,436.16,0.277,10/24/2016
-85.10587654,41.50225159,DB1-33T16,16/09/27-14:10:23,SOYBEANS,5,4.478,316.20,1.000,988.76,10/24/2016,On,35.00,Yes,7.320,13.00,2034.2,33.90,2034.2,33.90,In,3.880e-009,0.0032,1.135,0.00,72.00,2,3.053,12.95,0.881,11.41,0.00043,0.026,439.18,0.268,10/24/2016
-85.10588660,41.50226053,DB1-33T16,16/09/27-14:10:23,SOYBEANS,6,4.406,321.10,1.000,989.25,10/24/2016,On,35.00,Yes,8.244,13.00,2328.6,38.81,2328.6,38.81,In,0.0014,0.0034,1.031,0.00,78.00,2,3.004,12.75,0.970,12.36,0.00042,0.025,494.63,0.243,10/24/2016
-85.10589617,41.50227081,DB1-33T16,16/09/27-14:10:23,SOYBEANS,7,4.587,325.70,1.000,989.55,10/24/2016,On,35.00,Yes,8.712,13.00,2363.9,39.40,2363.9,39.40,In,0.0023,0.0037,0.996,0.00,79.00,2,3.127,13.27,1.004,13.31,0.00042,0.025,522.71,0.235,10/24/2016
-85.10590450,41.50228146,DB1-33T16,16/09/27-14:10:23,SOYBEANS,8,4.678,330.20,1.000,989.93,10/24/2016,On,35.00,Yes,8.214,13.00,2185.1,36.42,2185.1,36.42,In,3.507e-015,0.0037,1.016,0.00,79.00,2,3.190,13.53,0.984,13.31,0.00045,0.027,492.85,0.240,10/24/2016
-85.10590450,41.50228146,DB1-33T16,16/09/27-14:10:23,SOYBEANS,9,0.253,330.20,0.100,989.93,10/24/2016,On,35.00,Yes,8.214,13.00,4046.8,67.45,4046.8,67.45,In,3.507e-015,0.0037,0.055,0.00,79.00,2,1.722,7.307,18.22,133.14,0.0045,0.270,492.85,0.013,10/24/2016
-85.10591200,41.50229282,DB1-33T16,16/09/27-14:10:23,SOYBEANS,10,4.393,334.00,0.900,990.11,10/24/2016,On,35.00,Yes,9.084,13.00,2316.1,38.60,2316.1,38.60,In,-0.0018,0.0040,0.891,0.00,76.00,2,3.328,14.12,1.123,15.85,0.00048,0.029,545.02,0.210,10/24/2016
-85.10591789,41.50230303,DB1-33T16,16/09/27-14:10:23,SOYBEANS,11,4.327,337.20,1.000,990.47,10/24/2016,On,35.00,Yes,6.772,13.00,1947.5,32.46,1947.5,32.46,In,-0.0014,0.0037,0.940,0.00,70.00,2,2.951,12.52,1.064,13.31,0.00055,0.033,406.30,0.222,10/24/2016
-85.10592335,41.50231433,DB1-33T16,16/09/27-14:10:23,SOYBEANS,12,4.278,340.00,1.000,990.65,10/24/2016,On,35.00,Yes,5.661,13.00,1646.8,27.45,1646.8,27.45,In,-0.0014,0.0034,1.001,0.00,72.00,2,2.917,12.37,0.999,12.36,0.00061,0.036,339.65,0.236,10/24/2016
-85.10592727,41.50232429,DB1-33T16,16/09/27-14:10:23,SOYBEANS,13,4.029,343.10,1.000,990.83,10/24/2016,On,35.00,Yes,5.273,13.00,1628.9,27.15,1628.9,27.15,In,6.470e-009,0.0034,0.943,0.00,73.00,2,2.747,11.65,1.061,12.36,0.00065,0.039,316.37,0.222,10/24/2016
-85.10593060,41.50233415,DB1-33T16,16/09/27-14:10:23,SOYBEANS,14,3.760,345.70,1.000,991.03,10/24/2016,On,35.00,Yes,5.028,13.00,1664.5,27.74,1664.5,27.74,In,0.0018,0.0034,0.880,0.00,72.00,3,2.564,10.88,1.137,12.36,0.00068,0.041,301.70,0.207,10/24/2016
-85.10593347,41.50234437,DB1-33T16,16/09/27-14:10:23,SOYBEANS,15,3.875,348.40,1.000,991.33,10/24/2016,On,35.00,Yes,5.169,13.00,1660.3,27.67,1660.3,27.67,In,0.0023,0.0034,0.907,0.00,72.00,3,2.642,11.21,1.103,12.36,0.00066,0.040,310.13,0.214,10/24/2016
-85.10593538,41.50235462,DB1-33T16,16/09/27-14:10:23,SOYBEANS,16,3.868,350.70,1.000,991.37,10/24/2016,On,35.00,Yes,5.093,13.00,1638.7,27.31,1638.7,27.31,In,-0.0018,0.0034,0.905,0.00,74.00,3,2.637,11.19,1.105,12.36,0.00067,0.040,305.58,0.213,10/24/2016
-85.10593704,41.50236504,DB1-33T16,16/09/27-14:10:23,SOYBEANS,17,3.875,352.40,1.000,991.56,10/24/2016,On,35.00,Yes,4.182,13.00,1343.4,22.39,1343.4,22.39,In,-0.0018,0.0034,0.907,0.00,69.00,3,2.642,11.21,1.103,12.36,0.00082,0.049,250.94,0.214,10/24/2016
-85.10593819,41.50237492,DB1-33T16,16/09/27-14:10:23,SOYBEANS,18,3.734,354.40,1.000,991.68,10/24/2016,On,35.00,Yes,3.525,13.00,1174.9,19.58,1174.9,19.58,In,1.290e-009,0.0034,0.874,0.00,74.00,3,2.546,10.80,1.145,12.36,0.00097,0.058,211.47,0.206,10/24/2016
-85.10593903,41.50238359,DB1-33T16,16/09/27-14:10:23,SOYBEANS,19,3.419,355.20,1.000,991.81,10/24/2016,On,35.00,Yes,4.000,13.00,1456.1,24.27,1456.1,24.27,In,3.880e-009,0.0034,0.800,0.00,77.00,3,2.331,9.889,1.250,12.36,0.00086,0.052,239.97,0.189,10/24/2016
-85.10593960,41.50239168,DB1-33T16,16/09/27-14:10:23,SOYBEANS,20,3.110,356.30,1.000,991.95,10/24/2016,On,35.00,Yes,3.463,13.00,1385.6,23.09,1385.6,23.09,In,3.880e-009,0.0037,0.676,0.00,77.00,3,2.121,8.997,1.480,13.31,0.0011,0.064,207.76,0.159,10/24/2016
-85.10594005,41.50239909,DB1-33T16,16/09/27-14:10:23,SOYBEANS,21,2.677,356.60,1.000,992.06,10/24/2016,On,35.00,Yes,2.581,13.00,1199.9,20.00,1199.9,20.00,In,-0.0018,0.0037,0.582,0.00,82.00,3,1.825,7.744,1.719,13.31,0.0014,0.086,154.86,0.137,10/24/2016
-85.10594030,41.50240514,DB1-33T16,16/09/27-14:10:23,SOYBEANS,22,2.877,357.10,1.000,992.28,10/24/2016,On,35.00,Yes,2.780,13.00,1202.6,20.04,1202.6,20.04,In,-0.0018,0.0040,0.583,0.00,78.00,3,1.962,8.323,1.714,14.27,0.0014,0.086,166.82,0.138,10/24/2016
