Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.08781904,41.51657151,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,1,4.501,0.800,1.000,1000.4,10/19/2016,On,20.00,Yes,1.497,15.50,724.23,12.93,724.23,12.93,In,0.0018,0.0026,0.782,0.00,58.00,1,3.069,7.440,1.278,9.510,0.0018,0.099,96.22,0.323,10/19/2016
-85.08781893,41.51658281,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,2,4.121,0.300,1.000,1000.2,10/19/2016,On,20.00,Yes,1.908,15.50,1008.6,18.01,1008.6,18.01,In,2.590e-009,0.0026,0.716,0.00,58.00,1,2.810,6.811,1.396,9.510,0.0014,0.078,122.68,0.295,10/19/2016
-85.08781897,41.51659480,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,3,4.406,0.00,1.000,1000.2,10/19/2016,On,20.00,Yes,2.425,15.50,1198.6,21.40,1198.6,21.40,In,0.00046,0.0026,0.766,0.00,56.00,1,3.004,7.283,1.306,9.510,0.0011,0.061,155.87,0.316,10/19/2016
-85.08781901,41.51660678,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,4,4.505,0.00,1.000,999.84,10/19/2016,On,20.00,Yes,2.917,15.50,1410.4,25.18,1410.4,25.18,In,0.0018,0.0026,0.783,0.00,55.00,1,3.071,7.446,1.277,9.510,0.00091,0.051,187.52,0.323,10/19/2016
-85.08781904,41.51661900,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,5,4.252,359.70,1.000,999.49,10/19/2016,On,20.00,Yes,2.465,15.50,1262.7,22.55,1262.7,22.55,In,0.0036,0.0024,0.821,0.00,54.00,1,2.899,7.028,1.218,8.559,0.00096,0.054,158.47,0.339,10/19/2016
-85.08781922,41.51663055,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,6,4.091,359.30,1.000,999.27,10/19/2016,On,20.00,Yes,2.643,15.50,1406.8,25.12,1406.8,25.12,In,0.0041,0.0024,0.790,0.00,56.00,1,2.789,6.762,1.266,8.559,0.00090,0.050,169.88,0.326,10/19/2016
-85.08781950,41.51664209,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,7,4.058,359.50,1.000,998.94,10/19/2016,On,20.00,Yes,2.183,15.50,1171.4,20.92,1171.4,20.92,In,0.0032,0.0024,0.784,0.00,54.00,1,2.767,6.708,1.276,8.559,0.0011,0.061,140.31,0.323,10/19/2016
-85.08781956,41.51665357,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,8,4.134,359.40,1.000,998.80,10/19/2016,On,20.00,Yes,2.158,15.50,1137.2,20.31,1137.2,20.31,In,0.0018,0.0024,0.798,0.00,58.00,1,2.819,6.833,1.253,8.559,0.0011,0.062,138.76,0.329,10/19/2016
-85.08781975,41.51666505,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,9,4.314,359.20,1.000,998.49,10/19/2016,On,20.00,Yes,3.022,15.50,1525.5,27.24,1525.5,27.24,In,0.0018,0.0024,0.833,0.00,55.00,1,2.942,7.131,1.200,8.559,0.00079,0.044,194.26,0.344,10/19/2016
-85.08781979,41.51667774,DAR/LEAS P0506 END,16/09/27-13:49:15,CORN,10,4.587,359.20,1.000,998.18,10/19/2016,On,20.00,Yes,3.111,15.50,1477.1,26.38,1477.1,26.38,In,0.00046,0.0024,0.886,0.00,59.00,1,3.127,7.581,1.129,8.559,0.00076,0.043,199.97,0.365,10/19/2016
