Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.08746407,41.52057817,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,1,4.491,84.30,1.000,991.70,10/19/2016,On,20.00,Yes,3.449,15.50,1672.7,29.87,1672.7,29.87,In,0.00,0.0024,0.867,0.00,49.00,1,3.062,7.424,1.153,8.559,0.00069,0.039,221.75,0.358,10/19/2016
-85.08744822,41.52057922,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,2,4.403,84.20,1.000,991.86,10/19/2016,On,20.00,Yes,6.966,15.50,3445.9,61.53,3445.9,61.53,In,-0.0018,0.0024,0.850,0.00,53.00,1,3.002,7.277,1.176,8.559,0.00034,0.019,447.82,0.351,10/19/2016
-85.08743330,41.52058047,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,3,4.380,82.80,1.000,992.07,10/19/2016,On,20.00,Yes,10.29,15.50,5116.5,91.37,5116.5,91.37,In,-0.0041,0.0024,0.846,0.00,51.00,1,2.986,7.240,1.182,8.559,0.00023,0.013,661.45,0.349,10/19/2016
-85.08741761,41.52058227,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,4,4.587,80.90,1.000,992.19,10/19/2016,On,20.00,Yes,10.77,15.50,5113.7,91.32,5113.7,91.32,In,0.00045,0.0024,0.886,0.00,55.00,1,3.127,7.581,1.129,8.559,0.00022,0.012,692.27,0.365,10/19/2016
-85.08740152,41.52058456,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,5,4.406,78.60,1.000,992.17,10/19/2016,On,20.00,Yes,10.69,15.50,5283.6,94.35,5283.6,94.35,In,-0.0032,0.0024,0.851,0.00,53.00,1,3.004,7.283,1.175,8.559,0.00022,0.012,687.14,0.351,10/19/2016
-85.08738509,41.52058770,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,6,4.327,75.10,1.000,992.12,10/19/2016,On,20.00,Yes,13.21,15.50,6650.1,118.75,6650.1,118.75,In,-0.00046,0.0024,0.836,0.00,55.00,1,2.951,7.153,1.197,8.559,0.00018,0.010,849.40,0.345,10/19/2016
-85.08736949,41.52059122,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,7,4.350,72.40,1.000,992.16,10/19/2016,On,20.00,Yes,13.77,15.50,6896.0,123.14,6896.0,123.14,In,-0.0036,0.0024,0.840,0.00,56.00,1,2.966,7.191,1.190,8.559,0.00017,0.0097,885.49,0.347,10/19/2016
-85.08735349,41.52059560,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,8,4.416,69.90,1.000,992.00,10/19/2016,On,20.00,Yes,14.96,15.50,7379.2,131.77,7379.2,131.77,In,0.00045,0.0024,0.853,0.00,58.00,1,3.011,7.299,1.173,8.559,0.00016,0.0089,961.83,0.352,10/19/2016
-85.08733873,41.52059995,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,9,4.304,68.90,1.000,992.14,10/19/2016,On,20.00,Yes,16.69,15.50,8444.1,150.79,8444.1,150.79,In,-0.0041,0.0024,0.831,0.00,56.00,1,2.935,7.115,1.203,8.559,0.00014,0.0080,1072.8,0.343,10/19/2016
-85.08732226,41.52060492,DAR/LEAS P0909NORH,16/09/27-13:50:41,CORN,10,4.587,68.90,1.000,991.91,10/19/2016,On,20.00,Yes,19.06,15.50,9048.9,161.59,9048.9,161.59,In,-0.00046,0.0026,0.797,0.00,59.00,1,3.127,7.581,1.254,9.510,0.00014,0.0078,1225.0,0.329,10/19/2016
