Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.07500422,41.52102888,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,1,2.467,59.60,1.000,1010.4,10/22/2016,On,20.00,Yes,2.288,15.50,2019.4,36.06,2019.4,36.06,In,-0.0014,0.0026,0.429,0.00,58.00,3,1.682,4.078,2.332,9.510,0.0012,0.065,147.06,0.177,10/22/2016
-85.07499412,41.52103316,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,2,2.431,59.90,1.000,1010.2,10/22/2016,On,20.00,Yes,3.667,15.50,3285.6,58.67,3285.6,58.67,In,0.00,0.0026,0.423,0.00,61.00,3,1.658,4.018,2.367,9.510,0.00072,0.040,235.76,0.174,10/22/2016
-85.07498835,41.52103571,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,3,2.077,60.10,1.000,1010.2,10/22/2016,On,20.00,Yes,5.144,15.50,5394.7,96.33,5394.7,96.33,In,-2.590e-009,0.0029,0.328,0.00,63.00,3,1.416,3.433,3.048,10.46,0.00056,0.032,330.68,0.135,10/22/2016
-85.07497976,41.52103930,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,4,2.343,60.50,1.000,1010.2,10/22/2016,On,20.00,Yes,5.959,15.50,5540.5,98.94,5540.5,98.94,In,3.879e-009,0.0029,0.370,0.00,63.00,3,1.597,3.872,2.702,10.46,0.00049,0.027,383.08,0.153,10/22/2016
-85.07497463,41.52104138,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,5,2.133,60.80,1.000,1010.2,10/22/2016,On,20.00,Yes,6.966,15.50,7114.5,127.05,7114.5,127.05,In,0.00,0.0029,0.337,0.00,64.00,3,1.454,3.525,2.968,10.46,0.00042,0.023,447.82,0.139,10/22/2016
-85.07496668,41.52104470,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,6,2.313,60.90,1.000,1010.2,10/22/2016,On,20.00,Yes,7.739,15.50,7287.0,130.12,7287.0,130.12,In,-0.0014,0.0029,0.365,0.00,63.00,3,1.577,3.823,2.736,10.46,0.00038,0.021,497.48,0.151,10/22/2016
-85.07496041,41.52104745,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,7,2.612,60.90,1.000,1010.1,10/22/2016,On,20.00,Yes,8.897,15.50,7420.3,132.51,7420.3,132.51,In,0.0023,0.0032,0.378,0.00,64.00,3,1.781,4.317,2.644,11.41,0.00036,0.020,571.97,0.156,10/22/2016
-85.07495056,41.52105143,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,8,2.881,61.00,1.000,1010.3,10/22/2016,On,20.00,Yes,9.390,15.50,7099.9,126.78,7099.9,126.78,In,3.879e-009,0.0029,0.455,0.00,64.00,3,1.964,4.761,2.197,10.46,0.00031,0.017,603.65,0.188,10/22/2016
-85.07494209,41.52105487,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,9,3.468,61.30,1.000,1010.3,10/22/2016,On,20.00,Yes,10.26,15.50,6441.3,115.02,6441.3,115.02,In,-0.0018,0.0029,0.548,0.00,64.00,3,2.364,5.732,1.825,10.46,0.00028,0.016,659.31,0.226,10/22/2016
-85.07492863,41.52106027,DILLEY P0157 SMALL,16/09/27-13:57:53,CORN,10,3.681,61.30,1.000,1010.5,10/22/2016,On,20.00,Yes,10.66,15.50,6304.6,112.58,6304.6,112.58,In,0.00,0.0032,0.533,0.00,72.00,3,2.510,6.084,1.876,11.41,0.00030,0.017,685.00,0.220,10/22/2016
