Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.06957734,41.49925524,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,1,3.179,155.00,1.000,956.75,10/10/2016,On,35.00,Yes,4.812,13.00,1883.8,31.40,1883.8,31.40,In,0.00,0.0021,1.209,0.00,47.00,1,2.168,9.196,0.827,7.608,0.00044,0.026,288.71,0.285,10/10/2016
-85.06957250,41.49924733,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,2,3.215,156.20,1.000,956.62,10/10/2016,On,35.00,Yes,5.773,13.00,2234.8,37.25,2234.8,37.25,In,-0.00091,0.0021,1.222,0.00,47.00,1,2.192,9.300,0.818,7.608,0.00037,0.022,346.39,0.288,10/10/2016
-85.06956712,41.49923854,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,3,3.235,156.70,1.000,956.40,10/10/2016,On,35.00,Yes,6.899,13.00,2654.3,44.24,2654.3,44.24,In,0.0014,0.0021,1.230,0.00,50.00,1,2.206,9.357,0.813,7.608,0.00031,0.018,413.94,0.290,10/10/2016
-85.06956184,41.49922952,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,4,3.366,157.40,1.000,956.05,10/10/2016,On,35.00,Yes,8.025,13.00,2967.0,49.45,2967.0,49.45,In,-0.00046,0.0021,1.280,0.00,50.00,1,2.295,9.737,0.781,7.608,0.00026,0.016,481.48,0.302,10/10/2016
-85.06955667,41.49922011,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,5,3.376,158.90,1.000,955.70,10/10/2016,On,35.00,Yes,8.158,13.00,3007.5,50.12,3007.5,50.12,In,0.0014,0.0024,1.141,0.00,56.00,1,2.302,9.765,0.876,8.559,0.00029,0.017,489.47,0.269,10/10/2016
-85.06955196,41.49921087,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,6,3.550,161.10,1.000,955.33,10/10/2016,On,35.00,Yes,10.14,13.00,3555.6,59.26,3555.6,59.26,In,-0.00046,0.0024,1.200,0.00,58.00,1,2.420,10.27,0.834,8.559,0.00023,0.014,608.50,0.283,10/10/2016
-85.06954807,41.49920146,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,7,3.468,164.60,1.000,954.83,10/10/2016,On,35.00,Yes,11.87,13.00,4259.3,70.99,4259.3,70.99,In,-0.00091,0.0026,1.055,0.00,67.00,1,2.364,10.03,0.948,9.510,0.00022,0.013,712.08,0.249,10/10/2016
-85.06954490,41.49919208,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,8,3.468,166.40,1.000,954.43,10/10/2016,On,35.00,Yes,10.29,13.00,3692.9,61.55,3692.9,61.55,In,0.0036,0.0032,0.879,0.00,65.00,1,2.364,10.03,1.138,11.41,0.00031,0.018,617.38,0.207,10/10/2016
-85.06954237,41.49918239,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,9,3.488,169.40,1.000,954.07,10/10/2016,On,35.00,Yes,10.93,13.00,3900.1,65.00,3900.1,65.00,In,0.0032,0.0032,0.884,0.00,69.00,1,2.378,10.09,1.131,11.41,0.00029,0.017,655.72,0.208,10/10/2016
-85.06954088,41.49917497,ELLERT 28T08,16/09/27-14:14:48,SOYBEANS,10,3.701,172.20,1.000,953.84,10/10/2016,On,35.00,Yes,11.11,13.00,3737.9,62.30,3737.9,62.30,In,0.0014,0.0034,0.866,0.00,67.00,1,2.523,10.70,1.155,12.36,0.00031,0.019,666.89,0.204,10/10/2016
