Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10155473,41.51168827,FAIR PO157/P0589,16/09/27-14:04:58,CORN,1,3.232,270.30,1.000,961.43,10/17/2016,On,20.00,Yes,5.023,15.50,3385.3,60.45,3385.3,60.45,In,-0.00046,0.0021,0.702,0.00,49.00,1,2.203,5.342,1.424,7.608,0.00042,0.024,322.90,0.290,10/17/2016
-85.10156447,41.51168838,FAIR PO157/P0589,16/09/27-14:04:58,CORN,2,3.061,270.30,1.000,960.98,10/17/2016,On,20.00,Yes,6.966,15.50,4956.5,88.51,4956.5,88.51,In,-0.0018,0.0024,0.591,0.00,51.00,1,2.087,5.060,1.692,8.559,0.00034,0.019,447.82,0.244,10/17/2016
-85.10157774,41.51168860,FAIR PO157/P0589,16/09/27-14:04:58,CORN,3,3.386,269.00,1.000,960.88,10/17/2016,On,20.00,Yes,6.700,15.50,4309.7,76.96,4309.7,76.96,In,4.128e-015,0.0024,0.654,0.00,49.00,1,2.309,5.596,1.529,8.559,0.00035,0.020,430.69,0.270,10/17/2016
-85.10158781,41.51168833,FAIR PO157/P0589,16/09/27-14:04:58,CORN,4,3.107,268.90,1.000,960.68,10/17/2016,On,20.00,Yes,7.186,15.50,5037.3,89.95,5037.3,89.95,In,0.00045,0.0024,0.600,0.00,50.00,1,2.118,5.135,1.667,8.559,0.00033,0.019,461.94,0.247,10/17/2016
-85.10159474,41.51168831,FAIR PO157/P0589,16/09/27-14:04:58,CORN,5,2.818,268.30,1.000,960.84,10/17/2016,On,20.00,Yes,7.679,15.50,5934.2,105.97,5934.2,105.97,In,-0.00046,0.0024,0.544,0.00,53.00,1,1.922,4.658,1.837,8.559,0.00031,0.017,493.63,0.224,10/17/2016
-85.10160586,41.51168829,FAIR PO157/P0589,16/09/27-14:04:58,CORN,6,3.235,269.40,1.000,960.77,10/17/2016,On,20.00,Yes,7.485,15.50,5039.9,90.00,5039.9,90.00,In,-0.00046,0.0026,0.562,0.00,59.00,1,2.206,5.347,1.779,9.510,0.00035,0.020,481.21,0.232,10/17/2016
-85.10162154,41.51168828,FAIR PO157/P0589,16/09/27-14:04:58,CORN,7,3.967,269.30,1.000,960.59,10/17/2016,On,20.00,Yes,8.105,15.50,4450.3,79.47,4450.3,79.47,In,-0.00046,0.0026,0.689,0.00,56.00,1,2.704,6.556,1.451,9.510,0.00033,0.018,521.03,0.284,10/17/2016
-85.10163519,41.51168808,FAIR PO157/P0589,16/09/27-14:04:58,CORN,8,3.842,268.40,1.000,960.50,10/17/2016,On,20.00,Yes,9.570,15.50,5425.4,96.88,5425.4,96.88,In,-0.0018,0.0026,0.668,0.00,59.00,1,2.619,6.350,1.498,9.510,0.00028,0.015,615.21,0.275,10/17/2016
-85.10164937,41.51168761,FAIR PO157/P0589,16/09/27-14:04:58,CORN,9,3.950,267.70,1.000,960.38,10/17/2016,On,20.00,Yes,9.277,15.50,5115.1,91.34,5115.1,91.34,In,-0.00046,0.0026,0.687,0.00,59.00,1,2.693,6.529,1.457,9.510,0.00028,0.016,596.38,0.283,10/17/2016
-85.10166301,41.51168726,FAIR PO157/P0589,16/09/27-14:04:58,CORN,10,3.950,268.10,1.000,960.46,10/17/2016,On,20.00,Yes,9.377,15.50,5170.2,92.32,5170.2,92.32,In,-2.590e-009,0.0026,0.687,0.00,59.00,1,2.693,6.529,1.457,9.510,0.00028,0.016,602.80,0.283,10/17/2016
