Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.07032335,41.51620649,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,1,0.991,261.00,1.000,1003.2,10/11/2016,On,35.00,Yes,0.523,13.00,657.35,10.96,657.35,10.96,In,-0.0023,0.0021,0.377,0.00,54.00,1,0.676,2.866,2.655,7.608,0.0040,0.242,31.40,0.089,10/11/2016
-85.07032956,41.51620572,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,2,1.257,260.80,1.000,1003.5,10/11/2016,On,35.00,Yes,2.544,13.00,2519.7,41.99,2519.7,41.99,In,-0.0023,0.0024,0.425,0.00,51.00,1,0.857,3.635,2.355,8.559,0.00093,0.056,152.64,0.100,10/11/2016
-85.07033461,41.51620499,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,3,1.434,260.30,1.000,1003.6,10/11/2016,On,35.00,Yes,2.085,13.00,1810.1,30.17,1810.1,30.17,In,-0.0023,0.0024,0.485,0.00,59.00,1,0.978,4.147,2.064,8.559,0.0011,0.068,125.11,0.114,10/11/2016
-85.07034028,41.51620417,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,4,1.706,260.10,1.000,1003.6,10/11/2016,On,35.00,Yes,2.136,13.00,1558.3,25.97,1558.3,25.97,In,4.740e-011,0.0026,0.519,0.00,56.00,1,1.163,4.935,1.927,9.510,0.0012,0.074,128.17,0.122,10/11/2016
-85.07034513,41.51620350,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,5,1.716,260.30,1.000,1003.6,10/11/2016,On,35.00,Yes,2.391,13.00,1734.3,28.90,1734.3,28.90,In,-2.018e-009,0.0026,0.522,0.00,51.00,1,1.170,4.963,1.916,9.510,0.0011,0.066,143.46,0.123,10/11/2016
-85.07035101,41.51620284,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,6,1.798,261.00,1.000,1003.7,10/11/2016,On,35.00,Yes,2.966,13.00,2053.0,34.22,2053.0,34.22,In,-0.0023,0.0024,0.608,0.00,53.00,1,1.226,5.201,1.646,8.559,0.00080,0.048,177.94,0.143,10/11/2016
-85.07035682,41.51620238,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,7,1.614,261.70,1.000,1003.9,10/11/2016,On,35.00,Yes,3.645,13.00,2810.7,46.84,2810.7,46.84,In,-0.00091,0.0024,0.546,0.00,56.00,1,1.101,4.669,1.833,8.559,0.00065,0.039,218.72,0.129,10/11/2016
-85.07036339,41.51620189,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,8,2.339,262.60,1.000,1004.0,10/11/2016,On,35.00,Yes,4.154,13.00,2210.2,36.84,2210.2,36.84,In,-0.0023,0.0024,0.791,0.00,54.00,1,1.595,6.766,1.265,8.559,0.00057,0.034,249.25,0.186,10/11/2016
-85.07036928,41.51620135,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,9,2.254,263.20,1.000,1004.1,10/11/2016,On,35.00,Yes,4.742,13.00,2618.2,43.64,2618.2,43.64,In,-0.0036,0.0024,0.762,0.00,56.00,1,1.537,6.520,1.313,8.559,0.00050,0.030,284.50,0.180,10/11/2016
-85.07037956,41.51620049,HOYER WEST33T16,16/09/27-14:12:12,SOYBEANS,10,2.149,263.20,1.000,1004.1,10/11/2016,On,35.00,Yes,5.475,13.00,3171.0,52.85,3171.0,52.85,In,-0.0036,0.0024,0.726,0.00,59.00,1,1.465,6.216,1.377,8.559,0.00043,0.026,328.52,0.171,10/11/2016
