Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.08019095,41.50269663,IVAN #12--P0506,#15/09/29-21:10:05,CORN,1,2.211,0.900,1.000,1016.0,9/29/2015,On,20.00,Yes,2.872,15.50,2828.5,50.51,2828.5,50.51,In,0.00,0.0024,0.427,0.00,50.00,1,1.508,3.655,2.342,8.559,0.00083,0.046,184.61,0.176,9/29/2015
-85.08019092,41.50270123,IVAN #12--P0506,#15/09/29-21:10:05,CORN,2,2.005,0.600,1.000,1016.1,9/29/2015,On,20.00,Yes,5.256,15.50,5710.3,101.97,5710.3,101.97,In,0.00046,0.0024,0.387,0.00,54.00,1,1.367,3.313,2.583,8.559,0.00045,0.025,337.86,0.160,9/29/2015
-85.08019084,41.50270829,IVAN #12--P0506,#15/09/29-21:10:05,CORN,3,2.146,0.800,1.000,1016.1,9/29/2015,On,20.00,Yes,8.749,15.50,8880.4,158.58,8880.4,158.58,In,-0.0032,0.0024,0.414,0.00,54.00,1,1.463,3.547,2.413,8.559,0.00027,0.015,562.41,0.171,9/29/2015
-85.08019072,41.50271303,IVAN #12--P0506,#15/09/29-21:10:05,CORN,4,2.169,0.200,1.000,1016.1,9/29/2015,On,20.00,Yes,8.953,15.50,8991.9,160.57,8991.9,160.57,In,-0.0027,0.0024,0.419,0.00,53.00,1,1.479,3.585,2.388,8.559,0.00027,0.015,575.56,0.173,9/29/2015
-85.08019056,41.50272026,IVAN #12--P0506,#15/09/29-21:10:05,CORN,5,2.238,0.200,1.000,1016.1,9/29/2015,On,20.00,Yes,9.778,15.50,9518.1,169.97,9518.1,169.97,In,-4.982e-010,0.0024,0.432,0.00,51.00,1,1.526,3.698,2.314,8.559,0.00024,0.014,628.60,0.178,9/29/2015
-85.08019048,41.50272482,IVAN #12--P0506,#15/09/29-21:10:05,CORN,6,2.162,0.500,1.000,1016.2,9/29/2015,On,20.00,Yes,9.956,15.50,10030,179.10,10030,179.10,In,-0.0014,0.0024,0.418,0.00,53.00,1,1.474,3.574,2.395,8.559,0.00024,0.013,640.05,0.172,9/29/2015
-85.08019042,41.50273209,IVAN #12--P0506,#15/09/29-21:10:05,CORN,7,2.113,0.700,1.000,1016.2,9/29/2015,On,20.00,Yes,10.29,15.50,10610,189.47,10610,189.47,In,-0.0014,0.0024,0.408,0.00,53.00,1,1.441,3.492,2.451,8.559,0.00023,0.013,661.69,0.168,9/29/2015
-85.08019038,41.50273708,IVAN #12--P0506,#15/09/29-21:10:05,CORN,8,1.949,359.90,1.000,1016.2,9/29/2015,On,20.00,Yes,12.06,15.50,13473,240.59,13473,240.59,In,-0.0036,0.0024,0.376,0.00,54.00,1,1.329,3.221,2.657,8.559,0.00020,0.011,774.98,0.155,9/29/2015
-85.08019045,41.50274134,IVAN #12--P0506,#15/09/29-21:10:05,CORN,9,1.677,358.60,1.000,1016.3,9/29/2015,On,20.00,Yes,12.15,15.50,15781,281.81,15781,281.81,In,-0.0014,0.0026,0.291,0.00,59.00,1,1.143,2.771,3.432,9.510,0.00022,0.012,780.92,0.120,9/29/2015
-85.08019087,41.50274856,IVAN #12--P0506,#15/09/29-21:10:05,CORN,10,2.067,357.50,0.900,1016.3,9/29/2015,On,20.00,Yes,11.92,15.50,11301,201.81,11301,201.81,In,0.00046,0.0026,0.359,0.00,58.00,1,1.566,3.796,2.784,10.57,0.00025,0.014,766.07,0.148,9/29/2015
-85.08019115,41.50275512,IVAN #12--P0506,#15/09/29-21:10:05,CORN,11,2.825,357.70,1.000,1016.4,9/29/2015,On,20.00,Yes,14.97,15.50,11540,206.06,11540,206.06,In,-0.0014,0.0026,0.491,0.00,58.00,1,1.926,4.669,2.037,9.510,0.00018,0.0099,962.13,0.203,9/29/2015
-85.08019182,41.50276396,IVAN #12--P0506,#15/09/29-21:10:05,CORN,12,2.874,356.80,1.000,1016.5,9/29/2015,On,20.00,Yes,18.56,15.50,14067,251.19,14067,251.19,In,-5.299e-009,0.0026,0.500,0.00,59.00,1,1.960,4.750,2.002,9.510,0.00014,0.0080,1193.3,0.206,9/29/2015
-85.08019240,41.50277261,IVAN #12--P0506,#15/09/29-21:10:05,CORN,13,2.969,356.70,1.000,1016.4,9/29/2015,On,20.00,Yes,19.25,15.50,14123,252.20,14123,252.20,In,-0.0032,0.0026,0.516,0.00,58.00,1,2.024,4.908,1.938,9.510,0.00014,0.0077,1237.7,0.213,9/29/2015
-85.08019312,41.50278092,IVAN #12--P0506,#15/09/29-21:10:05,CORN,14,3.150,356.90,1.000,1016.6,9/29/2015,On,20.00,Yes,21.13,7.200,14612,260.93,14612,260.93,In,-0.0027,0.0029,0.498,0.00,63.00,1,2.147,5.206,2.009,10.46,0.00014,0.0077,1358.4,0.205,9/29/2015
-85.08019366,41.50278950,IVAN #12--P0506,#15/09/29-21:10:05,CORN,15,3.071,357.30,1.000,1016.6,9/29/2015,On,20.00,Yes,22.14,13.00,15704,280.44,15704,280.44,In,-0.0014,0.0029,0.485,0.00,61.00,1,2.094,5.076,2.061,10.46,0.00013,0.0073,1423.4,0.200,9/29/2015
-85.08019415,41.50279626,IVAN #12--P0506,#15/09/29-21:10:05,CORN,16,3.150,357.30,1.000,1016.6,9/29/2015,On,20.00,Yes,21.32,18.20,14746,263.32,14275,254.91,In,-0.0014,0.0032,0.456,0.00,63.00,1,2.147,5.206,2.192,11.41,0.00015,0.0083,1370.8,0.188,9/29/2015
-85.08019477,41.50280613,IVAN #12--P0506,#15/09/29-21:10:05,CORN,17,3.140,357.10,1.000,1016.7,9/29/2015,On,20.00,Yes,20.89,22.80,14490,258.74,13238,236.39,In,-2.308e-009,0.0029,0.496,0.00,61.00,1,2.141,5.190,2.016,10.46,0.00014,0.0078,1342.8,0.205,9/29/2015
-85.08019520,41.50281432,IVAN #12--P0506,#15/09/29-21:10:05,CORN,18,3.045,357.40,1.000,1016.8,9/29/2015,On,20.00,Yes,20.10,26.50,14376,256.71,12504,223.29,In,0.00091,0.0029,0.481,0.00,60.00,1,2.076,5.032,2.079,10.46,0.00014,0.0081,1291.9,0.198,9/29/2015
-85.08019564,41.50282115,IVAN #12--P0506,#15/09/29-21:10:05,CORN,19,3.156,357.40,1.000,1016.8,9/29/2015,On,20.00,Yes,18.56,28.30,12809,228.73,10868,194.08,In,-2.625e-009,0.0029,0.499,0.00,64.00,1,2.152,5.217,2.005,10.46,0.00016,0.0088,1193.2,0.206,9/29/2015
-85.08019626,41.50283141,IVAN #12--P0506,#15/09/29-21:10:05,CORN,20,3.146,357.80,1.000,1016.8,9/29/2015,On,20.00,Yes,16.85,29.00,11663,208.26,9799.5,174.99,In,-6.721e-009,0.0029,0.497,0.00,59.00,1,2.145,5.201,2.012,10.46,0.00017,0.0097,1083.1,0.205,9/29/2015
-85.08019662,41.50283827,IVAN #12--P0506,#15/09/29-21:10:05,CORN,21,3.140,358.10,1.000,1016.9,9/29/2015,On,20.00,Yes,16.66,29.40,11558,206.39,9656.6,172.44,In,-0.0014,0.0029,0.496,0.00,59.00,1,2.141,5.190,2.016,10.46,0.00017,0.0098,1071.1,0.205,9/29/2015
-85.08019702,41.50284845,IVAN #12--P0506,#15/09/29-21:10:05,CORN,22,3.146,358.80,1.000,1016.9,9/29/2015,On,20.00,Yes,17.67,29.60,12229,218.38,10189,181.94,In,0.00091,0.0026,0.547,0.00,60.00,1,2.145,5.201,1.829,9.510,0.00015,0.0084,1135.7,0.226,9/29/2015
