Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10473276,41.51167100,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,1,2.428,237.10,1.000,959.47,10/18/2016,On,33.80,Yes,2.544,13.00,1350.4,22.51,1350.4,22.51,In,0.601,0.0024,0.792,0.00,58.00,1,1.655,6.782,1.262,8.559,0.00093,0.056,152.64,0.193,10/18/2016
-85.10474215,41.51166580,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,2,2.618,236.70,1.000,959.60,10/18/2016,On,33.80,Yes,4.016,13.00,1977.1,32.95,1977.1,32.95,In,0.601,0.0026,0.769,0.00,56.00,1,1.785,7.313,1.300,9.510,0.00066,0.039,240.99,0.188,10/18/2016
-85.10474793,41.51166270,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,3,2.333,237.20,1.000,959.56,10/18/2016,On,33.80,Yes,5.068,13.00,2799.9,46.66,2799.9,46.66,In,0.601,0.0024,0.761,0.00,54.00,1,1.590,6.516,1.314,8.559,0.00047,0.028,304.06,0.186,10/18/2016
-85.10475581,41.51165918,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,4,2.057,238.10,1.000,959.61,10/18/2016,On,33.80,Yes,5.031,13.00,3152.1,52.53,3152.1,52.53,In,0.601,0.0024,0.671,0.00,60.00,1,1.403,5.746,1.490,8.559,0.00047,0.028,301.87,0.164,10/18/2016
-85.10476126,41.51165658,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,5,2.247,239.40,1.000,959.67,10/18/2016,On,33.80,Yes,5.194,13.00,2978.7,49.64,2978.7,49.64,In,0.602,0.0032,0.550,0.00,73.00,1,1.532,6.278,1.818,11.41,0.00061,0.037,311.65,0.134,10/18/2016
-85.10476696,41.51165423,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,6,1.709,241.40,1.000,959.73,10/18/2016,On,33.80,Yes,5.205,13.00,3924.8,65.41,3924.8,65.41,In,0.603,0.0037,0.359,0.00,76.00,1,1.165,4.775,2.789,13.31,0.00071,0.043,312.33,0.088,10/18/2016
-85.10477417,41.51165155,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,7,1.860,244.90,1.000,959.78,10/18/2016,On,33.80,Yes,5.135,13.00,3557.7,59.30,3557.7,59.30,In,0.603,0.0037,0.390,0.00,76.00,1,1.268,5.196,2.562,13.31,0.00072,0.043,308.11,0.095,10/18/2016
-85.10477961,41.51164988,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,8,1.709,248.00,1.000,959.80,10/18/2016,On,33.80,Yes,5.576,13.00,4204.6,70.08,4204.6,70.08,In,0.599,0.0037,0.359,0.00,76.00,1,1.165,4.775,2.789,13.31,0.00066,0.040,334.59,0.088,10/18/2016
-85.10478464,41.51164845,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,9,1.890,250.50,1.000,959.78,10/18/2016,On,33.80,Yes,6.490,13.00,4426.3,73.77,4426.3,73.77,In,0.601,0.0037,0.396,0.00,73.00,1,1.288,5.279,2.522,13.31,0.00057,0.034,389.42,0.097,10/18/2016
-85.10479353,41.51164644,PARSH28T08/31T77,16/09/27-14:16:30,SOYBEANS,10,2.251,254.10,1.000,959.87,10/18/2016,On,33.80,Yes,7.249,13.00,4150.7,69.18,4150.7,69.18,In,0.601,0.0034,0.509,0.00,70.00,1,1.535,6.287,1.967,12.36,0.00047,0.028,434.91,0.124,10/18/2016
