Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10031691,41.51048462,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,1,2.664,146.30,1.000,960.20,10/18/2016,On,33.80,Yes,2.131,13.00,1031.2,17.19,1031.2,17.19,In,-0.598,0.0024,0.869,0.00,55.00,1,1.816,7.442,1.150,8.559,0.0011,0.067,127.89,0.212,10/18/2016
-85.10030995,41.51047750,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,2,2.661,145.30,1.000,960.53,10/18/2016,On,33.80,Yes,3.381,13.00,1637.7,27.30,1637.7,27.30,In,-0.596,0.0024,0.868,0.00,55.00,1,1.814,7.432,1.152,8.559,0.00070,0.042,202.87,0.212,10/18/2016
-85.10030543,41.51047306,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,3,2.582,144.00,1.000,960.67,10/18/2016,On,33.80,Yes,3.283,13.00,1638.6,27.31,1638.6,27.31,In,-0.596,0.0024,0.843,0.00,55.00,1,1.760,7.212,1.187,8.559,0.00072,0.043,196.97,0.206,10/18/2016
-85.10029772,41.51046568,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,4,2.730,142.20,1.000,960.83,10/18/2016,On,33.80,Yes,3.654,13.00,1725.1,28.75,1725.1,28.75,In,-0.599,0.0024,0.891,0.00,56.00,1,1.861,7.625,1.123,8.559,0.00065,0.039,219.23,0.217,10/18/2016
-85.10029260,41.51046090,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,5,2.546,141.20,1.000,960.96,10/18/2016,On,33.80,Yes,4.174,13.00,2112.9,35.21,2112.9,35.21,In,-0.598,0.0026,0.748,0.00,58.00,1,1.736,7.112,1.337,9.510,0.00063,0.038,250.43,0.183,10/18/2016
-85.10028498,41.51045361,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,6,2.641,140.20,1.000,961.15,10/18/2016,On,33.80,Yes,4.224,13.00,2061.4,34.36,2061.4,34.36,In,-0.598,0.0026,0.776,0.00,60.00,1,1.801,7.377,1.289,9.510,0.00063,0.038,253.47,0.189,10/18/2016
-85.10027735,41.51044665,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,7,3.238,138.50,1.000,961.30,10/18/2016,On,33.80,Yes,4.818,13.00,1917.4,31.96,1917.4,31.96,In,-0.599,0.0029,0.865,0.00,60.00,1,2.208,9.045,1.157,10.46,0.00060,0.036,289.05,0.211,10/18/2016
-85.10027149,41.51044129,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,8,3.133,137.20,1.000,961.39,10/18/2016,On,33.80,Yes,5.801,13.00,2386.3,39.77,2386.3,39.77,In,-0.598,0.0026,0.920,0.00,63.00,1,2.136,8.752,1.087,9.510,0.00046,0.027,348.08,0.225,10/18/2016
-85.10026210,41.51043358,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,9,3.245,135.80,1.000,961.59,10/18/2016,On,33.80,Yes,6.209,13.00,2466.1,41.10,2466.1,41.10,In,-0.595,0.0029,0.866,0.00,60.00,1,2.212,9.064,1.154,10.46,0.00047,0.028,372.53,0.211,10/18/2016
-85.10025565,41.51042872,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,10,3.133,134.60,1.000,961.69,10/18/2016,On,33.80,Yes,6.529,13.00,2685.5,44.76,2685.5,44.76,In,-0.597,0.0026,0.920,0.00,59.00,1,2.136,8.752,1.087,9.510,0.00040,0.024,391.73,0.225,10/18/2016
-85.10024593,41.51042151,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,11,3.232,133.90,1.000,961.94,10/18/2016,On,33.80,Yes,7.163,13.00,2856.5,47.61,2856.5,47.61,In,-0.598,0.0029,0.863,0.00,63.00,1,2.203,9.027,1.159,10.46,0.00041,0.024,429.76,0.211,10/18/2016
-85.10023939,41.51041681,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,12,3.054,133.70,1.000,962.00,10/18/2016,On,33.80,Yes,7.509,13.00,3168.4,52.81,3168.4,52.81,In,-0.599,0.0029,0.816,0.00,61.00,1,2.083,8.532,1.226,10.46,0.00039,0.023,450.55,0.199,10/18/2016
-85.10022883,41.51040919,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,13,3.494,133.40,1.000,962.16,10/18/2016,On,33.80,Yes,7.077,13.00,2610.2,43.50,2610.2,43.50,In,-0.597,0.0032,0.855,0.00,65.00,1,2.382,9.760,1.169,11.41,0.00045,0.027,424.60,0.209,10/18/2016
-85.10021994,41.51040282,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,14,3.323,133.40,1.000,962.28,10/18/2016,On,33.80,Yes,7.118,13.00,2760.3,46.01,2760.3,46.01,In,-0.596,0.0032,0.813,0.00,65.00,1,2.266,9.284,1.229,11.41,0.00045,0.027,427.09,0.199,10/18/2016
-85.10021089,41.51039653,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,15,3.386,133.40,1.000,962.35,10/18/2016,On,33.80,Yes,7.503,13.00,2856.1,47.60,2856.1,47.60,In,-0.598,0.0032,0.829,0.00,65.00,1,2.309,9.458,1.207,11.41,0.00042,0.025,450.20,0.202,10/18/2016
-85.10020209,41.51039041,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,16,3.340,132.80,1.000,962.45,10/18/2016,On,33.80,Yes,7.568,13.00,2920.5,48.67,2920.5,48.67,In,-0.598,0.0032,0.817,0.00,67.00,1,2.277,9.329,1.223,11.41,0.00042,0.025,454.11,0.200,10/18/2016
-85.10019304,41.51038454,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,17,3.310,131.00,1.000,962.48,10/18/2016,On,33.80,Yes,8.140,13.00,3169.1,52.82,3169.1,52.82,In,-0.599,0.0034,0.748,0.00,69.00,1,2.257,9.247,1.337,12.36,0.00042,0.025,488.41,0.183,10/18/2016
-85.10018373,41.51037893,ROG FRONT28T08,16/09/27-14:15:24,SOYBEANS,18,3.415,129.70,1.000,962.61,10/18/2016,On,33.80,Yes,7.527,13.00,2840.3,47.34,2840.3,47.34,In,-0.597,0.0034,0.772,0.00,69.00,1,2.329,9.540,1.296,12.36,0.00046,0.027,451.62,0.188,10/18/2016
