Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.06966293,41.50495573,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,1,1.886,120.10,1.000,988.89,10/8/2016,On,35.00,Yes,0.686,13.00,452.26,7.538,452.26,7.538,In,-0.0018,0.0024,0.638,0.00,50.00,1,1.286,5.457,1.569,8.559,0.0035,0.208,41.13,0.150,10/8/2016
-85.06965833,41.50495383,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,2,1.850,120.80,1.000,988.86,10/8/2016,On,35.00,Yes,0.774,13.00,520.31,8.672,520.31,8.672,In,-0.0014,0.0024,0.625,0.00,50.00,1,1.262,5.352,1.599,8.559,0.0031,0.184,46.41,0.147,10/8/2016
-85.06965342,41.50495165,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,3,1.329,121.30,1.000,988.83,10/8/2016,On,35.00,Yes,1.566,13.00,1466.9,24.45,1466.9,24.45,In,0.0018,0.0024,0.449,0.00,50.00,1,0.906,3.843,2.227,8.559,0.0015,0.091,93.96,0.106,10/8/2016
-85.06964362,41.50494711,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,4,2.615,122.30,1.000,988.68,10/8/2016,On,35.00,Yes,2.683,13.00,1277.0,21.28,1277.0,21.28,In,0.00,0.0024,0.884,0.00,60.00,1,1.783,7.564,1.132,8.559,0.00089,0.053,160.98,0.208,10/8/2016
-85.06963795,41.50494455,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,5,2.329,122.40,1.000,988.52,10/8/2016,On,35.00,Yes,3.839,13.00,2051.3,34.19,2051.3,34.19,In,-0.0014,0.0026,0.708,0.00,53.00,1,1.588,6.738,1.411,9.510,0.00069,0.041,230.36,0.167,10/8/2016
-85.06963241,41.50494198,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,6,1.617,122.10,1.000,988.49,10/8/2016,On,35.00,Yes,3.333,13.00,2564.9,42.75,2564.9,42.75,In,0.0018,0.0024,0.547,0.00,51.00,1,1.103,4.679,1.829,8.559,0.00071,0.043,200.00,0.129,10/8/2016
-85.06962693,41.50493960,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,7,1.893,121.40,1.000,988.46,10/8/2016,On,35.00,Yes,3.780,13.00,2485.3,41.42,2485.3,41.42,In,0.00,0.0024,0.640,0.00,55.00,1,1.291,5.476,1.563,8.559,0.00063,0.038,226.82,0.151,10/8/2016
-85.06961852,41.50493614,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,8,2.156,120.00,1.000,988.50,10/8/2016,On,35.00,Yes,4.851,13.00,2801.1,46.68,2801.1,46.68,In,0.0014,0.0024,0.728,0.00,55.00,1,1.470,6.235,1.373,8.559,0.00049,0.029,291.08,0.172,10/8/2016
-85.06961316,41.50493402,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,9,2.054,119.20,1.000,988.40,10/8/2016,On,35.00,Yes,4.992,13.00,3025.0,50.42,3025.0,50.42,In,-0.0023,0.0024,0.694,0.00,54.00,1,1.400,5.941,1.441,8.559,0.00048,0.029,299.51,0.164,10/8/2016
-85.06960434,41.50493071,SN 3  P28T08,16/09/27-14:06:51,SOYBEANS,10,2.513,118.30,1.000,988.35,10/8/2016,On,35.00,Yes,5.624,13.00,2785.3,46.42,2785.3,46.42,In,-0.0014,0.0024,0.849,0.00,55.00,1,1.713,7.269,1.177,8.559,0.00042,0.025,337.46,0.200,10/8/2016
