Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Protein(%),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10571450,41.48370931,STOM BAC P0987,16/11/05-06:04:08,CORN,1,4.649,192.00,1.000,941.20,11/7/2016,On,20.00,Yes,5.560,15.50,2605.0,46.52,2605.0,46.52,In,-0.0023,6553.5,0.0024,0.898,0.00,54.00,1,3.170,7.684,1.114,8.559,0.00043,0.024,357.45,0.370,11/7/2016
-85.10571805,41.48369728,STOM BAC P0987,16/11/05-06:04:08,CORN,2,4.557,188.90,1.000,941.62,11/7/2016,On,20.00,Yes,5.097,15.50,2436.2,43.50,2436.2,43.50,In,-0.00045,6553.5,0.0024,0.880,0.00,55.00,1,3.107,7.532,1.136,8.559,0.00047,0.026,327.68,0.363,11/7/2016
-85.10572077,41.48368459,STOM BAC P0987,16/11/05-06:04:08,CORN,3,4.465,183.70,1.000,942.25,11/7/2016,On,20.00,Yes,5.235,15.50,2553.4,45.60,2553.4,45.60,In,2.682e-009,6553.5,0.0024,0.862,0.00,55.00,1,3.044,7.381,1.160,8.559,0.00045,0.025,336.52,0.356,11/7/2016
-85.10572222,41.48367217,STOM BAC P0987,16/11/05-06:04:08,CORN,4,4.738,179.60,1.000,942.52,11/7/2016,On,20.00,Yes,4.793,15.50,2203.7,39.35,2203.7,39.35,In,-0.0023,6553.5,0.0024,0.915,0.00,58.00,1,3.230,7.831,1.093,8.559,0.00050,0.028,308.15,0.377,11/7/2016
-85.10572246,41.48365859,STOM BAC P0987,16/11/05-06:04:08,CORN,5,4.921,176.70,1.000,942.77,11/7/2016,On,20.00,Yes,3.477,15.50,1538.6,27.48,1538.6,27.48,In,-0.0041,6553.5,0.0026,0.855,0.00,54.00,1,3.355,8.134,1.169,9.510,0.00076,0.043,223.50,0.353,11/7/2016
-85.10572156,41.48364508,STOM BAC P0987,16/11/05-06:04:08,CORN,6,4.829,173.20,1.000,943.02,11/7/2016,On,20.00,Yes,3.260,15.50,1470.0,26.25,1470.0,26.25,In,-0.0036,6553.5,0.0024,0.933,0.00,51.00,1,3.293,7.982,1.072,8.559,0.00073,0.041,209.54,0.385,11/7/2016
-85.10571943,41.48363183,STOM BAC P0987,16/11/05-06:04:08,CORN,7,4.829,170.90,1.000,943.12,11/7/2016,On,20.00,Yes,4.613,15.50,2080.2,37.15,2080.2,37.15,In,-0.0023,6553.5,0.0024,0.933,0.00,50.00,1,3.293,7.982,1.072,8.559,0.00052,0.029,296.52,0.385,11/7/2016
-85.10571684,41.48361938,STOM BAC P0987,16/11/05-06:04:08,CORN,8,5.105,169.70,1.000,943.16,11/7/2016,On,20.00,Yes,6.132,15.50,2616.1,46.72,2616.1,46.72,In,-0.0041,6553.5,0.0024,0.986,0.00,50.00,1,3.481,8.438,1.014,8.559,0.00039,0.022,394.19,0.407,11/7/2016
-85.10571335,41.48360447,STOM BAC P0987,16/11/05-06:04:08,CORN,9,6.378,169.00,1.000,943.20,11/7/2016,On,20.00,Yes,7.836,15.50,2675.9,47.78,2675.9,47.78,In,-0.00045,6553.5,0.0026,1.108,0.00,56.00,1,4.349,10.54,0.902,9.510,0.00034,0.019,503.74,0.457,11/7/2016
-85.10570925,41.48358793,STOM BAC P0987,16/11/05-06:04:08,CORN,10,6.378,169.40,1.000,943.12,11/7/2016,On,20.00,Yes,7.836,15.50,2675.9,47.78,2675.9,47.78,In,-0.00091,6553.5,0.0026,1.108,0.00,56.00,1,4.349,10.54,0.902,9.510,0.00034,0.019,503.74,0.457,11/7/2016
-85.10570538,41.48357246,STOM BAC P0987,16/11/05-06:04:08,CORN,11,6.106,169.80,1.000,943.29,11/7/2016,On,20.00,Yes,9.610,15.50,3428.1,61.22,3428.1,61.22,In,-0.00091,6553.5,0.0024,1.179,0.00,53.00,1,4.163,10.09,0.848,8.559,0.00025,0.014,617.79,0.486,11/7/2016
-85.10570169,41.48355634,STOM BAC P0987,16/11/05-06:04:08,CORN,12,6.106,171.00,1.000,943.22,11/7/2016,On,20.00,Yes,9.610,15.50,3428.1,61.22,3428.1,61.22,In,-0.0041,6553.5,0.0024,1.179,0.00,53.00,1,4.163,10.09,0.848,8.559,0.00025,0.014,617.79,0.486,11/7/2016
-85.10569815,41.48354049,STOM BAC P0987,16/11/05-06:04:08,CORN,13,6.198,170.90,1.000,943.15,11/7/2016,On,20.00,Yes,10.41,15.50,3658.3,65.33,3658.3,65.33,In,-0.0041,6553.5,0.0024,1.197,0.00,54.00,1,4.226,10.24,0.836,8.559,0.00023,0.013,669.19,0.494,11/7/2016
-85.10569444,41.48352381,STOM BAC P0987,16/11/05-06:04:08,CORN,14,6.106,170.30,1.000,943.15,11/7/2016,On,20.00,Yes,9.978,15.50,3559.3,63.56,3559.3,63.56,In,-0.0041,6553.5,0.0024,1.179,0.00,53.00,1,4.163,10.09,0.848,8.559,0.00024,0.013,641.42,0.486,11/7/2016
-85.10569051,41.48350782,STOM BAC P0987,16/11/05-06:04:08,CORN,15,6.106,170.90,1.000,943.08,11/7/2016,On,20.00,Yes,11.15,15.50,3977.7,71.03,3977.7,71.03,In,-0.0023,6553.5,0.0024,1.179,0.00,54.00,1,4.163,10.09,0.848,8.559,0.00021,0.012,716.83,0.486,11/7/2016
-85.10568701,41.48349238,STOM BAC P0987,16/11/05-06:04:08,CORN,16,6.106,171.10,1.000,943.03,11/7/2016,On,20.00,Yes,11.69,15.50,4168.8,74.44,4168.8,74.44,In,-0.00045,6553.5,0.0024,1.179,0.00,55.00,1,4.163,10.09,0.848,8.559,0.00020,0.011,751.27,0.486,11/7/2016
-85.10568388,41.48347650,STOM BAC P0987,16/11/05-06:04:08,CORN,17,5.925,172.20,1.000,943.15,11/7/2016,On,20.00,Yes,11.62,15.50,4272.6,76.30,4272.6,76.30,In,-0.00045,6553.5,0.0024,1.144,0.00,56.00,1,4.040,9.794,0.874,8.559,0.00020,0.011,747.22,0.472,11/7/2016
-85.10568072,41.48345996,STOM BAC P0987,16/11/05-06:04:08,CORN,18,6.014,172.50,1.000,942.91,11/7/2016,On,20.00,Yes,13.80,15.50,4998.6,89.26,4998.6,89.26,In,3.447e-009,6553.5,0.0024,1.161,0.00,58.00,1,4.100,9.940,0.861,8.559,0.00017,0.0096,887.26,0.479,11/7/2016
-85.10567780,41.48344424,STOM BAC P0987,16/11/05-06:04:08,CORN,19,6.106,172.20,1.000,943.09,11/7/2016,On,20.00,Yes,15.38,7.000,5487.2,97.99,5487.2,97.99,In,3.392e-009,6553.5,0.0024,1.179,0.00,55.00,1,4.163,10.09,0.848,8.559,0.00015,0.0087,988.86,0.486,11/7/2016
-85.10567495,41.48342815,STOM BAC P0987,16/11/05-06:04:08,CORN,20,6.198,172.40,1.000,943.20,11/7/2016,On,20.00,Yes,14.76,10.50,5186.4,92.61,5186.4,92.61,In,-0.00045,6553.5,0.0026,1.077,0.00,56.00,1,4.226,10.24,0.928,9.510,0.00018,0.010,948.72,0.444,11/7/2016
-85.10567188,41.48341182,STOM BAC P0987,16/11/05-06:04:08,CORN,21,6.106,172.70,1.000,943.02,11/7/2016,On,20.00,Yes,14.86,12.80,5302.0,94.68,5302.0,94.68,In,-0.00091,6553.5,0.0026,1.061,0.00,55.00,1,4.163,10.09,0.942,9.510,0.00018,0.0100,955.49,0.438,11/7/2016
-85.10566896,41.48339541,STOM BAC P0987,16/11/05-06:04:08,CORN,22,6.106,172.70,1.000,942.97,11/7/2016,On,20.00,Yes,15.10,15.20,5386.7,96.19,5386.7,96.19,In,-0.00091,6553.5,0.0026,1.061,0.00,56.00,1,4.163,10.09,0.942,9.510,0.00017,0.0098,970.76,0.438,11/7/2016
-85.10566612,41.48337934,STOM BAC P0987,16/11/05-06:04:08,CORN,23,6.198,173.00,1.000,942.95,11/7/2016,On,20.00,Yes,14.71,17.60,5169.6,92.31,5041.1,90.02,In,6.539e-009,6553.5,0.0026,1.077,0.00,58.00,1,4.226,10.24,0.928,9.510,0.00018,0.010,945.64,0.444,11/7/2016
-85.10566367,41.48336307,STOM BAC P0987,16/11/05-06:04:08,CORN,24,6.106,173.60,1.000,943.00,11/7/2016,On,20.00,Yes,13.43,19.40,4790.2,85.54,4569.1,81.59,In,-0.00091,6553.5,0.0026,1.061,0.00,58.00,1,4.163,10.09,0.942,9.510,0.00020,0.011,863.26,0.438,11/7/2016
-85.10566098,41.48334679,STOM BAC P0987,16/11/05-06:04:08,CORN,25,6.106,173.30,1.000,943.02,11/7/2016,On,20.00,Yes,16.02,20.80,5713.1,102.02,5354.8,95.62,In,-0.00045,6553.5,0.0026,1.061,0.00,56.00,1,4.163,10.09,0.942,9.510,0.00016,0.0092,1029.6,0.438,11/7/2016
-85.10565816,41.48333094,STOM BAC P0987,16/11/05-06:04:08,CORN,26,6.198,173.00,1.000,943.04,11/7/2016,On,20.00,Yes,16.28,21.60,5720.8,102.16,5307.8,94.78,In,7.151e-009,6553.5,0.0026,1.077,0.00,55.00,1,4.226,10.24,0.928,9.510,0.00016,0.0091,1046.5,0.444,11/7/2016
-85.10565517,41.48331444,STOM BAC P0987,16/11/05-06:04:08,CORN,27,6.198,173.20,1.000,942.90,11/7/2016,On,20.00,Yes,17.11,21.80,6013.7,107.39,5565.3,99.38,In,-0.0023,6553.5,0.0024,1.197,0.00,55.00,1,4.226,10.24,0.836,8.559,0.00014,0.0078,1100.0,0.494,11/7/2016
-85.10565209,41.48329769,STOM BAC P0987,16/11/05-06:04:08,CORN,28,6.198,173.10,1.000,942.88,11/7/2016,On,20.00,Yes,18.17,22.00,6384.6,114.01,5893.5,105.24,In,-0.0023,6553.5,0.0026,1.077,0.00,55.00,1,4.226,10.24,0.928,9.510,0.00015,0.0081,1167.9,0.444,11/7/2016
-85.10564924,41.48328149,STOM BAC P0987,16/11/05-06:04:08,CORN,29,6.106,173.50,1.000,943.05,11/7/2016,On,20.00,Yes,18.98,22.00,6771.1,120.91,6250.3,111.61,In,-0.0036,6553.5,0.0026,1.061,0.00,59.00,1,4.163,10.09,0.942,9.510,0.00014,0.0078,1220.2,0.438,11/7/2016
-85.10564650,41.48326533,STOM BAC P0987,16/11/05-06:04:08,CORN,30,6.106,173.80,1.000,942.69,11/7/2016,On,20.00,Yes,17.88,20.70,6379.1,113.91,5986.6,106.90,In,5.906e-009,6553.5,0.0026,1.061,0.00,58.00,1,4.163,10.09,0.942,9.510,0.00015,0.0083,1149.6,0.438,11/7/2016
-85.10564412,41.48324871,STOM BAC P0987,16/11/05-06:04:08,CORN,31,6.106,173.40,1.000,942.79,11/7/2016,On,20.00,Yes,19.11,19.30,6816.7,121.73,6510.2,116.25,In,-0.0041,6553.5,0.0026,1.061,0.00,59.00,1,4.163,10.09,0.942,9.510,0.00014,0.0077,1228.5,0.438,11/7/2016
-85.10564157,41.48323195,STOM BAC P0987,16/11/05-06:04:08,CORN,32,6.198,173.50,1.000,943.02,11/7/2016,On,20.00,Yes,18.82,19.90,6615.2,118.13,6270.7,111.98,In,-0.00091,6553.5,0.0026,1.077,0.00,63.00,1,4.226,10.24,0.928,9.510,0.00014,0.0079,1210.1,0.444,11/7/2016
-85.10563939,41.48321545,STOM BAC P0987,16/11/05-06:04:08,CORN,33,6.198,173.30,1.000,943.31,11/7/2016,On,20.00,Yes,19.05,20.10,6694.8,119.55,6330.4,113.04,In,-0.0041,6553.5,0.0029,0.979,0.00,61.00,1,4.226,10.24,1.021,10.46,0.00015,0.0085,1224.6,0.404,11/7/2016
-85.10563695,41.48319896,STOM BAC P0987,16/11/05-06:04:08,CORN,34,6.198,173.50,1.000,943.32,11/7/2016,On,20.00,Yes,21.84,20.00,7674.0,137.04,7265.3,129.74,In,-0.00091,6553.5,0.0029,0.979,0.00,64.00,1,4.226,10.24,1.021,10.46,0.00013,0.0075,1403.8,0.404,11/7/2016
-85.10563484,41.48318201,STOM BAC P0987,16/11/05-06:04:08,CORN,35,6.378,174.10,1.000,943.51,11/7/2016,On,20.00,Yes,19.97,18.70,6820.2,121.79,6561.9,117.18,In,-0.00045,6553.5,0.0029,1.008,0.00,64.00,1,4.349,10.54,0.992,10.46,0.00015,0.0081,1283.9,0.416,11/7/2016
-85.10563257,41.48316479,STOM BAC P0987,16/11/05-06:04:08,CORN,36,6.198,174.10,1.000,943.36,11/7/2016,On,20.00,Yes,20.82,19.30,7316.2,130.65,6987.1,124.77,In,-0.0046,6553.5,0.0029,0.979,0.00,63.00,1,4.226,10.24,1.021,10.46,0.00014,0.0078,1338.3,0.404,11/7/2016
-85.10563023,41.48314795,STOM BAC P0987,16/11/05-06:04:08,CORN,37,6.378,172.90,1.000,943.42,11/7/2016,On,20.00,Yes,21.13,19.90,7216.6,128.87,6840.9,122.16,In,-0.00045,6553.5,0.0029,1.008,0.00,63.00,1,4.349,10.54,0.992,10.46,0.00014,0.0077,1358.5,0.416,11/7/2016
-85.10562772,41.48313142,STOM BAC P0987,16/11/05-06:04:08,CORN,38,6.198,173.20,1.000,943.56,11/7/2016,On,20.00,Yes,21.44,20.10,7535.7,134.57,7125.5,127.24,In,-0.0036,6553.5,0.0032,0.898,0.00,65.00,1,4.226,10.24,1.114,11.41,0.00015,0.0083,1378.5,0.370,11/7/2016
