Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Fuel Used(gal(US)),Fuel Eff (A)(ac/gal(US)),Eng Power(W),Eng Load(%),Pass Num,Speed(mph),Prod(ac/h),Fuel Con(A)(gal(US)/ac),Fuel Con(T)(gal(US)/h),Fuel Con(M)(gal(US)/lb),Fuel Con(V)(gal(US)/bu),Crop Flw(V)(bu/h),Fuel Eff(mi/gal(US)),Date
-85.10158145,41.51194846,WELLS,16/07/05-16:41:11,CORN,1,1.713,355.80,1.000,961.31,7/5/2016,On,33.80,Yes,1.057,15.50,795.41,14.20,795.41,14.20,In,8.758e-005,0.0029,0.457,0.00,63.00,1,1.168,4.784,2.187,10.46,0.0027,0.154,67.95,0.112,7/5/2016
-85.10158200,41.51195418,WELLS,16/07/05-16:41:11,CORN,2,1.982,356.10,1.000,961.45,7/5/2016,On,33.80,Yes,1.860,15.50,1209.6,21.60,1209.6,21.60,In,-4.275e-005,0.0032,0.485,0.00,67.00,1,1.351,5.535,2.062,11.41,0.0017,0.095,119.57,0.118,7/5/2016
-85.10158238,41.51195835,WELLS,16/07/05-16:41:11,CORN,3,2.156,357.00,1.000,961.48,7/5/2016,On,33.80,Yes,1.531,15.50,915.22,16.34,915.22,16.34,In,-0.00080,0.0032,0.528,0.00,69.00,1,1.470,6.021,1.895,11.41,0.0021,0.116,98.40,0.129,7/5/2016
-85.10158283,41.51196498,WELLS,16/07/05-16:41:11,CORN,4,2.064,358.30,1.000,961.62,7/5/2016,On,33.80,Yes,1.796,15.50,1121.4,20.03,1121.4,20.03,In,0.0015,0.0032,0.505,0.00,67.00,1,1.407,5.764,1.980,11.41,0.0018,0.099,115.44,0.123,7/5/2016
-85.10158298,41.51196891,WELLS,16/07/05-16:41:11,CORN,5,1.955,358.30,1.000,961.81,7/5/2016,On,33.80,Yes,2.085,15.50,1374.0,24.54,1374.0,24.54,In,-0.0013,0.0034,0.442,0.00,73.00,1,1.333,5.462,2.264,12.36,0.0016,0.092,134.02,0.108,7/5/2016
-85.10158310,41.51197503,WELLS,16/07/05-16:41:11,CORN,6,2.064,358.00,1.000,961.96,7/5/2016,On,33.80,Yes,1.916,15.50,1196.7,21.37,1196.7,21.37,In,-0.0010,0.0034,0.466,0.00,73.00,1,1.407,5.764,2.145,12.36,0.0018,0.100,123.18,0.114,7/5/2016
-85.10158325,41.51197916,WELLS,16/07/05-16:41:11,CORN,7,2.031,357.60,1.000,962.11,7/5/2016,On,33.80,Yes,2.293,15.50,1455.5,25.99,1455.5,25.99,In,-0.00097,0.0034,0.459,0.00,73.00,1,1.385,5.673,2.179,12.36,0.0015,0.084,147.44,0.112,7/5/2016
-85.10158345,41.51198527,WELLS,16/07/05-16:41:11,CORN,8,1.969,357.60,1.000,962.23,7/5/2016,On,33.80,Yes,2.679,15.50,1753.9,31.32,1753.9,31.32,In,0.00032,0.0034,0.445,0.00,73.00,1,1.342,5.499,2.248,12.36,0.0013,0.072,172.21,0.109,7/5/2016
-85.10158366,41.51198944,WELLS,16/07/05-16:41:11,CORN,9,1.893,357.50,1.000,962.31,7/5/2016,On,33.80,Yes,3.377,15.50,2299.4,41.06,2299.4,41.06,In,0.0018,0.0037,0.397,0.00,77.00,1,1.291,5.288,2.518,13.31,0.0011,0.061,217.12,0.097,7/5/2016
-85.10158389,41.51199561,WELLS,16/07/05-16:41:11,CORN,10,2.047,357.50,1.000,962.52,7/5/2016,On,33.80,Yes,2.711,15.50,1706.7,30.48,1706.7,30.48,In,-0.00097,0.0037,0.430,0.00,73.00,1,1.396,5.719,2.328,13.31,0.0014,0.076,174.28,0.105,7/5/2016
