Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.18701378,40.97585525,AULT,HOME,BUNKER MUCK19,,On,-459.67,0.849,10/9/2015,Yes,816.44,5.539,5.539,13.00,2.168,35.00,332.32,332.32,Grain Harvest,203748,SOYBEANS
-86.18701702,40.97584677,AULT,HOME,BUNKER MUCK19,,On,-459.67,3.239,10/9/2015,Yes,816.29,21.60,21.60,13.00,2.121,35.00,1295.9,1295.9,Grain Harvest,203748,SOYBEANS
-86.18702064,40.97583787,AULT,HOME,BUNKER MUCK19,,On,-459.67,4.586,10/9/2015,Yes,816.30,28.26,28.26,13.00,2.295,35.00,1695.6,1695.6,Grain Harvest,203748,SOYBEANS
-86.18702422,40.97582740,AULT,HOME,BUNKER MUCK19,,On,-459.67,6.363,10/9/2015,Yes,816.18,34.50,34.50,13.00,2.608,35.00,2070.0,2070.0,Grain Harvest,203748,SOYBEANS
-86.18702813,40.97581704,AULT,HOME,BUNKER MUCK19,,On,-459.67,6.137,10/9/2015,Yes,816.09,34.04,34.04,13.00,2.550,35.00,2042.1,2042.1,Grain Harvest,203748,SOYBEANS
-86.18703113,40.97580771,AULT,HOME,BUNKER MUCK19,,On,-459.67,6.831,10/9/2015,Yes,816.20,37.92,37.92,13.00,2.548,35.00,2275.1,2275.1,Grain Harvest,203748,SOYBEANS
-86.18703463,40.97579737,AULT,HOME,BUNKER MUCK19,,On,-459.67,7.469,10/9/2015,Yes,816.20,41.60,41.60,13.00,2.539,35.00,2496.3,2496.3,Grain Harvest,203748,SOYBEANS
-86.18703864,40.97578813,AULT,HOME,BUNKER MUCK19,,On,-459.67,8.152,10/9/2015,Yes,816.28,46.35,46.35,13.00,2.487,35.00,2780.9,2780.9,Grain Harvest,203748,SOYBEANS
-86.18704284,40.97577826,AULT,HOME,BUNKER MUCK19,,On,-459.67,8.418,10/9/2015,Yes,816.24,46.56,46.56,13.00,2.557,35.00,2793.8,2793.8,Grain Harvest,203748,SOYBEANS
-86.18704704,40.97576885,AULT,HOME,BUNKER MUCK19,,On,-459.67,7.466,10/9/2015,Yes,816.21,43.75,43.75,13.00,2.414,35.00,2624.8,2624.8,Grain Harvest,203748,SOYBEANS
-86.18705110,40.97575905,AULT,HOME,BUNKER MUCK19,,On,-459.67,8.998,10/9/2015,Yes,816.20,50.17,50.17,13.00,2.537,35.00,3010.1,3010.1,Grain Harvest,203748,SOYBEANS
