Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.19788214,40.96129316,AULT,MONT,NORTH MUCK16,,On,-459.67,3.657,10/19/2015,No,786.55,41.40,41.40,15.50,2.342,20.00,2318.4,2318.4,Grain Harvest,2010385416,CORN
-86.19789854,40.96129196,AULT,MONT,NORTH MUCK16,,On,-459.67,6.604,10/19/2015,No,786.15,69.41,69.41,15.50,2.523,20.00,3886.8,3886.8,Grain Harvest,2010385416,CORN
-86.19790780,40.96129331,AULT,MONT,NORTH MUCK16,,On,-459.67,7.589,10/19/2015,No,786.15,82.38,82.38,15.50,2.443,20.00,4613.4,4613.4,Grain Harvest,2010385416,CORN
-86.19792128,40.96129255,AULT,MONT,NORTH MUCK16,,On,-459.67,11.11,10/19/2015,No,786.39,132.58,132.58,15.50,2.221,20.00,7424.3,7424.3,Grain Harvest,2010385416,CORN
-86.19793403,40.96129282,AULT,MONT,NORTH MUCK16,,On,-459.67,14.77,10/19/2015,No,786.37,145.56,145.56,15.50,2.691,20.00,8151.1,8151.1,Grain Harvest,2010385416,CORN
-86.19794834,40.96129304,AULT,MONT,NORTH MUCK16,,On,-459.67,15.41,10/19/2015,No,786.23,153.49,153.49,15.50,2.662,20.00,8595.5,8595.5,Grain Harvest,2010385416,CORN
-86.19796126,40.96129288,AULT,MONT,NORTH MUCK16,,On,-459.67,19.95,10/19/2015,No,786.20,235.80,235.80,15.50,2.244,20.00,13205,13205,Grain Harvest,2010385416,CORN
-86.19797154,40.96129242,AULT,MONT,NORTH MUCK16,,On,-459.67,21.37,10/19/2015,No,786.22,332.43,332.43,15.50,1.705,20.00,18616,18616,Grain Harvest,2010385416,CORN
-86.19798129,40.96129243,AULT,MONT,NORTH MUCK16,,On,-459.67,22.19,10/19/2015,No,786.30,313.14,313.14,15.50,1.879,20.00,17536,17536,Grain Harvest,2010385416,CORN
-86.19799379,40.96129241,AULT,MONT,NORTH MUCK16,,On,-459.67,21.98,10/19/2015,No,786.20,252.37,271.66,21.50,2.145,20.00,14133,15213,Grain Harvest,2010385416,CORN
-86.19800595,40.96129255,AULT,MONT,NORTH MUCK16,,On,-459.67,24.00,10/19/2015,No,786.23,269.94,296.62,23.10,2.145,20.00,15117,16611,Grain Harvest,2010385416,CORN
-86.19801922,40.96129207,AULT,MONT,NORTH MUCK16,,On,-459.67,19.90,10/19/2015,No,786.29,226.92,248.38,22.80,2.125,20.00,12708,13909,Grain Harvest,2010385416,CORN
-86.19803091,40.96129199,AULT,MONT,NORTH MUCK16,,On,-459.67,21.13,10/19/2015,No,786.44,236.57,255.30,21.70,2.194,20.00,13248,14297,Grain Harvest,2010385416,CORN
-86.19804422,40.96129192,AULT,MONT,NORTH MUCK16,,On,-459.67,17.43,10/19/2015,No,786.63,184.69,197.30,20.90,2.342,20.00,10343,11049,Grain Harvest,2010385416,CORN
-86.19805747,40.96129178,AULT,MONT,NORTH MUCK16,,On,-459.67,19.91,10/19/2015,No,786.63,214.51,228.00,20.50,2.315,20.00,12012,12768,Grain Harvest,2010385416,CORN
-86.19807118,40.96129141,AULT,MONT,NORTH MUCK16,,On,-459.67,22.73,10/19/2015,No,786.64,240.38,255.18,20.40,2.362,20.00,13461,14290,Grain Harvest,2010385416,CORN
-86.19808426,40.96129120,AULT,MONT,NORTH MUCK16,,On,-459.67,22.53,10/19/2015,No,786.68,240.60,255.09,20.30,2.342,20.00,13473,14285,Grain Harvest,2010385416,CORN
-86.19809768,40.96129106,AULT,MONT,NORTH MUCK16,,On,-459.67,22.83,10/19/2015,No,786.64,241.20,257.01,20.70,2.355,20.00,13507,14393,Grain Harvest,2010385416,CORN
-86.19811013,40.96129077,AULT,MONT,NORTH MUCK16,,On,-459.67,21.93,10/19/2015,No,786.70,243.58,258.90,20.50,2.246,20.00,13641,14499,Grain Harvest,2010385416,CORN
-86.19811724,40.96129061,AULT,MONT,NORTH MUCK16,,On,-459.67,13.69,10/19/2015,No,786.54,224.34,239.05,20.70,1.519,20.00,12563,13387,Grain Harvest,2010385416,CORN
-86.19796139,40.96124110,AULT,MONT,NORTH MUCK16,,On,-459.67,9.648,10/19/2015,Yes,780.53,255.39,275.26,21.60,2.479,7.500,14302,15414,Grain Harvest,2010385416,CORN
-86.19795145,40.96123349,AULT,MONT,NORTH MUCK16,,On,-459.67,11.20,10/19/2015,Yes,781.05,180.99,190.94,19.90,2.490,12.50,10136,10692,Grain Harvest,2010385416,CORN
-86.19794175,40.96122583,AULT,MONT,NORTH MUCK16,,On,-459.67,15.44,10/19/2015,Yes,780.94,204.16,216.73,20.40,2.519,15.00,11433,12137,Grain Harvest,2010385416,CORN
-86.19793247,40.96121736,AULT,MONT,NORTH MUCK16,,On,-459.67,22.87,10/19/2015,Yes,780.88,229.95,243.19,20.10,2.494,20.00,12877,13619,Grain Harvest,2010385416,CORN
-86.19792227,40.96120894,AULT,MONT,NORTH MUCK16,,On,-459.67,22.22,10/19/2015,Yes,780.86,222.65,236.06,20.30,2.496,20.00,12468,13219,Grain Harvest,2010385416,CORN
-86.19791365,40.96120099,AULT,MONT,NORTH MUCK16,,On,-459.67,25.24,10/19/2015,Yes,780.80,253.85,268.13,20.00,2.496,20.00,14216,15015,Grain Harvest,2010385416,CORN
-86.19789041,40.96122479,AULT,MONT,NORTH MUCK16,,On,-459.67,14.61,10/19/2015,Yes,781.30,183.24,192.83,19.70,2.009,20.00,10262,10798,Grain Harvest,2010385416,CORN
-86.19791644,40.96121096,AULT,MONT,NORTH MUCK16,,On,-459.67,5.706,10/19/2015,Yes,781.29,131.83,138.90,19.80,1.089,20.00,7382.4,7778.2,Grain Harvest,2010385416,CORN
-86.19781797,40.96097550,AULT,MONT,NORTH MUCK16,,On,-459.67,15.03,10/19/2015,No,804.71,125.68,133.75,20.60,2.980,20.00,7038.1,7490.1,Grain Harvest,2010385416,CORN
-86.19785058,40.96110846,AULT,MONT,NORTH MUCK16,,On,-459.67,16.99,10/19/2015,No,792.31,140.40,150.75,21.30,2.989,20.00,7862.6,8442.1,Grain Harvest,2010385416,CORN
-86.19788139,40.96107024,AULT,MONT,NORTH MUCK16,,On,-459.67,17.95,10/19/2015,No,788.99,128.68,138.34,21.40,3.440,20.00,7206.2,7747.1,Grain Harvest,2010385416,CORN
-86.19787746,40.96096480,AULT,MONT,NORTH MUCK16,,On,-459.67,19.83,10/19/2015,No,790.47,365.65,391.10,21.00,3.586,7.500,20476,21902,Grain Harvest,2010385416,CORN
-86.19787695,40.96094836,AULT,MONT,NORTH MUCK16,,On,-459.67,17.45,10/19/2015,No,790.51,119.89,127.59,20.60,3.626,20.00,6713.9,7145.2,Grain Harvest,2010385416,CORN
-86.19787678,40.96093312,AULT,MONT,NORTH MUCK16,,On,-459.67,15.62,10/19/2015,No,790.58,108.41,115.52,20.70,3.586,20.00,6070.8,6468.9,Grain Harvest,2010385416,CORN
-86.19787690,40.96091803,AULT,MONT,NORTH MUCK16,,On,-459.67,19.50,10/19/2015,No,790.65,133.92,143.06,20.90,3.615,20.00,7499.4,8011.3,Grain Harvest,2010385416,CORN
-86.19787675,40.96090222,AULT,MONT,NORTH MUCK16,,On,-459.67,15.24,10/19/2015,No,790.68,104.55,112.11,21.20,3.604,20.00,5854.6,6278.1,Grain Harvest,2010385416,CORN
-86.19787668,40.96088525,AULT,MONT,NORTH MUCK16,,On,-459.67,14.50,10/19/2015,No,790.67,93.91,101.48,21.80,3.789,20.00,5259.0,5682.7,Grain Harvest,2010385416,CORN
-86.19787684,40.96086786,AULT,MONT,NORTH MUCK16,,On,-459.67,11.10,10/19/2015,No,790.72,66.75,72.13,21.80,4.082,20.00,3737.9,4039.0,Grain Harvest,2010385416,CORN
-86.19787689,40.96085048,AULT,MONT,NORTH MUCK16,,On,-459.67,8.767,10/19/2015,No,790.87,54.20,57.90,20.90,4.015,20.00,3035.3,3242.5,Grain Harvest,2010385416,CORN
-86.19787739,40.96083318,AULT,MONT,NORTH MUCK16,,On,-459.67,6.835,10/19/2015,No,790.80,42.20,45.19,21.10,4.011,20.00,2363.0,2530.7,Grain Harvest,2010385416,CORN
-86.19787792,40.96081592,AULT,MONT,NORTH MUCK16,,On,-459.67,6.085,10/19/2015,No,790.80,37.17,40.17,21.80,4.018,20.00,2081.6,2249.2,Grain Harvest,2010385416,CORN
-86.19787787,40.96079803,AULT,MONT,NORTH MUCK16,,On,-459.67,7.484,10/19/2015,No,790.71,45.31,49.15,22.10,4.038,20.00,2537.6,2752.6,Grain Harvest,2010385416,CORN
-86.19787784,40.96078043,AULT,MONT,NORTH MUCK16,,On,-459.67,6.438,10/19/2015,No,790.60,39.25,42.35,21.70,4.031,20.00,2197.8,2371.8,Grain Harvest,2010385416,CORN
-86.19787812,40.96076347,AULT,MONT,NORTH MUCK16,,On,-459.67,7.490,10/19/2015,No,790.49,45.74,49.11,21.30,4.044,20.00,2561.5,2750.2,Grain Harvest,2010385416,CORN
-86.19787858,40.96074632,AULT,MONT,NORTH MUCK16,,On,-459.67,10.44,10/19/2015,No,790.44,63.30,68.75,22.20,4.026,20.00,3544.8,3850.1,Grain Harvest,2010385416,CORN
-86.19787923,40.96072924,AULT,MONT,NORTH MUCK16,,On,-459.67,12.07,10/19/2015,No,790.44,73.90,80.58,22.50,3.973,20.00,4138.6,4512.4,Grain Harvest,2010385416,CORN
-86.19787974,40.96071194,AULT,MONT,NORTH MUCK16,,On,-459.67,11.89,10/19/2015,No,790.31,73.09,78.58,21.40,4.011,20.00,4093.2,4400.5,Grain Harvest,2010385416,CORN
-86.19788113,40.96069478,AULT,MONT,NORTH MUCK16,,On,-459.67,11.54,10/19/2015,No,790.15,69.89,75.81,22.10,4.038,20.00,3913.7,4245.3,Grain Harvest,2010385416,CORN
-86.19788218,40.96067799,AULT,MONT,NORTH MUCK16,,On,-459.67,11.62,10/19/2015,No,790.09,70.93,77.64,22.80,3.968,20.00,3972.3,4348.0,Grain Harvest,2010385416,CORN
-86.19788293,40.96066056,AULT,MONT,NORTH MUCK16,,On,-459.67,10.09,10/19/2015,No,790.01,60.70,66.19,22.50,4.044,20.00,3399.4,3706.5,Grain Harvest,2010385416,CORN
-86.19788330,40.96064297,AULT,MONT,NORTH MUCK16,,On,-459.67,10.29,10/19/2015,No,789.95,64.07,68.96,21.50,3.957,20.00,3587.8,3862.0,Grain Harvest,2010385416,CORN
-86.19788347,40.96062558,AULT,MONT,NORTH MUCK16,,On,-459.67,11.76,10/19/2015,No,789.82,72.26,78.48,22.20,3.975,20.00,4046.4,4394.9,Grain Harvest,2010385416,CORN
-86.19788374,40.96060818,AULT,MONT,NORTH MUCK16,,On,-459.67,10.09,10/19/2015,No,789.67,61.24,66.60,22.30,4.018,20.00,3429.4,3729.5,Grain Harvest,2010385416,CORN
-86.19788349,40.96059057,AULT,MONT,NORTH MUCK16,,On,-459.67,9.864,10/19/2015,No,789.55,60.79,65.11,21.10,4.018,20.00,3404.3,3645.9,Grain Harvest,2010385416,CORN
-86.19788309,40.96057331,AULT,MONT,NORTH MUCK16,,On,-459.67,11.07,10/19/2015,No,789.42,68.67,73.45,21.00,3.997,20.00,3845.5,4113.3,Grain Harvest,2010385416,CORN
-86.19788294,40.96055594,AULT,MONT,NORTH MUCK16,,On,-459.67,11.77,10/19/2015,No,789.45,70.92,76.44,21.60,4.085,20.00,3971.5,4280.6,Grain Harvest,2010385416,CORN
-86.19788314,40.96053661,AULT,MONT,NORTH MUCK16,,On,-459.67,11.99,10/19/2015,No,789.28,67.41,72.65,21.60,4.375,20.00,3774.7,4068.4,Grain Harvest,2010385416,CORN
-86.19788358,40.96051729,AULT,MONT,NORTH MUCK16,,On,-459.67,11.51,10/19/2015,No,789.00,64.34,68.74,20.90,4.440,20.00,3603.2,3849.2,Grain Harvest,2010385416,CORN
-86.19788362,40.96049806,AULT,MONT,NORTH MUCK16,,On,-459.67,14.07,10/19/2015,No,788.85,78.63,84.11,21.00,4.436,20.00,4403.5,4710.1,Grain Harvest,2010385416,CORN
-86.19788289,40.96047913,AULT,MONT,NORTH MUCK16,,On,-459.67,15.79,10/19/2015,No,788.81,88.27,95.38,21.80,4.391,20.00,4942.9,5341.1,Grain Harvest,2010385416,CORN
-86.19788258,40.96046003,AULT,MONT,NORTH MUCK16,,On,-459.67,15.40,10/19/2015,No,788.70,86.05,92.98,21.80,4.391,20.00,4818.9,5207.2,Grain Harvest,2010385416,CORN
-86.19788215,40.96044075,AULT,MONT,NORTH MUCK16,,On,-459.67,17.56,10/19/2015,No,788.56,96.64,104.16,21.60,4.472,20.00,5411.7,5832.8,Grain Harvest,2010385416,CORN
-86.19788189,40.96042170,AULT,MONT,NORTH MUCK16,,On,-459.67,19.18,10/19/2015,No,788.48,106.32,116.07,22.60,4.382,20.00,5953.8,6499.9,Grain Harvest,2010385416,CORN
-86.19788168,40.96040223,AULT,MONT,NORTH MUCK16,,On,-459.67,20.64,10/19/2015,No,788.34,111.92,123.14,23.20,4.445,20.00,6267.6,6896.0,Grain Harvest,2010385416,CORN
-86.19788113,40.96038283,AULT,MONT,NORTH MUCK16,,On,-459.67,18.30,10/19/2015,No,788.28,100.18,109.94,23.00,4.413,20.00,5610.0,6156.4,Grain Harvest,2010385416,CORN
-86.19788129,40.96036408,AULT,MONT,NORTH MUCK16,,On,-459.67,18.42,10/19/2015,No,788.18,98.49,109.36,23.90,4.467,20.00,5515.5,6124.4,Grain Harvest,2010385416,CORN
-86.19788147,40.96034492,AULT,MONT,NORTH MUCK16,,On,-459.67,15.25,10/19/2015,No,788.11,81.34,90.44,24.00,4.472,20.00,4555.3,5064.8,Grain Harvest,2010385416,CORN
