Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.18034499,40.97702248,AULT,HOME,PRESSEL37,,On,-459.67,0.257,10/8/2015,Yes,824.98,29.58,29.58,13.00,0.123,35.00,1774.8,1774.8,Grain Harvest,203748,SOYBEANS
-86.18034499,40.97702248,AULT,HOME,PRESSEL37,,On,-459.67,1.511,10/8/2015,Yes,824.98,170.58,170.58,13.00,0.125,35.00,10235,10235,Grain Harvest,203748,SOYBEANS
-86.18034546,40.97701983,AULT,HOME,PRESSEL37,,On,-459.67,0.271,10/8/2015,Yes,824.88,61.28,61.28,13.00,0.063,35.00,3677.0,3677.0,Grain Harvest,203748,SOYBEANS
-86.18034592,40.97701714,AULT,HOME,PRESSEL37,,On,-459.67,0.520,10/8/2015,Yes,824.80,39.63,39.63,13.00,0.186,35.00,2377.7,2377.7,Grain Harvest,203748,SOYBEANS
-86.18034631,40.97701384,AULT,HOME,PRESSEL37,,On,-459.67,0.253,10/8/2015,Yes,824.62,28.52,28.52,13.00,0.125,35.00,1711.3,1711.3,Grain Harvest,203748,SOYBEANS
-86.18034675,40.97700969,AULT,HOME,PRESSEL37,,On,-459.67,2.037,10/8/2015,Yes,824.40,33.10,33.10,13.00,0.870,35.00,1986.2,1986.2,Grain Harvest,203748,SOYBEANS
-86.18034711,40.97700631,AULT,HOME,PRESSEL37,,On,-459.67,4.151,10/8/2015,Yes,824.26,72.30,72.30,13.00,0.812,35.00,4338.1,4338.1,Grain Harvest,203748,SOYBEANS
-86.18034730,40.97700440,AULT,HOME,PRESSEL37,,On,-459.67,4.895,10/8/2015,Yes,824.22,160.36,160.36,13.00,0.432,35.00,9621.4,9621.4,Grain Harvest,203748,SOYBEANS
-86.18034743,40.97700250,AULT,HOME,PRESSEL37,,On,-459.67,3.550,10/8/2015,Yes,824.32,80.45,80.45,13.00,0.624,35.00,4827.2,4827.2,Grain Harvest,203748,SOYBEANS
-86.18034761,40.97700028,AULT,HOME,PRESSEL37,,On,-459.67,4.766,10/8/2015,Yes,824.52,98.80,98.80,13.00,0.682,35.00,5928.2,5928.2,Grain Harvest,203748,SOYBEANS
-86.18034779,40.97699796,AULT,HOME,PRESSEL37,,On,-459.67,3.493,10/8/2015,Yes,824.81,66.32,66.32,13.00,0.745,35.00,3979.2,3979.2,Grain Harvest,203748,SOYBEANS
-86.18034797,40.97699481,AULT,HOME,PRESSEL37,,On,-459.67,4.486,10/8/2015,Yes,825.10,84.92,84.92,13.00,0.747,35.00,5095.0,5095.0,Grain Harvest,203748,SOYBEANS
-86.18034818,40.97699119,AULT,HOME,PRESSEL37,,On,-459.67,5.625,10/8/2015,Yes,825.17,85.28,85.28,13.00,0.933,35.00,5116.8,5116.8,Grain Harvest,203748,SOYBEANS
-86.18034842,40.97698692,AULT,HOME,PRESSEL37,,On,-459.67,4.280,10/8/2015,Yes,825.15,60.94,60.94,13.00,0.993,35.00,3656.7,3656.7,Grain Harvest,203748,SOYBEANS
-86.18034879,40.97698305,AULT,HOME,PRESSEL37,,On,-459.67,5.433,10/8/2015,Yes,825.15,77.36,77.36,13.00,0.993,35.00,4641.9,4641.9,Grain Harvest,203748,SOYBEANS
-86.18034925,40.97697924,AULT,HOME,PRESSEL37,,On,-459.67,4.912,10/8/2015,Yes,825.20,69.79,69.79,13.00,0.995,35.00,4187.5,4187.5,Grain Harvest,203748,SOYBEANS
-86.18034968,40.97697522,AULT,HOME,PRESSEL37,,On,-459.67,5.691,10/8/2015,Yes,825.24,71.81,71.81,13.00,1.121,35.00,4308.7,4308.7,Grain Harvest,203748,SOYBEANS
-86.18035009,40.97697042,AULT,HOME,PRESSEL37,,On,-459.67,6.650,10/8/2015,Yes,825.19,89.26,89.26,13.00,1.054,35.00,5355.8,5355.8,Grain Harvest,203748,SOYBEANS
-86.18035056,40.97696463,AULT,HOME,PRESSEL37,,On,-459.67,6.393,10/8/2015,Yes,825.06,76.55,76.55,13.00,1.181,35.00,4593.0,4593.0,Grain Harvest,203748,SOYBEANS
-86.18035118,40.97695881,AULT,HOME,PRESSEL37,,On,-459.67,7.212,10/8/2015,Yes,824.90,86.19,86.19,13.00,1.183,35.00,5171.7,5171.7,Grain Harvest,203748,SOYBEANS
-86.18035157,40.97695430,AULT,HOME,PRESSEL37,,On,-459.67,6.441,10/8/2015,Yes,824.89,73.24,73.24,13.00,1.244,35.00,4394.7,4394.7,Grain Harvest,203748,SOYBEANS
-86.18035201,40.97694881,AULT,HOME,PRESSEL37,,On,-459.67,7.535,10/8/2015,Yes,824.92,82.14,82.14,13.00,1.297,35.00,4928.5,4928.5,Grain Harvest,203748,SOYBEANS
-86.18035237,40.97694307,AULT,HOME,PRESSEL37,,On,-459.67,6.825,10/8/2015,Yes,824.92,67.21,67.21,13.00,1.436,35.00,4032.8,4032.8,Grain Harvest,203748,SOYBEANS
-86.18035255,40.97693724,AULT,HOME,PRESSEL37,,On,-459.67,7.499,10/8/2015,Yes,824.94,71.40,71.40,13.00,1.485,35.00,4284.3,4284.3,Grain Harvest,203748,SOYBEANS
-86.18035260,40.97693110,AULT,HOME,PRESSEL37,,On,-459.67,6.955,10/8/2015,Yes,824.96,68.71,68.71,13.00,1.432,35.00,4122.5,4122.5,Grain Harvest,203748,SOYBEANS
-86.18035305,40.97692500,AULT,HOME,PRESSEL37,,On,-459.67,7.387,10/8/2015,Yes,825.01,64.60,64.60,13.00,1.617,35.00,3876.0,3876.0,Grain Harvest,203748,SOYBEANS
-86.18035361,40.97691835,AULT,HOME,PRESSEL37,,On,-459.67,7.783,10/8/2015,Yes,825.00,70.80,70.80,13.00,1.555,35.00,4248.2,4248.2,Grain Harvest,203748,SOYBEANS
-86.18035380,40.97691240,AULT,HOME,PRESSEL37,,On,-459.67,7.629,10/8/2015,Yes,825.06,69.60,69.60,13.00,1.550,35.00,4176.1,4176.1,Grain Harvest,203748,SOYBEANS
-86.18035412,40.97690571,AULT,HOME,PRESSEL37,,On,-459.67,8.645,10/8/2015,Yes,825.14,78.53,78.53,13.00,1.557,35.00,4711.6,4711.6,Grain Harvest,203748,SOYBEANS
-86.18035445,40.97689850,AULT,HOME,PRESSEL37,,On,-459.67,7.511,10/8/2015,Yes,825.12,61.12,61.12,13.00,1.738,35.00,3667.1,3667.1,Grain Harvest,203748,SOYBEANS
-86.18035432,40.97689148,AULT,HOME,PRESSEL37,,On,-459.67,9.352,10/8/2015,Yes,825.11,81.89,81.89,13.00,1.615,35.00,4913.4,4913.4,Grain Harvest,203748,SOYBEANS
-86.18035410,40.97688448,AULT,HOME,PRESSEL37,,On,-459.67,9.502,10/8/2015,Yes,825.15,74.82,74.82,13.00,1.796,35.00,4489.1,4489.1,Grain Harvest,203748,SOYBEANS
-86.18035406,40.97687721,AULT,HOME,PRESSEL37,,On,-459.67,8.784,10/8/2015,Yes,825.13,71.20,71.20,13.00,1.745,35.00,4271.9,4271.9,Grain Harvest,203748,SOYBEANS
-86.18035401,40.97686968,AULT,HOME,PRESSEL37,,On,-459.67,8.871,10/8/2015,Yes,825.09,72.09,72.09,13.00,1.740,35.00,4325.6,4325.6,Grain Harvest,203748,SOYBEANS
-86.18035411,40.97686233,AULT,HOME,PRESSEL37,,On,-459.67,6.994,10/8/2015,Yes,825.05,56.77,56.77,13.00,1.743,35.00,3406.0,3406.0,Grain Harvest,203748,SOYBEANS
-86.18035432,40.97685448,AULT,HOME,PRESSEL37,,On,-459.67,6.997,10/8/2015,Yes,824.97,53.30,53.30,13.00,1.857,35.00,3198.1,3198.1,Grain Harvest,203748,SOYBEANS
-86.18035437,40.97684710,AULT,HOME,PRESSEL37,,On,-459.67,9.218,10/8/2015,Yes,825.00,69.71,69.71,13.00,1.870,35.00,4182.7,4182.7,Grain Harvest,203748,SOYBEANS
-86.18035434,40.97683910,AULT,HOME,PRESSEL37,,On,-459.67,10.97,10/8/2015,Yes,825.07,77.94,77.94,5.800,1.991,35.00,4676.2,4676.2,Grain Harvest,203748,SOYBEANS
-86.18035444,40.97683123,AULT,HOME,PRESSEL37,,On,-459.67,8.077,10/8/2015,Yes,825.10,59.31,59.31,6.200,1.926,35.00,3558.6,3558.6,Grain Harvest,203748,SOYBEANS
