Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.18881603,40.97400618,AULT,HOME,SHOP14,,On,-459.67,1.583,10/25/2015,Yes,806.49,27.24,27.24,15.50,1.541,20.00,1525.5,1525.5,Grain Harvest,203748,CORN
-86.18881951,40.97399937,AULT,HOME,SHOP14,,On,-459.67,5.431,10/25/2015,Yes,806.43,82.43,82.43,15.50,1.747,20.00,4616.2,4616.2,Grain Harvest,203748,CORN
-86.18882320,40.97399248,AULT,HOME,SHOP14,,On,-459.67,10.05,10/25/2015,Yes,806.50,226.53,226.53,15.50,1.177,20.00,12686,12686,Grain Harvest,203748,CORN
-86.18882674,40.97398552,AULT,HOME,SHOP14,,On,-459.67,11.21,10/25/2015,Yes,806.58,252.17,252.17,15.50,1.179,20.00,14121,14121,Grain Harvest,203748,CORN
-86.18882965,40.97397782,AULT,HOME,SHOP14,,On,-459.67,10.33,10/25/2015,Yes,806.75,141.74,141.74,15.50,1.933,20.00,7937.3,7937.3,Grain Harvest,203748,CORN
-86.18883292,40.97397005,AULT,HOME,SHOP14,,On,-459.67,10.26,10/25/2015,Yes,806.85,175.75,175.75,15.50,1.548,20.00,9842.0,9842.0,Grain Harvest,203748,CORN
-86.18883562,40.97396156,AULT,HOME,SHOP14,,On,-459.67,10.04,10/25/2015,Yes,806.81,133.36,133.36,15.50,1.995,20.00,7468.4,7468.4,Grain Harvest,203748,CORN
-86.18883828,40.97395264,AULT,HOME,SHOP14,,On,-459.67,12.73,10/25/2015,Yes,806.83,150.92,150.92,15.50,2.237,20.00,8451.7,8451.7,Grain Harvest,203748,CORN
-86.18884138,40.97394326,AULT,HOME,SHOP14,,On,-459.67,9.712,10/25/2015,Yes,806.92,106.71,106.71,15.50,2.414,20.00,5975.6,5975.6,Grain Harvest,203748,CORN
-86.18884445,40.97393366,AULT,HOME,SHOP14,,On,-459.67,14.29,10/25/2015,Yes,806.87,155.97,155.97,15.50,2.429,20.00,8734.1,8734.1,Grain Harvest,203748,CORN
-86.18884700,40.97392453,AULT,HOME,SHOP14,,On,-459.67,11.22,10/25/2015,Yes,806.93,111.08,111.08,15.50,2.678,20.00,6220.5,6220.5,Grain Harvest,203748,CORN
-86.18884963,40.97391481,AULT,HOME,SHOP14,,On,-459.67,11.31,10/25/2015,Yes,806.94,124.39,124.39,15.50,2.411,20.00,6965.9,6965.9,Grain Harvest,203748,CORN
-86.18885220,40.97390485,AULT,HOME,SHOP14,,On,-459.67,13.64,10/25/2015,Yes,806.86,157.03,157.03,15.50,2.304,20.00,8793.8,8793.8,Grain Harvest,203748,CORN
