Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.19782173,40.95833575,AULT,MONT,SOUTH MUCK30,,On,-459.67,3.985,10/20/2015,Yes,791.50,45.78,45.78,15.50,2.309,20.00,2563.5,2563.5,Grain Harvest,2010385416,CORN
-86.19782863,40.95832649,AULT,MONT,SOUTH MUCK30,,On,-459.67,5.335,10/20/2015,Yes,791.54,58.02,58.02,15.50,2.438,20.00,3249.0,3249.0,Grain Harvest,2010385416,CORN
-86.19783455,40.95831782,AULT,MONT,SOUTH MUCK30,,On,-459.67,6.840,10/20/2015,Yes,791.52,73.65,73.65,15.50,2.463,20.00,4124.2,4124.2,Grain Harvest,2010385416,CORN
-86.19784036,40.95830824,AULT,MONT,SOUTH MUCK30,,On,-459.67,9.636,10/20/2015,Yes,791.48,101.45,101.45,15.50,2.519,20.00,5681.2,5681.2,Grain Harvest,2010385416,CORN
-86.19784714,40.95829775,AULT,MONT,SOUTH MUCK30,,On,-459.67,11.64,10/20/2015,Yes,791.35,118.60,118.60,15.50,2.602,20.00,6641.5,6641.5,Grain Harvest,2010385416,CORN
-86.19785358,40.95828784,AULT,MONT,SOUTH MUCK30,,On,-459.67,8.966,10/20/2015,Yes,791.31,92.42,92.42,15.50,2.572,20.00,5175.6,5175.6,Grain Harvest,2010385416,CORN
-86.19786090,40.95827871,AULT,MONT,SOUTH MUCK30,,On,-459.67,21.08,10/20/2015,Yes,791.40,218.40,218.40,15.50,2.559,20.00,12231,12231,Grain Harvest,2010385416,CORN
-86.19786841,40.95826914,AULT,MONT,SOUTH MUCK30,,On,-459.67,27.19,10/20/2015,Yes,791.37,278.06,278.06,15.50,2.593,20.00,15571,15571,Grain Harvest,2010385416,CORN
-86.19787564,40.95825955,AULT,MONT,SOUTH MUCK30,,On,-459.67,27.19,10/20/2015,Yes,791.39,279.75,279.75,15.50,2.577,20.00,15666,15666,Grain Harvest,2010385416,CORN
-86.19788129,40.95825204,AULT,MONT,SOUTH MUCK30,,On,-459.67,12.59,10/20/2015,Yes,791.29,150.16,150.16,10.90,2.224,20.00,8409.2,8409.2,Grain Harvest,2010385416,CORN
-86.19787055,40.95824189,AULT,MONT,SOUTH MUCK30,,On,-459.67,17.96,10/20/2015,Yes,791.03,167.95,172.23,17.60,2.765,20.00,9405.3,9645.0,Grain Harvest,2010385416,CORN
-86.19787147,40.95822792,AULT,MONT,SOUTH MUCK30,,On,-459.67,21.11,10/20/2015,Yes,791.02,169.65,181.46,21.00,3.085,20.00,9500.2,10162,Grain Harvest,2010385416,CORN
-86.19787228,40.95821276,AULT,MONT,SOUTH MUCK30,,On,-459.67,25.24,10/20/2015,Yes,791.02,183.36,197.62,21.60,3.387,20.00,10268,11067,Grain Harvest,2010385416,CORN
-86.19787213,40.95819625,AULT,MONT,SOUTH MUCK30,,On,-459.67,24.94,10/20/2015,Yes,790.95,169.88,182.40,21.30,3.626,20.00,9513.5,10215,Grain Harvest,2010385416,CORN
-86.19787165,40.95818003,AULT,MONT,SOUTH MUCK30,,On,-459.67,27.20,10/20/2015,Yes,790.91,180.58,191.46,20.30,3.767,20.00,10113,10722,Grain Harvest,2010385416,CORN
-86.19787111,40.95816347,AULT,MONT,SOUTH MUCK30,,On,-459.67,27.88,10/20/2015,Yes,790.84,185.05,195.46,20.00,3.783,20.00,10363,10946,Grain Harvest,2010385416,CORN
-86.19787035,40.95814658,AULT,MONT,SOUTH MUCK30,,On,-459.67,24.60,10/20/2015,Yes,790.74,159.63,169.03,20.20,3.859,20.00,8939.1,9465.6,Grain Harvest,2010385416,CORN
-86.19786985,40.95813021,AULT,MONT,SOUTH MUCK30,,On,-459.67,29.01,10/20/2015,Yes,790.63,188.74,199.11,19.90,3.863,20.00,10569,11150,Grain Harvest,2010385416,CORN
-86.19786953,40.95811233,AULT,MONT,SOUTH MUCK30,,On,-459.67,29.65,10/20/2015,Yes,790.50,183.19,194.72,20.50,4.038,20.00,10259,10904,Grain Harvest,2010385416,CORN
-86.19786884,40.95809359,AULT,MONT,SOUTH MUCK30,,On,-459.67,29.28,10/20/2015,Yes,790.32,172.88,184.45,20.80,4.210,20.00,9681.4,10329,Grain Harvest,2010385416,CORN
-86.19786853,40.95807538,AULT,MONT,SOUTH MUCK30,,On,-459.67,29.96,10/20/2015,Yes,790.18,178.14,189.11,20.40,4.201,20.00,9975.8,10590,Grain Harvest,2010385416,CORN
-86.19786850,40.95805741,AULT,MONT,SOUTH MUCK30,,On,-459.67,27.13,10/20/2015,Yes,790.12,162.36,172.36,20.40,4.174,20.00,9092.3,9652.0,Grain Harvest,2010385416,CORN
-86.19786854,40.95803921,AULT,MONT,SOUTH MUCK30,,On,-459.67,28.14,10/20/2015,Yes,789.99,167.26,178.23,20.70,4.188,20.00,9366.5,9980.7,Grain Harvest,2010385416,CORN
-86.19786867,40.95802042,AULT,MONT,SOUTH MUCK30,,On,-459.67,28.06,10/20/2015,Yes,789.86,166.55,177.47,20.70,4.192,20.00,9326.9,9938.5,Grain Harvest,2010385416,CORN
-86.19786863,40.95800242,AULT,MONT,SOUTH MUCK30,,On,-459.67,28.79,10/20/2015,Yes,789.82,170.22,181.16,20.60,4.214,20.00,9532.5,10145,Grain Harvest,2010385416,CORN
-86.19786879,40.95798393,AULT,MONT,SOUTH MUCK30,,On,-459.67,28.87,10/20/2015,Yes,789.69,172.16,183.91,20.90,4.163,20.00,9641.1,10299,Grain Harvest,2010385416,CORN
-86.19786930,40.95796502,AULT,MONT,SOUTH MUCK30,,On,-459.67,29.61,10/20/2015,Yes,789.58,174.92,187.10,21.00,4.196,20.00,9795.6,10478,Grain Harvest,2010385416,CORN
-86.19786954,40.95794674,AULT,MONT,SOUTH MUCK30,,On,-459.67,28.53,10/20/2015,Yes,789.50,169.07,180.84,21.00,4.183,20.00,9468.0,10127,Grain Harvest,2010385416,CORN
-86.19786989,40.95792837,AULT,MONT,SOUTH MUCK30,,On,-459.67,26.08,10/20/2015,Yes,789.43,155.64,165.85,20.70,4.170,20.00,8716.0,9287.5,Grain Harvest,2010385416,CORN
-86.19786970,40.95791038,AULT,MONT,SOUTH MUCK30,,On,-459.67,24.87,10/20/2015,Yes,789.37,147.21,156.47,20.50,4.214,20.00,8243.8,8762.3,Grain Harvest,2010385416,CORN
-86.19786873,40.95789198,AULT,MONT,SOUTH MUCK30,,On,-459.67,20.84,10/20/2015,Yes,789.33,124.86,133.05,20.70,4.154,20.00,6992.2,7450.7,Grain Harvest,2010385416,CORN
-86.19786795,40.95787385,AULT,MONT,SOUTH MUCK30,,On,-459.67,18.51,10/20/2015,Yes,789.10,108.85,117.47,21.70,4.179,20.00,6095.4,6578.0,Grain Harvest,2010385416,CORN
-86.19786771,40.95785553,AULT,MONT,SOUTH MUCK30,,On,-459.67,16.74,10/20/2015,Yes,789.07,98.42,106.62,22.00,4.163,20.00,5511.5,5970.8,Grain Harvest,2010385416,CORN
-86.19786775,40.95783741,AULT,MONT,SOUTH MUCK30,,On,-459.67,15.48,10/20/2015,Yes,789.07,92.24,98.79,21.10,4.156,20.00,5165.4,5532.0,Grain Harvest,2010385416,CORN
-86.19786799,40.95781912,AULT,MONT,SOUTH MUCK30,,On,-459.67,11.99,10/20/2015,Yes,789.05,72.07,76.70,20.60,4.145,20.00,4035.8,4295.0,Grain Harvest,2010385416,CORN
-86.19786832,40.95780070,AULT,MONT,SOUTH MUCK30,,On,-459.67,8.518,10/20/2015,Yes,788.99,50.71,54.17,20.90,4.170,20.00,2839.7,3033.6,Grain Harvest,2010385416,CORN
-86.19786851,40.95778236,AULT,MONT,SOUTH MUCK30,,On,-459.67,7.781,10/20/2015,Yes,788.89,46.21,49.43,21.00,4.174,20.00,2587.9,2768.1,Grain Harvest,2010385416,CORN
-86.19786872,40.95776327,AULT,MONT,SOUTH MUCK30,,On,-459.67,7.891,10/20/2015,Yes,788.87,45.80,48.75,20.60,4.293,20.00,2565.0,2729.8,Grain Harvest,2010385416,CORN
-86.19786883,40.95774209,AULT,MONT,SOUTH MUCK30,,On,-459.67,7.391,10/20/2015,Yes,789.05,40.32,42.80,20.40,4.579,20.00,2258.0,2397.0,Grain Harvest,2010385416,CORN
-86.19786918,40.95772181,AULT,MONT,SOUTH MUCK30,,On,-459.67,5.838,10/20/2015,Yes,789.03,31.64,33.68,20.60,4.597,20.00,1772.1,1885.9,Grain Harvest,2010385416,CORN
-86.19786891,40.95770106,AULT,MONT,SOUTH MUCK30,,On,-459.67,3.838,10/20/2015,Yes,788.88,20.83,22.23,20.80,4.579,20.00,1166.6,1244.6,Grain Harvest,2010385416,CORN
-86.19786907,40.95768131,AULT,MONT,SOUTH MUCK30,,On,-459.67,4.163,10/20/2015,Yes,788.91,22.45,23.95,20.80,4.610,20.00,1256.9,1341.0,Grain Harvest,2010385416,CORN
-86.19786872,40.95766144,AULT,MONT,SOUTH MUCK30,,On,-459.67,3.171,10/20/2015,Yes,788.80,17.30,18.44,20.70,4.561,20.00,968.85,1032.4,Grain Harvest,2010385416,CORN
-86.19786801,40.95764100,AULT,MONT,SOUTH MUCK30,,On,-459.67,2.627,10/20/2015,Yes,788.65,14.44,15.23,19.90,4.575,20.00,808.53,852.94,Grain Harvest,2010385416,CORN
-86.19786781,40.95762072,AULT,MONT,SOUTH MUCK30,,On,-459.67,2.662,10/20/2015,Yes,788.58,14.41,15.26,20.20,4.626,20.00,806.92,854.45,Grain Harvest,2010385416,CORN
-86.19786831,40.95760015,AULT,MONT,SOUTH MUCK30,,On,-459.67,2.451,10/20/2015,Yes,788.62,12.86,13.69,20.60,4.749,20.00,720.29,766.55,Grain Harvest,2010385416,CORN
-86.19786921,40.95757975,AULT,MONT,SOUTH MUCK30,,On,-459.67,2.224,10/20/2015,Yes,788.71,11.78,12.59,20.90,4.684,20.00,659.92,704.97,Grain Harvest,2010385416,CORN
-86.19788506,40.95718639,AULT,MONT,SOUTH MUCK30,,On,-459.67,2.986,10/20/2015,Yes,788.87,15.71,16.72,20.60,4.736,20.00,879.99,936.51,Grain Harvest,2010385416,CORN
-86.19788528,40.95716580,AULT,MONT,SOUTH MUCK30,,On,-459.67,3.216,10/20/2015,Yes,788.80,16.89,17.99,20.70,4.740,20.00,945.62,1007.6,Grain Harvest,2010385416,CORN
-86.19788465,40.95714516,AULT,MONT,SOUTH MUCK30,,On,-459.67,4.239,10/20/2015,Yes,788.77,22.07,23.58,20.90,4.767,20.00,1236.1,1320.5,Grain Harvest,2010385416,CORN
-86.19788418,40.95712443,AULT,MONT,SOUTH MUCK30,,On,-459.67,3.118,10/20/2015,Yes,788.68,16.45,17.60,21.00,4.700,20.00,921.21,985.35,Grain Harvest,2010385416,CORN
-86.19788501,40.95710331,AULT,MONT,SOUTH MUCK30,,On,-459.67,3.766,10/20/2015,Yes,788.62,19.72,21.07,20.90,4.740,20.00,1104.3,1179.7,Grain Harvest,2010385416,CORN
-86.19788539,40.95708228,AULT,MONT,SOUTH MUCK30,,On,-459.67,5.582,10/20/2015,Yes,788.60,29.11,31.14,21.00,4.753,20.00,1630.3,1743.8,Grain Harvest,2010385416,CORN
-86.19788528,40.95706178,AULT,MONT,SOUTH MUCK30,,On,-459.67,6.580,10/20/2015,Yes,788.60,34.45,36.90,21.10,4.729,20.00,1929.4,2066.4,Grain Harvest,2010385416,CORN
-86.19788482,40.95704175,AULT,MONT,SOUTH MUCK30,,On,-459.67,10.39,10/20/2015,Yes,788.70,54.79,57.95,20.10,4.753,20.00,3068.4,3245.0,Grain Harvest,2010385416,CORN
-86.19788439,40.95702137,AULT,MONT,SOUTH MUCK30,,On,-459.67,14.51,10/20/2015,Yes,788.85,76.31,81.01,20.40,4.749,20.00,4273.4,4536.5,Grain Harvest,2010385416,CORN
