Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.19764691,40.96729923,AULT,MONT,TREE 5,,On,-459.67,0.391,10/18/2015,Yes,814.82,12.53,12.53,13.00,0.514,30.00,751.90,751.90,Grain Harvest,2010385416,SOYBEANS
-86.19764015,40.96730168,AULT,MONT,TREE 5,,On,-459.67,2.675,10/18/2015,Yes,814.49,42.52,42.52,13.00,1.038,30.00,2551.3,2551.3,Grain Harvest,2010385416,SOYBEANS
-86.19763320,40.96730430,AULT,MONT,TREE 5,,On,-459.67,5.219,10/18/2015,Yes,814.07,74.61,74.61,13.00,1.154,30.00,4476.6,4476.6,Grain Harvest,2010385416,SOYBEANS
-86.19762712,40.96730702,AULT,MONT,TREE 5,,On,-459.67,4.758,10/18/2015,Yes,813.90,68.01,68.01,13.00,1.154,30.00,4080.7,4080.7,Grain Harvest,2010385416,SOYBEANS
-86.19762210,40.96730963,AULT,MONT,TREE 5,,On,-459.67,3.169,10/18/2015,Yes,813.78,47.22,47.22,13.00,1.107,30.00,2833.5,2833.5,Grain Harvest,2010385416,SOYBEANS
-86.19761770,40.96731151,AULT,MONT,TREE 5,,On,-459.67,2.670,10/18/2015,Yes,813.68,52.11,52.11,13.00,0.846,30.00,3126.6,3126.6,Grain Harvest,2010385416,SOYBEANS
-86.19761294,40.96731340,AULT,MONT,TREE 5,,On,-459.67,3.280,10/18/2015,Yes,813.66,51.05,51.05,13.00,1.060,30.00,3063.0,3063.0,Grain Harvest,2010385416,SOYBEANS
-86.19760796,40.96731587,AULT,MONT,TREE 5,,On,-459.67,5.194,10/18/2015,Yes,813.59,70.30,70.30,13.00,1.219,30.00,4218.0,4218.0,Grain Harvest,2010385416,SOYBEANS
-86.19760161,40.96731895,AULT,MONT,TREE 5,,On,-459.67,5.716,10/18/2015,Yes,813.75,64.47,64.47,13.00,1.463,30.00,3868.1,3868.1,Grain Harvest,2010385416,SOYBEANS
-86.19759537,40.96732311,AULT,MONT,TREE 5,,On,-459.67,5.194,10/18/2015,Yes,813.69,52.34,52.34,13.00,1.637,30.00,3140.5,3140.5,Grain Harvest,2010385416,SOYBEANS
-86.19758754,40.96732762,AULT,MONT,TREE 5,,On,-459.67,4.434,10/18/2015,Yes,813.71,40.18,40.18,13.00,1.821,30.00,2410.7,2410.7,Grain Harvest,2010385416,SOYBEANS
-86.19757937,40.96733293,AULT,MONT,TREE 5,,On,-459.67,4.456,10/18/2015,Yes,813.66,38.72,38.72,13.00,1.899,30.00,2322.9,2322.9,Grain Harvest,2010385416,SOYBEANS
-86.19757023,40.96733889,AULT,MONT,TREE 5,,On,-459.67,5.330,10/18/2015,Yes,813.57,43.97,43.97,13.00,2.000,30.00,2638.5,2638.5,Grain Harvest,2010385416,SOYBEANS
-86.19756058,40.96734497,AULT,MONT,TREE 5,,On,-459.67,4.978,10/18/2015,Yes,813.50,38.49,38.49,13.00,2.134,30.00,2309.6,2309.6,Grain Harvest,2010385416,SOYBEANS
-86.19755086,40.96735104,AULT,MONT,TREE 5,,On,-459.67,7.513,10/18/2015,Yes,813.40,57.55,57.55,13.00,2.154,30.00,3452.8,3452.8,Grain Harvest,2010385416,SOYBEANS
-86.19753930,40.96735703,AULT,MONT,TREE 5,,On,-459.67,6.990,10/18/2015,Yes,813.26,48.83,48.83,13.00,2.362,30.00,2929.7,2929.7,Grain Harvest,2010385416,SOYBEANS
-86.19752720,40.96736191,AULT,MONT,TREE 5,,On,-459.67,4.505,10/18/2015,Yes,813.15,31.56,31.56,13.00,2.355,30.00,1893.5,1893.5,Grain Harvest,2010385416,SOYBEANS
-86.19751512,40.96736654,AULT,MONT,TREE 5,,On,-459.67,4.380,10/18/2015,Yes,812.92,30.40,30.40,13.00,2.378,30.00,1823.7,1823.7,Grain Harvest,2010385416,SOYBEANS
-86.19750217,40.96736961,AULT,MONT,TREE 5,,On,-459.67,5.490,10/18/2015,Yes,812.88,36.32,36.32,13.00,2.494,30.00,2179.2,2179.2,Grain Harvest,2010385416,SOYBEANS
-86.19748828,40.96737228,AULT,MONT,TREE 5,,On,-459.67,7.131,10/18/2015,Yes,812.72,47.47,47.47,13.00,2.479,30.00,2848.3,2848.3,Grain Harvest,2010385416,SOYBEANS
-86.19747424,40.96737438,AULT,MONT,TREE 5,,On,-459.67,8.372,10/18/2015,Yes,812.63,55.68,55.68,13.00,2.481,30.00,3341.0,3341.0,Grain Harvest,2010385416,SOYBEANS
-86.19746030,40.96737631,AULT,MONT,TREE 5,,On,-459.67,8.861,10/18/2015,Yes,812.54,58.36,58.36,13.00,2.505,30.00,3501.4,3501.4,Grain Harvest,2010385416,SOYBEANS
-86.19744594,40.96737759,AULT,MONT,TREE 5,,On,-459.67,8.988,10/18/2015,Yes,812.37,58.47,58.47,13.00,2.537,30.00,3508.0,3508.0,Grain Harvest,2010385416,SOYBEANS
-86.19743168,40.96737891,AULT,MONT,TREE 5,,On,-459.67,10.32,10/18/2015,Yes,812.22,67.58,67.58,13.00,2.521,30.00,4054.5,4054.5,Grain Harvest,2010385416,SOYBEANS
-86.19741688,40.96737972,AULT,MONT,TREE 5,,On,-459.67,10.83,10/18/2015,Yes,811.98,70.65,70.65,13.00,2.530,30.00,4239.3,4239.3,Grain Harvest,2010385416,SOYBEANS
-86.19740188,40.96738060,AULT,MONT,TREE 5,,On,-459.67,11.66,10/18/2015,Yes,811.71,76.57,76.57,6.500,2.512,30.00,4594.1,4594.1,Grain Harvest,2010385416,SOYBEANS
-86.19738637,40.96738121,AULT,MONT,TREE 5,,On,-459.67,12.22,10/18/2015,Yes,811.41,78.12,78.12,7.800,2.581,30.00,4687.2,4687.2,Grain Harvest,2010385416,SOYBEANS
-86.19737134,40.96738177,AULT,MONT,TREE 5,,On,-459.67,11.06,10/18/2015,Yes,811.07,72.10,72.10,8.700,2.532,30.00,4325.8,4325.8,Grain Harvest,2010385416,SOYBEANS
-86.19735658,40.96738277,AULT,MONT,TREE 5,,On,-459.67,10.34,10/18/2015,Yes,810.74,65.52,65.52,9.300,2.604,30.00,3931.3,3931.3,Grain Harvest,2010385416,SOYBEANS
