Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Track(deg),Duration(s),Elevation(ft),Time,Area Count,Swth Wdth(ft),Diff Status,Crop Flw(M)(lb/s),Moisture(%),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Work State,Y Offset(ft),Sky Cond,Wind Speed(mph),Wind Dir,Air Temp(°F),Humidity(%),Soil Tex,Soil Cond,Soil Moist,Crop Resid,Nozzle PN,Pass Num,Speed(mph),Prod(ac/h),Crop Flw(V)(bu/h),Date
-86.17221991,40.96849391,CHURCH17,15/07/18-17:58:43,Beans - Dry,1,3.012,88.70,1.000,809.61,10/9/2015,On,25.00,Yes,2.420,13.00,1400.3,23.34,1400.3,23.34,In,0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,2.054,6.223,145.23,10/9/2015
-86.17220858,40.96849389,CHURCH17,15/07/18-17:58:43,Beans - Dry,2,3.222,90.00,1.000,809.69,10/9/2015,On,25.00,Yes,4.112,13.00,2223.6,37.06,2223.6,37.06,In,-0.0036,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,2.197,6.657,246.69,10/9/2015
-86.17219526,40.96849302,CHURCH17,15/07/18-17:58:43,Beans - Dry,3,3.343,95.00,1.000,809.81,10/9/2015,On,25.00,Yes,7.443,13.00,3879.1,64.65,3879.1,64.65,In,-0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,2.279,6.907,446.57,10/9/2015
-86.17218081,40.96849209,CHURCH17,15/07/18-17:58:43,Beans - Dry,4,3.612,94.90,1.000,809.90,10/9/2015,On,25.00,Yes,6.908,13.00,3332.4,55.54,3332.4,55.54,In,-0.0041,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,2.463,7.463,414.50,10/9/2015
-86.17216695,40.96849135,CHURCH17,15/07/18-17:58:43,Beans - Dry,5,3.786,94.10,1.000,810.07,10/9/2015,On,25.00,Yes,7.534,13.00,3467.1,57.79,3467.1,57.79,In,-0.0018,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,2.581,7.822,452.02,10/9/2015
-86.17215250,40.96849028,CHURCH17,15/07/18-17:58:43,Beans - Dry,6,3.885,95.60,1.000,810.14,10/9/2015,On,25.00,Yes,12.36,13.00,5544.4,92.41,5544.4,92.41,In,-0.0041,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,2.649,8.026,741.64,10/9/2015
-86.17213809,40.96848862,CHURCH17,15/07/18-17:58:43,Beans - Dry,7,3.753,98.70,1.000,810.08,10/9/2015,On,25.00,Yes,12.81,13.00,5947.4,99.12,5947.4,99.12,In,0.00046,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,2.559,7.755,768.67,10/9/2015
-86.17212362,40.96848574,CHURCH17,15/07/18-17:58:43,Beans - Dry,8,3.786,104.80,1.000,811.50,10/9/2015,On,25.00,Yes,12.40,13.00,5708.1,95.13,5708.1,95.13,In,-0.0032,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,2.581,7.822,744.18,10/9/2015
-86.17210993,40.96848352,CHURCH17,15/07/18-17:58:43,Beans - Dry,9,3.688,102.10,1.000,811.42,10/9/2015,On,25.00,Yes,11.77,13.00,5561.9,92.70,5561.9,92.70,In,-2.590e-009,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,2.514,7.619,706.28,10/9/2015
-86.17210226,40.96848203,CHURCH17,15/07/18-17:58:43,Beans - Dry,10,2.592,104.40,1.000,811.38,10/9/2015,On,25.00,Yes,8.044,13.00,5407.3,90.12,5407.3,90.12,In,-0.0041,Unknown,0.00,Unknown,-459.67,0.00,None,Unknown,Unknown,Unknown,,4,1.767,5.355,482.61,10/9/2015
