Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.15474196,40.96768012,AULT,CALLOWAY,COONDOG45,,On,-459.67,0.884,11/2/2015,Yes,834.56,12.59,12.59,15.50,1.861,20.00,705.17,705.17,Grain Harvest,203748,CORN
-86.15474720,40.96767510,AULT,CALLOWAY,COONDOG45,,On,-459.67,1.487,11/2/2015,Yes,834.60,24.42,24.42,15.50,1.615,20.00,1367.5,1367.5,Grain Harvest,203748,CORN
-86.15475240,40.96766904,AULT,CALLOWAY,COONDOG45,,On,-459.67,3.936,11/2/2015,Yes,834.75,54.00,54.00,15.50,1.933,20.00,3024.0,3024.0,Grain Harvest,203748,CORN
-86.15475851,40.96766200,AULT,CALLOWAY,COONDOG45,,On,-459.67,6.754,11/2/2015,Yes,834.77,93.21,93.21,15.50,1.922,20.00,5219.5,5219.5,Grain Harvest,203748,CORN
-86.15476510,40.96765568,AULT,CALLOWAY,COONDOG45,,On,-459.67,5.994,11/2/2015,Yes,834.75,80.01,80.01,15.50,1.986,20.00,4480.8,4480.8,Grain Harvest,203748,CORN
-86.15477176,40.96764943,AULT,CALLOWAY,COONDOG45,,On,-459.67,7.787,11/2/2015,Yes,834.84,100.67,100.67,15.50,2.051,20.00,5637.6,5637.6,Grain Harvest,203748,CORN
-86.15477830,40.96764275,AULT,CALLOWAY,COONDOG45,,On,-459.67,9.505,11/2/2015,Yes,834.91,126.60,126.60,15.50,1.991,20.00,7089.5,7089.5,Grain Harvest,203748,CORN
-86.15478430,40.96763618,AULT,CALLOWAY,COONDOG45,,On,-459.67,9.608,11/2/2015,Yes,835.09,128.42,128.42,15.50,1.984,20.00,7191.3,7191.3,Grain Harvest,203748,CORN
-86.15479030,40.96762988,AULT,CALLOWAY,COONDOG45,,On,-459.67,9.231,11/2/2015,Yes,835.22,122.82,122.82,15.50,1.993,20.00,6877.8,6877.8,Grain Harvest,203748,CORN
-86.15479661,40.96762304,AULT,CALLOWAY,COONDOG45,,On,-459.67,8.515,11/2/2015,Yes,835.28,110.44,110.44,15.50,2.045,20.00,6184.4,6184.4,Grain Harvest,203748,CORN
-86.15480241,40.96761665,AULT,CALLOWAY,COONDOG45,,On,-459.67,10.41,11/2/2015,Yes,835.38,138.38,138.38,15.50,1.995,20.00,7749.2,7749.2,Grain Harvest,203748,CORN
-86.15480833,40.96761033,AULT,CALLOWAY,COONDOG45,,On,-459.67,8.881,11/2/2015,Yes,835.58,118.83,118.83,15.50,1.982,20.00,6654.4,6654.4,Grain Harvest,203748,CORN
-86.15481442,40.96760389,AULT,CALLOWAY,COONDOG45,,On,-459.67,11.71,11/2/2015,Yes,835.48,166.47,166.47,15.50,1.866,20.00,9322.1,9322.1,Grain Harvest,203748,CORN
-86.15481427,40.96760415,AULT,CALLOWAY,COONDOG45,,On,-459.67,5.786,11/2/2015,Yes,835.38,95.00,95.00,15.50,1.615,20.00,5319.9,5319.9,Grain Harvest,203748,CORN
-86.15483253,40.96763058,AULT,CALLOWAY,COONDOG45,,On,-459.67,3.396,11/2/2015,Yes,836.18,104.63,104.63,6.200,2.295,7.500,5859.4,5859.4,Grain Harvest,203748,CORN
-86.15484294,40.96762592,AULT,CALLOWAY,COONDOG45,,On,-459.67,7.162,11/2/2015,Yes,836.19,170.14,170.14,6.700,2.232,10.00,9527.8,9527.8,Grain Harvest,203748,CORN
-86.15485282,40.96762177,AULT,CALLOWAY,COONDOG45,,On,-459.67,9.657,11/2/2015,Yes,836.34,120.89,120.89,7.800,2.118,20.00,6769.9,6769.9,Grain Harvest,203748,CORN
-86.15486322,40.96761754,AULT,CALLOWAY,COONDOG45,,On,-459.67,8.351,11/2/2015,Yes,836.47,98.90,98.90,8.900,2.239,20.00,5538.6,5538.6,Grain Harvest,203748,CORN
-86.15487297,40.96761383,AULT,CALLOWAY,COONDOG45,,On,-459.67,6.815,11/2/2015,Yes,836.71,83.29,83.29,9.400,2.170,20.00,4664.0,4664.0,Grain Harvest,203748,CORN
-86.15488160,40.96761092,AULT,CALLOWAY,COONDOG45,,On,-459.67,7.417,11/2/2015,Yes,836.87,117.54,117.54,9.900,1.673,20.00,6582.4,6582.4,Grain Harvest,203748,CORN
-86.15488578,40.96760938,AULT,CALLOWAY,COONDOG45,,On,-459.67,9.343,11/2/2015,Yes,836.91,330.63,330.63,10.80,0.749,20.00,18515,18515,Grain Harvest,203748,CORN
-86.15488190,40.96764556,AULT,CALLOWAY,COONDOG45,,On,-459.67,13.83,11/2/2015,Yes,836.97,173.26,173.26,15.30,2.116,20.00,9702.3,9702.3,Grain Harvest,203748,CORN
-86.15489234,40.96764795,AULT,CALLOWAY,COONDOG45,,On,-459.67,12.09,11/2/2015,Yes,837.10,154.18,156.40,16.70,2.049,20.00,8634.0,8758.4,Grain Harvest,203748,CORN
-86.15490322,40.96764975,AULT,CALLOWAY,COONDOG45,,On,-459.67,12.28,11/2/2015,Yes,837.23,154.99,158.75,17.50,2.051,20.00,8679.6,8890.0,Grain Harvest,203748,CORN
-86.15491469,40.96765074,AULT,CALLOWAY,COONDOG45,,On,-459.67,13.74,11/2/2015,Yes,837.36,167.02,172.53,18.20,2.112,20.00,9353.0,9661.7,Grain Harvest,203748,CORN
-86.15492811,40.96765166,AULT,CALLOWAY,COONDOG45,,On,-459.67,17.78,11/2/2015,Yes,837.49,178.52,185.09,18.50,2.548,20.00,9997.1,10365,Grain Harvest,203748,CORN
-86.15494411,40.96765251,AULT,CALLOWAY,COONDOG45,,On,-459.67,15.08,11/2/2015,Yes,837.65,126.78,131.61,18.60,3.038,20.00,7099.9,7370.3,Grain Harvest,203748,CORN
-86.15496434,40.96765362,AULT,CALLOWAY,COONDOG45,,On,-459.67,20.64,11/2/2015,Yes,837.65,138.68,143.96,18.60,3.803,20.00,7765.9,8061.6,Grain Harvest,203748,CORN
-86.15498365,40.96765415,AULT,CALLOWAY,COONDOG45,,On,-459.67,18.63,11/2/2015,Yes,837.86,132.27,137.31,18.60,3.597,20.00,7407.4,7689.5,Grain Harvest,203748,CORN
-86.15500535,40.96765499,AULT,CALLOWAY,COONDOG45,,On,-459.67,19.60,11/2/2015,Yes,838.01,126.17,129.07,17.40,4.026,20.00,7065.4,7227.9,Grain Harvest,203748,CORN
-86.15502840,40.96765523,AULT,CALLOWAY,COONDOG45,,On,-459.67,19.67,11/2/2015,Yes,838.45,119.64,121.36,16.70,4.297,20.00,6699.6,6796.1,Grain Harvest,203748,CORN
-86.15505326,40.96765529,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.89,11/2/2015,Yes,838.76,155.18,158.18,17.10,4.675,20.00,8690.1,8857.8,Grain Harvest,203748,CORN
-86.15508026,40.96765515,AULT,CALLOWAY,COONDOG45,,On,-459.67,21.55,11/2/2015,Yes,839.08,113.23,115.56,17.20,4.946,20.00,6341.1,6471.3,Grain Harvest,203748,CORN
-86.15510688,40.96765553,AULT,CALLOWAY,COONDOG45,,On,-459.67,26.95,11/2/2015,Yes,839.21,144.61,147.04,16.90,4.861,20.00,8098.0,8234.5,Grain Harvest,203748,CORN
-86.15513335,40.96765567,AULT,CALLOWAY,COONDOG45,,On,-459.67,25.00,11/2/2015,Yes,839.50,129.34,131.84,17.10,5.029,20.00,7243.1,7382.9,Grain Harvest,203748,CORN
-86.15516003,40.96765568,AULT,CALLOWAY,COONDOG45,,On,-459.67,28.11,11/2/2015,Yes,839.69,144.66,147.99,17.40,5.038,20.00,8101.0,8287.4,Grain Harvest,203748,CORN
-86.15518679,40.96765570,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.82,11/2/2015,Yes,839.87,144.27,147.05,17.10,5.017,20.00,8079.0,8234.9,Grain Harvest,203748,CORN
-86.15521328,40.96765577,AULT,CALLOWAY,COONDOG45,,On,-459.67,33.27,11/2/2015,Yes,840.04,172.17,175.28,17.00,5.033,20.00,9641.4,9815.6,Grain Harvest,203748,CORN
-86.15524024,40.96765553,AULT,CALLOWAY,COONDOG45,,On,-459.67,30.71,11/2/2015,Yes,840.16,157.65,161.67,17.60,5.038,20.00,8828.5,9053.5,Grain Harvest,203748,CORN
-86.15526677,40.96765526,AULT,CALLOWAY,COONDOG45,,On,-459.67,25.33,11/2/2015,Yes,840.26,129.73,133.36,17.80,5.038,20.00,7264.7,7468.0,Grain Harvest,203748,CORN
-86.15529374,40.96765507,AULT,CALLOWAY,COONDOG45,,On,-459.67,30.99,11/2/2015,Yes,839.98,159.52,163.59,17.60,5.024,20.00,8933.1,9160.8,Grain Harvest,203748,CORN
-86.15532084,40.96765501,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.57,11/2/2015,Yes,839.87,139.82,143.03,17.40,5.111,20.00,7829.8,8009.9,Grain Harvest,203748,CORN
-86.15534767,40.96765484,AULT,CALLOWAY,COONDOG45,,On,-459.67,31.16,11/2/2015,Yes,839.67,162.33,166.26,17.50,4.970,20.00,9090.3,9310.6,Grain Harvest,203748,CORN
-86.15537464,40.96765465,AULT,CALLOWAY,COONDOG45,,On,-459.67,30.14,11/2/2015,Yes,839.57,157.24,161.25,17.60,4.957,20.00,8805.7,9030.1,Grain Harvest,203748,CORN
-86.15540173,40.96765433,AULT,CALLOWAY,COONDOG45,,On,-459.67,32.05,11/2/2015,Yes,839.35,168.82,172.92,17.50,4.915,20.00,9454.1,9683.3,Grain Harvest,203748,CORN
-86.15542848,40.96765413,AULT,CALLOWAY,COONDOG45,,On,-459.67,30.33,11/2/2015,Yes,839.27,160.22,163.51,17.20,4.919,20.00,8972.2,9156.4,Grain Harvest,203748,CORN
-86.15545504,40.96765402,AULT,CALLOWAY,COONDOG45,,On,-459.67,32.66,11/2/2015,Yes,839.20,164.12,167.89,17.40,5.158,20.00,9190.5,9401.9,Grain Harvest,203748,CORN
-86.15548169,40.96765393,AULT,CALLOWAY,COONDOG45,,On,-459.67,31.79,11/2/2015,Yes,839.20,165.43,170.06,17.80,4.957,20.00,9264.2,9523.5,Grain Harvest,203748,CORN
-86.15550830,40.96765403,AULT,CALLOWAY,COONDOG45,,On,-459.67,29.64,11/2/2015,Yes,839.18,153.48,157.78,17.80,4.982,20.00,8595.0,8835.5,Grain Harvest,203748,CORN
-86.15553493,40.96765386,AULT,CALLOWAY,COONDOG45,,On,-459.67,33.54,11/2/2015,Yes,839.21,173.16,176.71,17.20,5.033,20.00,9696.7,9895.8,Grain Harvest,203748,CORN
-86.15556140,40.96765365,AULT,CALLOWAY,COONDOG45,,On,-459.67,29.40,11/2/2015,Yes,839.19,156.20,159.02,17.00,4.903,20.00,8747.3,8905.4,Grain Harvest,203748,CORN
-86.15558866,40.96765355,AULT,CALLOWAY,COONDOG45,,On,-459.67,32.73,11/2/2015,Yes,839.10,168.12,171.78,17.30,5.053,20.00,9414.7,9619.6,Grain Harvest,203748,CORN
-86.15561480,40.96765377,AULT,CALLOWAY,COONDOG45,,On,-459.67,32.34,11/2/2015,Yes,839.08,166.80,171.05,17.60,5.013,20.00,9340.9,9578.9,Grain Harvest,203748,CORN
-86.15564153,40.96765375,AULT,CALLOWAY,COONDOG45,,On,-459.67,35.10,11/2/2015,Yes,839.12,190.86,194.54,17.10,4.785,20.00,10688,10894,Grain Harvest,203748,CORN
-86.15566812,40.96765346,AULT,CALLOWAY,COONDOG45,,On,-459.67,29.42,11/2/2015,Yes,839.16,151.49,154.41,17.10,5.053,20.00,8483.3,8647.0,Grain Harvest,203748,CORN
-86.15569453,40.96765329,AULT,CALLOWAY,COONDOG45,,On,-459.67,33.69,11/2/2015,Yes,839.07,179.29,182.97,17.20,4.883,20.00,10040,10246,Grain Harvest,203748,CORN
-86.15572054,40.96765290,AULT,CALLOWAY,COONDOG45,,On,-459.67,30.53,11/2/2015,Yes,839.19,161.42,165.13,17.40,4.903,20.00,9039.5,9247.4,Grain Harvest,203748,CORN
-86.15574705,40.96765290,AULT,CALLOWAY,COONDOG45,,On,-459.67,28.77,11/2/2015,Yes,839.19,147.76,150.98,17.30,5.053,20.00,8274.8,8454.9,Grain Harvest,203748,CORN
-86.15577333,40.96765266,AULT,CALLOWAY,COONDOG45,,On,-459.67,30.61,11/2/2015,Yes,839.26,161.07,163.59,16.80,4.962,20.00,9020.1,9161.1,Grain Harvest,203748,CORN
-86.15579938,40.96765192,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.58,11/2/2015,Yes,839.84,147.80,150.47,17.00,4.861,20.00,8276.9,8426.5,Grain Harvest,203748,CORN
-86.15582474,40.96765162,AULT,CALLOWAY,COONDOG45,,On,-459.67,32.80,11/2/2015,Yes,840.45,175.44,179.26,17.30,4.852,20.00,9824.5,10038,Grain Harvest,203748,CORN
-86.15585071,40.96765167,AULT,CALLOWAY,COONDOG45,,On,-459.67,30.09,11/2/2015,Yes,840.72,157.22,160.84,17.40,4.962,20.00,8804.3,9006.9,Grain Harvest,203748,CORN
-86.15587679,40.96765146,AULT,CALLOWAY,COONDOG45,,On,-459.67,32.56,11/2/2015,Yes,841.10,174.97,178.13,17.00,4.847,20.00,9798.4,9975.5,Grain Harvest,203748,CORN
-86.15590292,40.96765152,AULT,CALLOWAY,COONDOG45,,On,-459.67,28.32,11/2/2015,Yes,841.32,149.29,151.07,16.50,4.970,20.00,8360.1,8460.2,Grain Harvest,203748,CORN
-86.15592923,40.96765146,AULT,CALLOWAY,COONDOG45,,On,-459.67,32.01,11/2/2015,Yes,841.62,170.94,173.82,16.90,4.883,20.00,9572.8,9734.1,Grain Harvest,203748,CORN
-86.15595539,40.96765080,AULT,CALLOWAY,COONDOG45,,On,-459.67,31.44,11/2/2015,Yes,841.79,164.80,167.57,16.90,4.975,20.00,9228.7,9384.2,Grain Harvest,203748,CORN
-86.15598132,40.96764998,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.93,11/2/2015,Yes,842.08,148.45,150.41,16.60,4.923,20.00,8313.4,8423.0,Grain Harvest,203748,CORN
-86.15600821,40.96764985,AULT,CALLOWAY,COONDOG45,,On,-459.67,31.07,11/2/2015,Yes,841.88,166.49,168.49,16.50,4.890,20.00,9323.5,9435.2,Grain Harvest,203748,CORN
-86.15603488,40.96764996,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.04,11/2/2015,Yes,841.57,142.77,145.52,17.10,4.928,20.00,7994.9,8149.2,Grain Harvest,203748,CORN
-86.15606142,40.96765024,AULT,CALLOWAY,COONDOG45,,On,-459.67,32.19,11/2/2015,Yes,841.43,170.61,174.11,17.20,4.903,20.00,9554.1,9750.2,Grain Harvest,203748,CORN
-86.15608788,40.96764994,AULT,CALLOWAY,COONDOG45,,On,-459.67,31.03,11/2/2015,Yes,841.81,165.32,168.11,16.90,4.894,20.00,9258.0,9414.0,Grain Harvest,203748,CORN
-86.15611436,40.96765010,AULT,CALLOWAY,COONDOG45,,On,-459.67,33.68,11/2/2015,Yes,842.00,176.54,179.51,16.90,4.975,20.00,9886.0,10053,Grain Harvest,203748,CORN
-86.15614131,40.96765005,AULT,CALLOWAY,COONDOG45,,On,-459.67,30.70,11/2/2015,Yes,842.12,164.17,167.95,17.40,4.847,20.00,9193.6,9405.1,Grain Harvest,203748,CORN
-86.15616820,40.96764997,AULT,CALLOWAY,COONDOG45,,On,-459.67,36.09,11/2/2015,Yes,841.97,186.58,191.33,17.60,5.003,20.00,10448,10715,Grain Harvest,203748,CORN
-86.15619542,40.96765017,AULT,CALLOWAY,COONDOG45,,On,-459.67,34.03,11/2/2015,Yes,841.59,174.50,177.87,17.10,5.073,20.00,9771.8,9960.4,Grain Harvest,203748,CORN
-86.15622267,40.96765003,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.45,11/2/2015,Yes,841.33,140.24,142.95,17.10,5.091,20.00,7853.6,8005.1,Grain Harvest,203748,CORN
-86.15624999,40.96764975,AULT,CALLOWAY,COONDOG45,,On,-459.67,32.45,11/2/2015,Yes,840.96,165.01,169.01,17.50,5.091,20.00,9240.7,9464.7,Grain Harvest,203748,CORN
-86.15627731,40.96764942,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.73,11/2/2015,Yes,840.71,138.76,142.30,17.60,5.167,20.00,7770.8,7968.8,Grain Harvest,203748,CORN
-86.15630481,40.96764890,AULT,CALLOWAY,COONDOG45,,On,-459.67,29.69,11/2/2015,Yes,840.32,151.59,154.52,17.10,5.096,20.00,8489.2,8653.1,Grain Harvest,203748,CORN
-86.15633174,40.96764823,AULT,CALLOWAY,COONDOG45,,On,-459.67,25.61,11/2/2015,Yes,840.19,131.42,133.16,16.60,5.100,20.00,7359.7,7456.7,Grain Harvest,203748,CORN
-86.15635883,40.96764753,AULT,CALLOWAY,COONDOG45,,On,-459.67,29.22,11/2/2015,Yes,839.96,149.93,152.64,17.00,5.076,20.00,8396.0,8547.8,Grain Harvest,203748,CORN
-86.15638597,40.96764711,AULT,CALLOWAY,COONDOG45,,On,-459.67,26.17,11/2/2015,Yes,839.78,133.19,135.76,17.10,5.111,20.00,7458.5,7602.4,Grain Harvest,203748,CORN
-86.15641342,40.96764664,AULT,CALLOWAY,COONDOG45,,On,-459.67,26.85,11/2/2015,Yes,839.46,137.22,139.87,17.10,5.091,20.00,7684.3,7832.6,Grain Harvest,203748,CORN
-86.15644114,40.96764628,AULT,CALLOWAY,COONDOG45,,On,-459.67,33.43,11/2/2015,Yes,839.19,169.19,171.83,16.80,5.158,20.00,9474.6,9622.7,Grain Harvest,203748,CORN
-86.15646807,40.96764607,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.07,11/2/2015,Yes,839.11,138.81,140.64,16.60,5.105,20.00,7773.2,7875.7,Grain Harvest,203748,CORN
-86.15649482,40.96764579,AULT,CALLOWAY,COONDOG45,,On,-459.67,27.78,11/2/2015,Yes,839.25,144.28,147.06,17.10,5.009,20.00,8079.7,8235.6,Grain Harvest,203748,CORN
-86.15652094,40.96764506,AULT,CALLOWAY,COONDOG45,,On,-459.67,23.01,11/2/2015,Yes,839.72,117.18,119.29,17.00,5.116,20.00,6561.8,6680.4,Grain Harvest,203748,CORN
-86.15654768,40.96764445,AULT,CALLOWAY,COONDOG45,,On,-459.67,28.16,11/2/2015,Yes,839.94,147.26,149.21,16.60,5.004,20.00,8246.8,8355.5,Grain Harvest,203748,CORN
-86.15657385,40.96764368,AULT,CALLOWAY,COONDOG45,,On,-459.67,22.24,11/2/2015,Yes,840.30,113.65,115.29,16.70,5.116,20.00,6364.5,6456.2,Grain Harvest,203748,CORN
