Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.14029462,40.90971608,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,1.062,10/25/2015,Yes,815.94,20.51,20.51,15.50,1.373,20.00,1148.3,1148.3,Grain Harvest,203748,CORN
-86.14029446,40.90972122,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,1.467,10/25/2015,Yes,816.03,28.55,28.55,15.50,1.362,20.00,1598.8,1598.8,Grain Harvest,203748,CORN
-86.14029459,40.90972720,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,4.018,10/25/2015,Yes,816.09,77.70,77.70,15.50,1.371,20.00,4351.3,4351.3,Grain Harvest,203748,CORN
-86.14029458,40.90973403,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,7.508,10/25/2015,Yes,816.05,123.45,123.45,15.50,1.613,20.00,6913.4,6913.4,Grain Harvest,203748,CORN
-86.14029410,40.90974072,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,7.273,10/25/2015,Yes,816.14,115.27,115.27,15.50,1.673,20.00,6455.2,6455.2,Grain Harvest,203748,CORN
-86.14029320,40.90974851,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,8.214,10/25/2015,Yes,816.20,116.34,116.34,15.50,1.872,20.00,6514.8,6514.8,Grain Harvest,203748,CORN
-86.14029235,40.90975676,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,7.208,10/25/2015,Yes,816.29,93.69,93.69,15.50,2.040,20.00,5246.6,5246.6,Grain Harvest,203748,CORN
-86.14029146,40.90976560,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,9.362,10/25/2015,Yes,816.35,113.72,113.72,15.50,2.183,20.00,6368.1,6368.1,Grain Harvest,203748,CORN
-86.14029075,40.90977404,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,8.843,10/25/2015,Yes,816.44,111.28,111.28,15.50,2.107,20.00,6231.8,6231.8,Grain Harvest,203748,CORN
-86.14028950,40.90978361,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,13.97,10/25/2015,Yes,816.43,160.90,160.90,15.50,2.302,20.00,9010.1,9010.1,Grain Harvest,203748,CORN
-86.14028821,40.90979346,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,15.29,10/25/2015,Yes,816.41,175.81,175.81,15.50,2.306,20.00,9845.3,9845.3,Grain Harvest,203748,CORN
-86.14028698,40.90980328,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,14.19,10/25/2015,Yes,816.55,151.71,151.71,15.50,2.481,20.00,8495.9,8495.9,Grain Harvest,203748,CORN
-86.14028599,40.90981419,AULT,CALLOWAY,DEEDSVILLE NORTH63,,On,-459.67,15.42,10/25/2015,Yes,816.65,157.13,157.13,15.50,2.602,20.00,8799.4,8799.4,Grain Harvest,203748,CORN
