Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.18809916,40.98212454,AULT,HOME,BACK LANE44,,On,-459.67,1.470,9/28/2015,Yes,807.96,18.04,18.04,15.50,2.161,20.00,1010.3,1010.3,Grain Harvest,2010385416,CORN
-86.18809829,40.98213406,AULT,HOME,BACK LANE44,,On,-459.67,3.366,9/28/2015,Yes,807.99,41.44,41.44,15.50,2.154,20.00,2320.7,2320.7,Grain Harvest,2010385416,CORN
-86.18809784,40.98214649,AULT,HOME,BACK LANE44,,On,-459.67,4.035,9/28/2015,Yes,807.85,41.23,41.23,15.50,2.595,20.00,2308.9,2308.9,Grain Harvest,2010385416,CORN
-86.18809789,40.98215743,AULT,HOME,BACK LANE44,,On,-459.67,4.578,9/28/2015,Yes,807.86,45.49,45.49,15.50,2.669,20.00,2547.6,2547.6,Grain Harvest,2010385416,CORN
-86.18809759,40.98217077,AULT,HOME,BACK LANE44,,On,-459.67,5.855,9/28/2015,Yes,807.89,52.15,52.15,15.50,2.977,20.00,2920.5,2920.5,Grain Harvest,2010385416,CORN
-86.18809700,40.98218321,AULT,HOME,BACK LANE44,,On,-459.67,6.646,9/28/2015,Yes,807.84,60.23,60.23,15.50,2.926,20.00,3373.1,3373.1,Grain Harvest,2010385416,CORN
-86.18809521,40.98219563,AULT,HOME,BACK LANE44,,On,-459.67,9.822,9/28/2015,Yes,807.93,89.02,89.02,15.50,2.926,20.00,4985.2,4985.2,Grain Harvest,2010385416,CORN
-86.18809376,40.98220804,AULT,HOME,BACK LANE44,,On,-459.67,11.47,9/28/2015,Yes,808.02,103.43,103.43,15.50,2.942,20.00,5792.3,5792.3,Grain Harvest,2010385416,CORN
-86.18809232,40.98222080,AULT,HOME,BACK LANE44,,On,-459.67,13.04,9/28/2015,Yes,807.98,118.44,118.44,15.50,2.919,20.00,6632.6,6632.6,Grain Harvest,2010385416,CORN
-86.18809042,40.98223397,AULT,HOME,BACK LANE44,,On,-459.67,14.98,9/28/2015,Yes,808.04,133.35,133.35,15.50,2.980,20.00,7467.5,7467.5,Grain Harvest,2010385416,CORN
-86.18808793,40.98224867,AULT,HOME,BACK LANE44,,On,-459.67,13.80,9/28/2015,Yes,808.04,110.39,110.39,15.50,3.315,20.00,6181.8,6181.8,Grain Harvest,2010385416,CORN
-86.18808562,40.98226265,AULT,HOME,BACK LANE44,,On,-459.67,14.58,9/28/2015,Yes,808.11,116.05,116.05,9.800,3.331,20.00,6498.7,6498.7,Grain Harvest,2010385416,CORN
-86.18808325,40.98227668,AULT,HOME,BACK LANE44,,On,-459.67,15.07,9/28/2015,Yes,808.16,121.74,121.74,15.00,3.282,20.00,6817.6,6817.6,Grain Harvest,2010385416,CORN
-86.18808062,40.98229091,AULT,HOME,BACK LANE44,,On,-459.67,16.98,9/28/2015,Yes,808.18,131.41,136.58,18.70,3.297,20.00,7358.7,7648.3,Grain Harvest,2010385416,CORN
-86.18807855,40.98230517,AULT,HOME,BACK LANE44,,On,-459.67,17.51,9/28/2015,Yes,808.19,133.15,139.77,19.50,3.322,20.00,7456.4,7826.9,Grain Harvest,2010385416,CORN
-86.18807661,40.98231904,AULT,HOME,BACK LANE44,,On,-459.67,20.74,9/28/2015,Yes,808.18,159.51,167.22,19.40,3.288,20.00,8932.3,9364.5,Grain Harvest,2010385416,CORN
-86.18807502,40.98233321,AULT,HOME,BACK LANE44,,On,-459.67,25.01,9/28/2015,Yes,808.27,192.27,200.08,18.80,3.315,20.00,10767,11204,Grain Harvest,2010385416,CORN
