Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.17708099,40.84697710,AULT,IRA BELL60,ALL60,,On,-459.67,0.897,10/23/2015,Yes,791.14,11.27,11.27,15.50,2.112,20.00,631.15,631.15,Grain Harvest,203748,CORN
-86.17705300,40.84696090,AULT,IRA BELL60,ALL60,,On,-459.67,1.083,10/23/2015,Yes,791.05,10.28,10.28,15.50,2.794,20.00,575.45,575.45,Grain Harvest,203748,CORN
-86.17704338,40.84695488,AULT,IRA BELL60,ALL60,,On,-459.67,4.066,10/23/2015,Yes,791.13,44.51,44.51,15.50,2.423,20.00,2492.4,2492.4,Grain Harvest,203748,CORN
-86.17703286,40.84694741,AULT,IRA BELL60,ALL60,,On,-459.67,12.59,10/23/2015,Yes,791.12,122.27,122.27,15.50,2.731,20.00,6847.4,6847.4,Grain Harvest,203748,CORN
-86.17702301,40.84693956,AULT,IRA BELL60,ALL60,,On,-459.67,10.11,10/23/2015,Yes,791.07,100.14,100.14,15.50,2.678,20.00,5607.9,5607.9,Grain Harvest,203748,CORN
-86.17701346,40.84693167,AULT,IRA BELL60,ALL60,,On,-459.67,8.291,10/23/2015,Yes,791.07,82.31,82.31,15.50,2.671,20.00,4609.5,4609.5,Grain Harvest,203748,CORN
-86.17700415,40.84692390,AULT,IRA BELL60,ALL60,,On,-459.67,7.410,10/23/2015,Yes,791.11,75.21,75.21,15.50,2.613,20.00,4211.7,4211.7,Grain Harvest,203748,CORN
-86.17699859,40.84691894,AULT,IRA BELL60,ALL60,,On,-459.67,9.920,10/23/2015,Yes,791.07,193.10,193.10,15.50,1.362,20.00,10814,10814,Grain Harvest,203748,CORN
-86.17700710,40.84692509,AULT,IRA BELL60,ALL60,,On,-459.67,6.475,10/23/2015,Yes,791.02,67.21,67.21,15.50,2.555,20.00,3763.9,3763.9,Grain Harvest,203748,CORN
-86.17701592,40.84693126,AULT,IRA BELL60,ALL60,,On,-459.67,3.202,10/23/2015,Yes,790.94,39.05,39.05,15.50,2.174,20.00,2186.8,2186.8,Grain Harvest,203748,CORN
-86.17704002,40.84694678,AULT,IRA BELL60,ALL60,,On,-459.67,1.378,10/23/2015,Yes,790.67,17.79,17.79,15.50,2.054,20.00,996.19,996.19,Grain Harvest,203748,CORN
-86.17703826,40.84693718,AULT,IRA BELL60,ALL60,,On,-459.67,1.679,10/23/2015,Yes,790.60,19.37,19.37,15.50,2.300,20.00,1084.5,1084.5,Grain Harvest,203748,CORN
-86.17703692,40.84692755,AULT,IRA BELL60,ALL60,,On,-459.67,3.483,10/23/2015,Yes,790.62,38.23,38.23,15.50,2.416,20.00,2141.0,2141.0,Grain Harvest,203748,CORN
-86.17703589,40.84691497,AULT,IRA BELL60,ALL60,,On,-459.67,8.088,10/23/2015,Yes,790.59,68.88,68.88,15.50,3.114,20.00,3857.3,3857.3,Grain Harvest,203748,CORN
-86.17703466,40.84690059,AULT,IRA BELL60,ALL60,,On,-459.67,9.346,10/23/2015,Yes,790.49,68.69,68.69,15.50,3.608,20.00,3846.5,3846.5,Grain Harvest,203748,CORN
-86.17703409,40.84688193,AULT,IRA BELL60,ALL60,,On,-459.67,16.78,10/23/2015,Yes,790.19,101.05,101.05,15.50,4.402,20.00,5658.8,5658.8,Grain Harvest,203748,CORN
-86.17703450,40.84686321,AULT,IRA BELL60,ALL60,,On,-459.67,18.00,10/23/2015,Yes,789.97,104.94,104.94,5.200,4.550,20.00,5876.4,5876.4,Grain Harvest,203748,CORN
-86.17703509,40.84684333,AULT,IRA BELL60,ALL60,,On,-459.67,19.75,10/23/2015,Yes,789.74,107.26,107.26,7.500,4.883,20.00,6006.6,6006.6,Grain Harvest,203748,CORN
