Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.21825939,40.99653249,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,0.829,10/27/2015,Yes,796.95,11.02,11.02,15.50,1.995,20.00,616.90,616.90,Grain Harvest,203748,CORN
-86.21826048,40.99652366,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,5.660,10/27/2015,Yes,796.88,67.23,67.23,15.50,2.232,20.00,3765.0,3765.0,Grain Harvest,203748,CORN
-86.21826201,40.99651247,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,9.089,10/27/2015,Yes,796.69,92.33,92.33,15.50,2.611,20.00,5170.3,5170.3,Grain Harvest,203748,CORN
-86.21826333,40.99650103,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,11.00,10/27/2015,Yes,796.51,106.90,106.90,15.50,2.729,20.00,5986.4,5986.4,Grain Harvest,203748,CORN
-86.21826437,40.99649026,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,10.12,10/27/2015,Yes,796.47,95.56,95.56,15.50,2.807,20.00,5351.6,5351.6,Grain Harvest,203748,CORN
-86.21826553,40.99647801,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,6.918,10/27/2015,Yes,796.36,61.43,61.43,15.50,2.986,20.00,3440.1,3440.1,Grain Harvest,203748,CORN
-86.21826681,40.99646654,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,8.482,10/27/2015,Yes,796.28,75.72,75.72,15.50,2.971,20.00,4240.0,4240.0,Grain Harvest,203748,CORN
-86.21826788,40.99645423,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,9.346,10/27/2015,Yes,796.18,82.87,82.87,15.50,2.991,20.00,4640.5,4640.5,Grain Harvest,203748,CORN
-86.21826844,40.99644229,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,13.80,10/27/2015,Yes,796.12,122.59,122.59,15.50,2.986,20.00,6864.8,6864.8,Grain Harvest,203748,CORN
-86.21826864,40.99643014,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,13.49,10/27/2015,Yes,796.08,120.05,120.05,15.50,2.980,20.00,6722.7,6722.7,Grain Harvest,203748,CORN
-86.21826839,40.99641809,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,12.87,10/27/2015,Yes,796.01,117.04,117.04,15.50,2.917,20.00,6554.3,6554.3,Grain Harvest,203748,CORN
-86.21826875,40.99640771,AULT,LILLIAN,SOUTH MUCKS21,,On,-459.67,17.69,10/27/2015,Yes,795.99,179.89,179.89,15.50,2.608,20.00,10074,10074,Grain Harvest,203748,CORN
