Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.18752201,40.99114166,AULT,LOWE,FREDS MUCK15,,On,-459.67,0.946,10/15/2015,Yes,808.16,10.46,10.46,13.00,1.492,30.00,627.49,627.49,Grain Harvest,2010385416,SOYBEANS
-86.18751409,40.99113221,AULT,LOWE,FREDS MUCK15,,On,-459.67,2.138,10/15/2015,Yes,807.85,15.45,15.45,13.00,2.284,30.00,926.73,926.73,Grain Harvest,2010385416,SOYBEANS
-86.18750813,40.99112305,AULT,LOWE,FREDS MUCK15,,On,-459.67,2.942,10/15/2015,Yes,808.36,18.87,18.87,13.00,2.572,30.00,1132.2,1132.2,Grain Harvest,2010385416,SOYBEANS
-86.18750403,40.99111328,AULT,LOWE,FREDS MUCK15,,On,-459.67,3.040,10/15/2015,Yes,808.38,20.86,20.86,13.00,2.405,30.00,1251.6,1251.6,Grain Harvest,2010385416,SOYBEANS
-86.18749923,40.99110227,AULT,LOWE,FREDS MUCK15,,On,-459.67,4.958,10/15/2015,Yes,807.38,33.77,33.77,13.00,2.423,30.00,2026.3,2026.3,Grain Harvest,2010385416,SOYBEANS
-86.18749703,40.99109202,AULT,LOWE,FREDS MUCK15,,On,-459.67,6.740,10/15/2015,Yes,807.47,45.82,45.82,13.00,2.427,30.00,2749.1,2749.1,Grain Harvest,2010385416,SOYBEANS
-86.18749511,40.99108084,AULT,LOWE,FREDS MUCK15,,On,-459.67,7.173,10/15/2015,Yes,807.19,47.32,47.32,13.00,2.501,30.00,2839.5,2839.5,Grain Harvest,2010385416,SOYBEANS
-86.18749307,40.99106976,AULT,LOWE,FREDS MUCK15,,On,-459.67,7.802,10/15/2015,Yes,806.89,52.13,52.13,13.00,2.470,30.00,3127.8,3127.8,Grain Harvest,2010385416,SOYBEANS
-86.18749086,40.99105591,AULT,LOWE,FREDS MUCK15,,On,-459.67,7.858,10/15/2015,Yes,806.58,44.21,44.21,13.00,2.933,30.00,2652.6,2652.6,Grain Harvest,2010385416,SOYBEANS
-86.18748931,40.99104267,AULT,LOWE,FREDS MUCK15,,On,-459.67,7.734,10/15/2015,Yes,806.61,41.10,41.10,13.00,3.105,30.00,2466.1,2466.1,Grain Harvest,2010385416,SOYBEANS
-86.18748747,40.99102966,AULT,LOWE,FREDS MUCK15,,On,-459.67,7.403,10/15/2015,Yes,806.28,41.68,41.68,13.00,2.930,30.00,2500.9,2500.9,Grain Harvest,2010385416,SOYBEANS
-86.18748680,40.99102173,AULT,LOWE,FREDS MUCK15,,On,-459.67,6.674,10/15/2015,Yes,805.92,47.20,47.20,13.00,2.333,30.00,2832.1,2832.1,Grain Harvest,2010385416,SOYBEANS
-86.18748581,40.99101127,AULT,LOWE,FREDS MUCK15,,On,-459.67,6.880,10/15/2015,Yes,805.88,52.43,52.43,13.00,2.165,30.00,3145.6,3145.6,Grain Harvest,2010385416,SOYBEANS
-86.18748463,40.99099794,AULT,LOWE,FREDS MUCK15,,On,-459.67,7.807,10/15/2015,Yes,805.67,45.27,45.27,6.700,2.845,30.00,2716.4,2716.4,Grain Harvest,2010385416,SOYBEANS
-86.18748351,40.99098549,AULT,LOWE,FREDS MUCK15,,On,-459.67,7.403,10/15/2015,Yes,805.34,42.53,42.53,8.900,2.872,30.00,2551.8,2551.8,Grain Harvest,2010385416,SOYBEANS
-86.18748201,40.99097402,AULT,LOWE,FREDS MUCK15,,On,-459.67,7.573,10/15/2015,Yes,805.16,47.18,47.18,10.60,2.649,30.00,2830.7,2830.7,Grain Harvest,2010385416,SOYBEANS
-86.18748079,40.99096234,AULT,LOWE,FREDS MUCK15,,On,-459.67,9.024,10/15/2015,Yes,805.06,56.55,56.55,12.00,2.633,30.00,3393.1,3393.1,Grain Harvest,2010385416,SOYBEANS
-86.18747959,40.99095081,AULT,LOWE,FREDS MUCK15,,On,-459.67,9.903,10/15/2015,Yes,804.93,62.49,62.49,12.60,2.615,30.00,3749.2,3749.2,Grain Harvest,2010385416,SOYBEANS
-86.18747848,40.99093954,AULT,LOWE,FREDS MUCK15,,On,-459.67,10.06,10/15/2015,Yes,804.68,62.65,62.65,12.70,2.649,30.00,3758.8,3758.8,Grain Harvest,2010385416,SOYBEANS
-86.18747748,40.99092732,AULT,LOWE,FREDS MUCK15,,On,-459.67,10.08,10/15/2015,Yes,804.49,63.60,63.60,12.70,2.615,30.00,3816.3,3816.3,Grain Harvest,2010385416,SOYBEANS
-86.18747667,40.99091595,AULT,LOWE,FREDS MUCK15,,On,-459.67,10.40,10/15/2015,Yes,804.07,64.17,64.17,12.50,2.675,30.00,3849.9,3849.9,Grain Harvest,2010385416,SOYBEANS
-86.18747597,40.99090431,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.36,10/15/2015,Yes,803.90,70.14,70.14,12.60,2.673,30.00,4208.6,4208.6,Grain Harvest,2010385416,SOYBEANS
-86.18747508,40.99089219,AULT,LOWE,FREDS MUCK15,,On,-459.67,10.71,10/15/2015,Yes,803.58,63.23,63.23,12.60,2.794,30.00,3794.1,3794.1,Grain Harvest,2010385416,SOYBEANS
-86.18747452,40.99088028,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.90,10/15/2015,Yes,803.33,70.50,70.50,12.60,2.785,30.00,4229.9,4229.9,Grain Harvest,2010385416,SOYBEANS
-86.18747326,40.99086799,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.54,10/15/2015,Yes,803.26,66.94,66.94,12.60,2.845,30.00,4016.6,4016.6,Grain Harvest,2010385416,SOYBEANS
-86.18747176,40.99085541,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.50,10/15/2015,Yes,803.09,64.84,64.84,12.60,2.926,30.00,3890.3,3890.3,Grain Harvest,2010385416,SOYBEANS
-86.18746960,40.99084294,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.56,10/15/2015,Yes,802.91,70.99,70.99,12.70,2.919,30.00,4259.3,4259.3,Grain Harvest,2010385416,SOYBEANS
-86.18746676,40.99083041,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.94,10/15/2015,Yes,802.84,73.11,73.11,12.70,2.921,30.00,4386.7,4386.7,Grain Harvest,2010385416,SOYBEANS
-86.18746405,40.99081787,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.45,10/15/2015,Yes,802.80,69.53,69.53,12.70,2.955,30.00,4171.7,4171.7,Grain Harvest,2010385416,SOYBEANS
-86.18746131,40.99080544,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.87,10/15/2015,Yes,802.71,66.94,66.94,12.70,2.926,30.00,4016.4,4016.4,Grain Harvest,2010385416,SOYBEANS
-86.18745785,40.99079290,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.55,10/15/2015,Yes,802.73,71.06,71.06,12.70,2.915,30.00,4263.9,4263.9,Grain Harvest,2010385416,SOYBEANS
-86.18745479,40.99078061,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.16,10/15/2015,Yes,802.66,68.92,68.92,12.70,2.910,30.00,4134.9,4134.9,Grain Harvest,2010385416,SOYBEANS
-86.18745153,40.99076803,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.09,10/15/2015,Yes,802.51,68.31,68.31,12.60,2.921,30.00,4098.5,4098.5,Grain Harvest,2010385416,SOYBEANS
-86.18744824,40.99075556,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.77,10/15/2015,Yes,802.40,66.71,66.71,12.60,2.910,30.00,4002.3,4002.3,Grain Harvest,2010385416,SOYBEANS
-86.18744540,40.99074298,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.47,10/15/2015,Yes,802.46,64.48,64.48,12.70,2.935,30.00,3868.7,3868.7,Grain Harvest,2010385416,SOYBEANS
-86.18744240,40.99073002,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.31,10/15/2015,Yes,802.21,63.19,63.19,12.60,2.953,30.00,3791.2,3791.2,Grain Harvest,2010385416,SOYBEANS
-86.18743962,40.99071732,AULT,LOWE,FREDS MUCK15,,On,-459.67,10.66,10/15/2015,Yes,802.16,60.43,60.43,12.60,2.910,30.00,3625.7,3625.7,Grain Harvest,2010385416,SOYBEANS
-86.18743697,40.99070458,AULT,LOWE,FREDS MUCK15,,On,-459.67,10.65,10/15/2015,Yes,802.08,59.99,59.99,12.60,2.928,30.00,3599.4,3599.4,Grain Harvest,2010385416,SOYBEANS
-86.18743430,40.99069169,AULT,LOWE,FREDS MUCK15,,On,-459.67,10.49,10/15/2015,Yes,801.99,59.67,59.67,12.70,2.901,30.00,3580.2,3580.2,Grain Harvest,2010385416,SOYBEANS
-86.18743197,40.99067838,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.10,10/15/2015,Yes,801.92,67.56,67.56,12.70,2.955,30.00,4053.8,4053.8,Grain Harvest,2010385416,SOYBEANS
-86.18743067,40.99066534,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.43,10/15/2015,Yes,801.84,70.27,70.27,12.70,2.919,30.00,4215.9,4215.9,Grain Harvest,2010385416,SOYBEANS
-86.18742906,40.99065121,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.64,10/15/2015,Yes,801.84,66.33,66.33,12.70,3.145,30.00,3979.9,3979.9,Grain Harvest,2010385416,SOYBEANS
-86.18742810,40.99063767,AULT,LOWE,FREDS MUCK15,,On,-459.67,13.15,10/15/2015,Yes,801.83,67.60,67.60,12.70,3.210,30.00,4056.2,4056.2,Grain Harvest,2010385416,SOYBEANS
-86.18742663,40.99062360,AULT,LOWE,FREDS MUCK15,,On,-459.67,13.30,10/15/2015,Yes,801.88,68.38,68.38,12.70,3.210,30.00,4102.9,4102.9,Grain Harvest,2010385416,SOYBEANS
-86.18742493,40.99060961,AULT,LOWE,FREDS MUCK15,,On,-459.67,13.49,10/15/2015,Yes,801.98,70.14,70.14,12.60,3.174,30.00,4208.3,4208.3,Grain Harvest,2010385416,SOYBEANS
-86.18742326,40.99059577,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.68,10/15/2015,Yes,802.01,59.60,59.60,11.60,3.232,30.00,3576.2,3576.2,Grain Harvest,2010385416,SOYBEANS
-86.18742053,40.99058155,AULT,LOWE,FREDS MUCK15,,On,-459.67,10.83,10/15/2015,Yes,802.17,55.58,55.58,11.10,3.217,30.00,3334.6,3334.6,Grain Harvest,2010385416,SOYBEANS
-86.18741805,40.99056789,AULT,LOWE,FREDS MUCK15,,On,-459.67,11.40,10/15/2015,Yes,802.04,59.03,59.03,11.10,3.188,30.00,3541.9,3541.9,Grain Harvest,2010385416,SOYBEANS
-86.18741510,40.99055369,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.32,10/15/2015,Yes,802.02,62.93,62.93,11.30,3.230,30.00,3775.6,3775.6,Grain Harvest,2010385416,SOYBEANS
-86.18741264,40.99053978,AULT,LOWE,FREDS MUCK15,,On,-459.67,13.01,10/15/2015,Yes,801.93,66.34,66.34,11.40,3.237,30.00,3980.5,3980.5,Grain Harvest,2010385416,SOYBEANS
-86.18740995,40.99052601,AULT,LOWE,FREDS MUCK15,,On,-459.67,12.67,10/15/2015,Yes,801.91,65.18,65.18,11.30,3.208,30.00,3910.8,3910.8,Grain Harvest,2010385416,SOYBEANS
