Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.21351922,40.98916244,AULT,SCHALE,WEST MUCKS15,,On,-459.67,2.425,10/15/2015,Yes,790.78,16.88,16.88,13.00,2.371,30.00,1012.7,1012.7,Grain Harvest,2010385416,SOYBEANS
-86.21353369,40.98916474,AULT,SCHALE,WEST MUCKS15,,On,-459.67,4.763,10/15/2015,Yes,790.73,32.08,32.08,13.00,2.449,30.00,1925.0,1925.0,Grain Harvest,2010385416,SOYBEANS
-86.21354690,40.98916639,AULT,SCHALE,WEST MUCKS15,,On,-459.67,6.895,10/15/2015,Yes,790.68,46.88,46.88,13.00,2.427,30.00,2812.5,2812.5,Grain Harvest,2010385416,SOYBEANS
-86.21356087,40.98916766,AULT,SCHALE,WEST MUCKS15,,On,-459.67,5.465,10/15/2015,Yes,790.51,37.64,37.64,13.00,2.396,30.00,2258.4,2258.4,Grain Harvest,2010385416,SOYBEANS
-86.21357441,40.98916826,AULT,SCHALE,WEST MUCKS15,,On,-459.67,4.585,10/15/2015,Yes,790.38,31.91,31.91,13.00,2.371,30.00,1914.4,1914.4,Grain Harvest,2010385416,SOYBEANS
-86.21358830,40.98916852,AULT,SCHALE,WEST MUCKS15,,On,-459.67,5.701,10/15/2015,Yes,790.22,39.75,39.75,13.00,2.367,30.00,2384.8,2384.8,Grain Harvest,2010385416,SOYBEANS
-86.21360190,40.98916817,AULT,SCHALE,WEST MUCKS15,,On,-459.67,10.66,10/15/2015,Yes,790.21,72.96,72.96,13.00,2.411,30.00,4377.5,4377.5,Grain Harvest,2010385416,SOYBEANS
-86.21361658,40.98916721,AULT,SCHALE,WEST MUCKS15,,On,-459.67,13.65,10/15/2015,Yes,790.07,87.47,87.47,13.00,2.575,30.00,5247.9,5247.9,Grain Harvest,2010385416,SOYBEANS
-86.21363225,40.98916562,AULT,SCHALE,WEST MUCKS15,,On,-459.67,14.32,10/15/2015,Yes,789.85,87.67,87.67,13.00,2.696,30.00,5260.1,5260.1,Grain Harvest,2010385416,SOYBEANS
-86.21364836,40.98916395,AULT,SCHALE,WEST MUCKS15,,On,-459.67,13.08,10/15/2015,Yes,789.70,77.11,77.11,13.00,2.798,30.00,4626.6,4626.6,Grain Harvest,2010385416,SOYBEANS
-86.21366407,40.98916242,AULT,SCHALE,WEST MUCKS15,,On,-459.67,12.06,10/15/2015,Yes,789.63,71.56,71.56,13.00,2.781,30.00,4293.5,4293.5,Grain Harvest,2010385416,SOYBEANS
