Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.17077643,40.96397040,AULT,SMITH,SMITH30,,On,-459.67,1.999,10/9/2015,Yes,814.48,19.81,19.81,13.00,1.427,35.00,1188.7,1188.7,Grain Harvest,203748,SOYBEANS
-86.17078306,40.96397006,AULT,SMITH,SMITH30,,On,-459.67,3.336,10/9/2015,Yes,814.48,42.01,42.01,13.00,1.123,35.00,2520.7,2520.7,Grain Harvest,203748,SOYBEANS
-86.17079200,40.96396955,AULT,SMITH,SMITH30,,On,-459.67,3.376,10/9/2015,Yes,814.29,34.99,34.99,13.00,1.365,35.00,2099.3,2099.3,Grain Harvest,203748,SOYBEANS
-86.17079973,40.96396938,AULT,SMITH,SMITH30,,On,-459.67,2.412,10/9/2015,Yes,814.24,22.87,22.87,13.00,1.492,35.00,1372.0,1372.0,Grain Harvest,203748,SOYBEANS
-86.17080610,40.96396947,AULT,SMITH,SMITH30,,On,-459.67,2.854,10/9/2015,Yes,814.16,34.11,34.11,13.00,1.183,35.00,2046.3,2046.3,Grain Harvest,203748,SOYBEANS
-86.17080979,40.96396945,AULT,SMITH,SMITH30,,On,-459.67,2.370,10/9/2015,Yes,814.09,53.90,53.90,13.00,0.622,35.00,3234.1,3234.1,Grain Harvest,203748,SOYBEANS
-86.17081407,40.96396918,AULT,SMITH,SMITH30,,On,-459.67,2.314,10/9/2015,Yes,814.00,58.75,58.75,13.00,0.557,35.00,3524.9,3524.9,Grain Harvest,203748,SOYBEANS
-86.17081879,40.96396881,AULT,SMITH,SMITH30,,On,-459.67,2.854,10/9/2015,Yes,813.85,49.84,49.84,13.00,0.810,35.00,2990.4,2990.4,Grain Harvest,203748,SOYBEANS
-86.17082504,40.96396820,AULT,SMITH,SMITH30,,On,-459.67,3.559,10/9/2015,Yes,813.65,50.68,50.68,13.00,0.993,35.00,3040.6,3040.6,Grain Harvest,203748,SOYBEANS
-86.17083541,40.96396737,AULT,SMITH,SMITH30,,On,-459.67,5.330,10/9/2015,Yes,813.23,46.55,46.55,13.00,1.620,35.00,2792.7,2792.7,Grain Harvest,203748,SOYBEANS
-86.17084523,40.96396697,AULT,SMITH,SMITH30,,On,-459.67,7.321,10/9/2015,Yes,812.86,59.72,59.72,13.00,1.734,35.00,3583.4,3583.4,Grain Harvest,203748,SOYBEANS
-86.17085557,40.96396693,AULT,SMITH,SMITH30,,On,-459.67,9.077,10/9/2015,Yes,812.55,73.86,73.86,13.00,1.738,35.00,4431.5,4431.5,Grain Harvest,203748,SOYBEANS
-86.17086533,40.96396703,AULT,SMITH,SMITH30,,On,-459.67,9.019,10/9/2015,Yes,812.24,73.49,73.49,13.00,1.736,35.00,4409.1,4409.1,Grain Harvest,203748,SOYBEANS
-86.17087473,40.96396722,AULT,SMITH,SMITH30,,On,-459.67,6.598,10/9/2015,Yes,812.00,53.55,53.55,13.00,1.743,35.00,3213.2,3213.2,Grain Harvest,203748,SOYBEANS
-86.17088417,40.96396731,AULT,SMITH,SMITH30,,On,-459.67,9.044,10/9/2015,Yes,811.79,73.40,73.40,13.00,1.743,35.00,4403.9,4403.9,Grain Harvest,203748,SOYBEANS
-86.17089416,40.96396750,AULT,SMITH,SMITH30,,On,-459.67,7.227,10/9/2015,Yes,811.61,54.99,54.99,13.00,1.859,35.00,3299.1,3299.1,Grain Harvest,203748,SOYBEANS
-86.17090518,40.96396790,AULT,SMITH,SMITH30,,On,-459.67,7.251,10/9/2015,Yes,811.40,51.69,51.69,13.00,1.984,35.00,3101.2,3101.2,Grain Harvest,203748,SOYBEANS
-86.17091597,40.96396817,AULT,SMITH,SMITH30,,On,-459.67,7.206,10/9/2015,Yes,811.22,51.25,51.25,13.00,1.989,35.00,3074.8,3074.8,Grain Harvest,203748,SOYBEANS
-86.17092670,40.96396869,AULT,SMITH,SMITH30,,On,-459.67,8.240,10/9/2015,Yes,811.12,56.75,56.75,13.00,2.054,35.00,3404.9,3404.9,Grain Harvest,203748,SOYBEANS
-86.17093751,40.96396937,AULT,SMITH,SMITH30,,On,-459.67,7.895,10/9/2015,Yes,811.02,54.49,54.49,13.00,2.049,35.00,3269.6,3269.6,Grain Harvest,203748,SOYBEANS
-86.17095030,40.96397061,AULT,SMITH,SMITH30,,On,-459.67,8.793,10/9/2015,Yes,810.89,51.28,51.28,13.00,2.425,35.00,3077.0,3077.0,Grain Harvest,203748,SOYBEANS
-86.17096386,40.96397220,AULT,SMITH,SMITH30,,On,-459.67,8.690,10/9/2015,Yes,810.68,49.45,49.45,13.00,2.485,35.00,2967.1,2967.1,Grain Harvest,203748,SOYBEANS
-86.17097824,40.96397394,AULT,SMITH,SMITH30,,On,-459.67,8.699,10/9/2015,Yes,810.43,45.95,45.95,13.00,2.678,35.00,2756.8,2756.8,Grain Harvest,203748,SOYBEANS
-86.17099248,40.96397540,AULT,SMITH,SMITH30,,On,-459.67,9.688,10/9/2015,Yes,810.09,51.17,51.17,13.00,2.678,35.00,3070.2,3070.2,Grain Harvest,203748,SOYBEANS
-86.17100227,40.96397624,AULT,SMITH,SMITH30,,On,-459.67,7.702,10/9/2015,Yes,810.08,55.08,55.08,13.00,1.977,35.00,3304.9,3304.9,Grain Harvest,203748,SOYBEANS
-86.17101829,40.96397761,AULT,SMITH,SMITH30,,On,-459.67,8.279,10/9/2015,Yes,809.83,38.43,38.43,13.00,3.047,35.00,2305.9,2305.9,Grain Harvest,203748,SOYBEANS
