Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.19760625,40.95522407,AULT,ZON,ZON80,,On,-459.67,0.786,10/20/2015,Yes,794.26,12.01,12.01,15.50,1.736,20.00,672.68,672.68,Grain Harvest,2010385416,CORN
-86.19760661,40.95523193,AULT,ZON,ZON80,,On,-459.67,4.365,10/20/2015,Yes,794.36,61.68,61.68,15.50,1.877,20.00,3454.0,3454.0,Grain Harvest,2010385416,CORN
-86.19760695,40.95523948,AULT,ZON,ZON80,,On,-459.67,8.908,10/20/2015,Yes,794.35,122.93,122.93,15.50,1.922,20.00,6884.1,6884.1,Grain Harvest,2010385416,CORN
-86.19760707,40.95524742,AULT,ZON,ZON80,,On,-459.67,6.486,10/20/2015,Yes,794.20,88.69,88.69,15.50,1.939,20.00,4966.6,4966.6,Grain Harvest,2010385416,CORN
-86.19760726,40.95524952,AULT,ZON,ZON80,,On,-459.67,1.983,10/20/2015,Yes,794.16,57.62,57.62,15.50,0.913,20.00,3226.7,3226.7,Grain Harvest,2010385416,CORN
-86.19762065,40.95525224,AULT,ZON,ZON80,,On,-459.67,4.266,10/20/2015,Yes,794.40,57.28,57.28,15.50,1.975,20.00,3207.6,3207.6,Grain Harvest,2010385416,CORN
-86.19762697,40.95526391,AULT,ZON,ZON80,,On,-459.67,4.932,10/20/2015,Yes,794.45,50.23,50.23,15.50,2.604,20.00,2812.6,2812.6,Grain Harvest,2010385416,CORN
-86.19763019,40.95527276,AULT,ZON,ZON80,,On,-459.67,5.650,10/20/2015,Yes,794.45,64.16,64.16,15.50,2.335,20.00,3592.8,3592.8,Grain Harvest,2010385416,CORN
-86.19763269,40.95527976,AULT,ZON,ZON80,,On,-459.67,9.061,10/20/2015,Yes,794.44,136.48,136.48,15.50,1.760,20.00,7643.1,7643.1,Grain Harvest,2010385416,CORN
-86.19763649,40.95529087,AULT,ZON,ZON80,,On,-459.67,13.25,10/20/2015,Yes,794.39,156.03,156.03,15.50,2.253,20.00,8737.8,8737.8,Grain Harvest,2010385416,CORN
-86.19764024,40.95530391,AULT,ZON,ZON80,,On,-459.67,12.11,10/20/2015,Yes,794.38,105.82,105.82,15.50,3.036,20.00,5925.9,5925.9,Grain Harvest,2010385416,CORN
-86.19764317,40.95531529,AULT,ZON,ZON80,,On,-459.67,11.49,10/20/2015,Yes,794.42,107.47,107.47,15.50,2.834,20.00,6018.3,6018.3,Grain Harvest,2010385416,CORN
-86.19764542,40.95532338,AULT,ZON,ZON80,,On,-459.67,8.990,10/20/2015,Yes,794.48,108.86,108.86,15.50,2.190,20.00,6096.4,6096.4,Grain Harvest,2010385416,CORN
-86.19764746,40.95533122,AULT,ZON,ZON80,,On,-459.67,4.909,10/20/2015,Yes,794.37,70.28,70.28,15.50,1.852,20.00,3935.7,3935.7,Grain Harvest,2010385416,CORN
-86.19764746,40.95533122,AULT,ZON,ZON80,,On,-459.67,3.175,10/20/2015,Yes,794.37,198.08,198.08,15.50,0.425,20.00,11092,11092,Grain Harvest,2010385416,CORN
-86.19759660,40.95523587,AULT,ZON,ZON80,,On,-459.67,3.997,10/20/2015,Yes,794.55,132.43,132.43,15.50,2.134,7.500,7416.2,7416.2,Grain Harvest,2010385416,CORN
-86.19758968,40.95526302,AULT,ZON,ZON80,,On,-459.67,13.64,10/20/2015,Yes,794.54,124.46,124.46,10.20,3.322,17.50,6969.5,6969.5,Grain Harvest,2010385416,CORN
-86.19758759,40.95527744,AULT,ZON,ZON80,,On,-459.67,16.61,10/20/2015,Yes,794.57,260.18,261.73,16.00,3.367,10.00,14570,14657,Grain Harvest,2010385416,CORN
-86.19758584,40.95529236,AULT,ZON,ZON80,,On,-459.67,13.83,10/20/2015,Yes,794.55,161.72,170.82,20.00,3.436,12.50,9056.2,9565.7,Grain Harvest,2010385416,CORN
-86.19758470,40.95530693,AULT,ZON,ZON80,,On,-459.67,9.352,10/20/2015,Yes,794.55,90.70,97.64,21.50,3.387,15.00,5079.4,5467.6,Grain Harvest,2010385416,CORN
-86.19758421,40.95532118,AULT,ZON,ZON80,,On,-459.67,14.04,10/20/2015,Yes,794.64,134.84,145.89,21.90,3.402,15.00,7550.9,8169.6,Grain Harvest,2010385416,CORN
-86.19758387,40.95533524,AULT,ZON,ZON80,,On,-459.67,11.80,10/20/2015,Yes,794.78,97.89,105.91,21.90,3.376,17.50,5481.9,5931.1,Grain Harvest,2010385416,CORN
-86.19758350,40.95535034,AULT,ZON,ZON80,,On,-459.67,22.19,10/20/2015,Yes,794.77,162.68,172.91,20.50,3.402,20.00,9110.1,9683.1,Grain Harvest,2010385416,CORN
-86.19758348,40.95536151,AULT,ZON,ZON80,,On,-459.67,20.71,10/20/2015,Yes,794.79,179.96,189.13,19.60,2.904,20.00,10078,10592,Grain Harvest,2010385416,CORN
-86.19758389,40.95536968,AULT,ZON,ZON80,,On,-459.67,9.802,10/20/2015,Yes,794.86,119.45,126.17,20.00,2.060,20.00,6689.3,7065.6,Grain Harvest,2010385416,CORN
-86.19758468,40.95537976,AULT,ZON,ZON80,,On,-459.67,4.685,10/20/2015,Yes,794.77,52.67,55.99,20.50,2.219,20.00,2949.7,3135.2,Grain Harvest,2010385416,CORN
-86.19758499,40.95538243,AULT,ZON,ZON80,,On,-459.67,2.466,10/20/2015,Yes,794.77,50.61,53.73,20.40,1.217,20.00,2834.3,3008.7,Grain Harvest,2010385416,CORN
-86.19759330,40.95527034,AULT,ZON,ZON80,,On,-459.67,6.894,10/20/2015,Yes,794.50,116.59,124.87,21.10,1.673,17.50,6529.3,6992.7,Grain Harvest,2010385416,CORN
-86.19755673,40.95526568,AULT,ZON,ZON80,,On,-459.67,21.45,10/20/2015,Yes,794.67,179.34,191.58,20.90,3.393,17.50,10043,10728,Grain Harvest,2010385416,CORN
-86.19751738,40.95526006,AULT,ZON,ZON80,,On,-459.67,24.35,10/20/2015,Yes,794.88,168.26,180.66,21.30,3.575,20.00,9422.4,10117,Grain Harvest,2010385416,CORN
-86.19749614,40.95525703,AULT,ZON,ZON80,,On,-459.67,24.66,10/20/2015,Yes,795.05,162.86,173.32,20.60,3.774,20.00,9120.0,9705.8,Grain Harvest,2010385416,CORN
-86.19747472,40.95525436,AULT,ZON,ZON80,,On,-459.67,25.06,10/20/2015,Yes,795.06,165.11,174.83,20.20,3.801,20.00,9246.0,9790.5,Grain Harvest,2010385416,CORN
-86.19745348,40.95525239,AULT,ZON,ZON80,,On,-459.67,24.39,10/20/2015,Yes,795.11,158.56,168.32,20.40,3.843,20.00,8879.5,9426.2,Grain Harvest,2010385416,CORN
-86.19743241,40.95525111,AULT,ZON,ZON80,,On,-459.67,23.10,10/20/2015,Yes,795.18,155.15,164.09,20.10,3.733,20.00,8688.7,9188.9,Grain Harvest,2010385416,CORN
-86.19741046,40.95525006,AULT,ZON,ZON80,,On,-459.67,20.31,10/20/2015,Yes,795.27,134.16,141.71,20.00,3.801,20.00,7513.1,7935.7,Grain Harvest,2010385416,CORN
-86.19738877,40.95524958,AULT,ZON,ZON80,,On,-459.67,21.41,10/20/2015,Yes,795.26,140.75,147.37,19.30,3.852,20.00,7881.8,8252.9,Grain Harvest,2010385416,CORN
-86.19736753,40.95524894,AULT,ZON,ZON80,,On,-459.67,22.59,10/20/2015,Yes,795.40,149.38,158.18,20.20,3.787,20.00,8365.2,8857.9,Grain Harvest,2010385416,CORN
-86.19734596,40.95524869,AULT,ZON,ZON80,,On,-459.67,25.52,10/20/2015,Yes,795.52,169.01,179.41,20.40,3.771,20.00,9464.5,10047,Grain Harvest,2010385416,CORN
-86.19732482,40.95524883,AULT,ZON,ZON80,,On,-459.67,26.84,10/20/2015,Yes,795.60,178.02,187.80,19.90,3.789,20.00,9969.3,10517,Grain Harvest,2010385416,CORN
-86.19730170,40.95524956,AULT,ZON,ZON80,,On,-459.67,28.22,10/20/2015,Yes,795.80,178.94,186.90,19.10,4.004,20.00,10020,10466,Grain Harvest,2010385416,CORN
-86.19727808,40.95525025,AULT,ZON,ZON80,,On,-459.67,29.31,10/20/2015,Yes,795.93,176.61,184.01,18.90,4.223,20.00,9890.0,10305,Grain Harvest,2010385416,CORN
-86.19725465,40.95525063,AULT,ZON,ZON80,,On,-459.67,28.33,10/20/2015,Yes,796.11,171.38,179.23,19.20,4.192,20.00,9597.3,10037,Grain Harvest,2010385416,CORN
-86.19723081,40.95525113,AULT,ZON,ZON80,,On,-459.67,28.98,10/20/2015,Yes,796.24,176.67,184.99,19.30,4.154,20.00,9893.7,10360,Grain Harvest,2010385416,CORN
-86.19720756,40.95525179,AULT,ZON,ZON80,,On,-459.67,26.00,10/20/2015,Yes,796.29,159.42,166.51,19.10,4.141,20.00,8927.6,9324.8,Grain Harvest,2010385416,CORN
-86.19718598,40.95525236,AULT,ZON,ZON80,,On,-459.67,26.99,10/20/2015,Yes,796.35,176.02,184.08,19.20,3.888,20.00,9857.3,10309,Grain Harvest,2010385416,CORN
-86.19716428,40.95525253,AULT,ZON,ZON80,,On,-459.67,28.66,10/20/2015,Yes,796.48,187.65,196.73,19.40,3.863,20.00,10508,11017,Grain Harvest,2010385416,CORN
