Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Year - Date Modified,Area Count,Air Temperature(°F),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Estimated Volume (Dry)(bu/ac),Estimated Volume (Wet)(bu/ac),Moisture(%),Speed(mph),Swath Width(ft),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),Operation - Name,Monitor - Name,Product - Name
-86.19773737,40.97577156,AULT,HOME,BEEF 60,,On,-459.67,0.382,9/26/2015,No,802.91,73.82,73.82,15.50,1.098,2.500,4134.2,4134.2,Grain Harvest,2010385416,CORN
-86.19774233,40.97576857,AULT,HOME,BEEF 60,,On,-459.67,0.693,9/26/2015,No,802.79,138.37,138.37,15.50,1.063,2.500,7749.0,7749.0,Grain Harvest,2010385416,CORN
-86.19775042,40.97576411,AULT,HOME,BEEF 60,,On,-459.67,1.745,9/26/2015,No,802.81,114.59,114.59,15.50,1.615,5.000,6417.1,6417.1,Grain Harvest,2010385416,CORN
-86.19775923,40.97575866,AULT,HOME,BEEF 60,,On,-459.67,2.030,9/26/2015,No,802.69,110.37,110.37,15.50,1.951,5.000,6180.9,6180.9,Grain Harvest,2010385416,CORN
-86.19776764,40.97575314,AULT,HOME,BEEF 60,,On,-459.67,1.885,9/26/2015,No,802.56,25.80,25.80,15.50,1.937,20.00,1444.7,1444.7,Grain Harvest,2010385416,CORN
-86.19777364,40.97574932,AULT,HOME,BEEF 60,,On,-459.67,1.786,9/26/2015,No,802.50,30.51,30.51,15.50,1.552,20.00,1708.6,1708.6,Grain Harvest,2010385416,CORN
-86.19777818,40.97574645,AULT,HOME,BEEF 60,,On,-459.67,1.672,9/26/2015,No,802.45,40.37,40.37,15.50,1.098,20.00,2261.0,2261.0,Grain Harvest,2010385416,CORN
-86.19778185,40.97574400,AULT,HOME,BEEF 60,,On,-459.67,1.294,9/26/2015,No,802.40,46.91,46.91,15.50,0.731,20.00,2627.1,2627.1,Grain Harvest,2010385416,CORN
-86.19775645,40.97576646,AULT,HOME,BEEF 60,,On,-459.67,0.082,9/26/2015,No,802.90,17.30,17.30,15.50,1.002,2.500,968.79,968.79,Grain Harvest,2010385416,CORN
-86.19775903,40.97575972,AULT,HOME,BEEF 60,,On,-459.67,1.595,9/26/2015,No,802.95,106.49,106.49,15.50,1.588,5.000,5963.6,5963.6,Grain Harvest,2010385416,CORN
-86.19776194,40.97574986,AULT,HOME,BEEF 60,,On,-459.67,2.999,9/26/2015,No,802.93,36.46,36.46,15.50,2.181,20.00,2041.6,2041.6,Grain Harvest,2010385416,CORN
-86.19776408,40.97574035,AULT,HOME,BEEF 60,,On,-459.67,5.175,9/26/2015,No,802.93,168.65,168.65,15.50,2.170,7.500,9444.5,9444.5,Grain Harvest,2010385416,CORN
-86.19776586,40.97573078,AULT,HOME,BEEF 60,,On,-459.67,7.720,9/26/2015,No,802.94,93.57,93.57,15.50,2.188,20.00,5240.2,5240.2,Grain Harvest,2010385416,CORN
-86.19776740,40.97571991,AULT,HOME,BEEF 60,,On,-459.67,10.79,9/26/2015,No,802.84,123.91,123.91,15.50,2.309,20.00,6938.8,6938.8,Grain Harvest,2010385416,CORN
-86.19776838,40.97570967,AULT,HOME,BEEF 60,,On,-459.67,13.36,9/26/2015,No,802.81,153.92,153.92,15.50,2.302,20.00,8619.5,8619.5,Grain Harvest,2010385416,CORN
-86.19776856,40.97569881,AULT,HOME,BEEF 60,,On,-459.67,15.96,9/26/2015,No,802.68,180.76,180.76,15.50,2.342,20.00,10123,10123,Grain Harvest,2010385416,CORN
-86.19776894,40.97568888,AULT,HOME,BEEF 60,,On,-459.67,17.62,9/26/2015,No,802.66,202.42,202.42,10.70,2.309,20.00,11335,11335,Grain Harvest,2010385416,CORN
-86.19776889,40.97567831,AULT,HOME,BEEF 60,,On,-459.67,16.87,9/26/2015,No,802.58,186.73,193.36,18.40,2.313,20.00,10457,10828,Grain Harvest,2010385416,CORN
-86.19776868,40.97566803,AULT,HOME,BEEF 60,,On,-459.67,22.19,9/26/2015,No,802.55,233.89,250.49,21.10,2.349,20.00,13098,14027,Grain Harvest,2010385416,CORN
-86.19776827,40.97565799,AULT,HOME,BEEF 60,,On,-459.67,21.94,9/26/2015,No,802.51,228.26,245.09,21.30,2.373,20.00,12783,13725,Grain Harvest,2010385416,CORN
-86.19776797,40.97564810,AULT,HOME,BEEF 60,,On,-459.67,21.24,9/26/2015,No,802.52,230.60,244.18,20.20,2.306,20.00,12914,13674,Grain Harvest,2010385416,CORN
-86.19776740,40.97563797,AULT,HOME,BEEF 60,,On,-459.67,22.17,9/26/2015,No,802.49,237.32,251.30,20.20,2.340,20.00,13290,14073,Grain Harvest,2010385416,CORN
-86.19776710,40.97562802,AULT,HOME,BEEF 60,,On,-459.67,21.90,9/26/2015,No,802.44,233.58,247.96,20.40,2.342,20.00,13081,13886,Grain Harvest,2010385416,CORN
-86.19776701,40.97561821,AULT,HOME,BEEF 60,,On,-459.67,20.58,9/26/2015,No,802.43,220.26,233.23,20.20,2.340,20.00,12335,13061,Grain Harvest,2010385416,CORN
-86.19776669,40.97560809,AULT,HOME,BEEF 60,,On,-459.67,21.61,9/26/2015,No,802.46,230.44,244.01,20.20,2.349,20.00,12905,13665,Grain Harvest,2010385416,CORN
-86.19776634,40.97559808,AULT,HOME,BEEF 60,,On,-459.67,22.40,9/26/2015,No,802.49,239.50,256.82,21.20,2.313,20.00,13412,14382,Grain Harvest,2010385416,CORN
-86.19776608,40.97558828,AULT,HOME,BEEF 60,,On,-459.67,22.10,9/26/2015,No,802.55,232.77,250.25,21.40,2.342,20.00,13035,14014,Grain Harvest,2010385416,CORN
-86.19776582,40.97557750,AULT,HOME,BEEF 60,,On,-459.67,23.38,9/26/2015,No,802.62,235.95,251.74,20.80,2.463,20.00,13213,14097,Grain Harvest,2010385416,CORN
-86.19776564,40.97556714,AULT,HOME,BEEF 60,,On,-459.67,24.21,9/26/2015,No,802.72,238.85,254.84,20.80,2.519,20.00,13376,14271,Grain Harvest,2010385416,CORN
-86.19776540,40.97555623,AULT,HOME,BEEF 60,,On,-459.67,22.49,9/26/2015,No,802.83,221.72,235.96,20.60,2.528,20.00,12416,13214,Grain Harvest,2010385416,CORN
-86.19776548,40.97554554,AULT,HOME,BEEF 60,,On,-459.67,22.93,9/26/2015,No,802.87,227.19,241.18,20.40,2.521,20.00,12723,13506,Grain Harvest,2010385416,CORN
-86.19776578,40.97553522,AULT,HOME,BEEF 60,,On,-459.67,23.45,9/26/2015,No,803.03,230.75,245.57,20.60,2.532,20.00,12922,13752,Grain Harvest,2010385416,CORN
-86.19776581,40.97552419,AULT,HOME,BEEF 60,,On,-459.67,22.97,9/26/2015,No,803.12,224.59,238.42,20.40,2.555,20.00,12577,13351,Grain Harvest,2010385416,CORN
-86.19776593,40.97551250,AULT,HOME,BEEF 60,,On,-459.67,24.24,9/26/2015,No,803.26,229.28,244.93,20.90,2.624,20.00,12840,13716,Grain Harvest,2010385416,CORN
-86.19776598,40.97550029,AULT,HOME,BEEF 60,,On,-459.67,24.58,9/26/2015,No,803.39,215.66,230.67,21.00,2.825,20.00,12077,12918,Grain Harvest,2010385416,CORN
-86.19776573,40.97548743,AULT,HOME,BEEF 60,,On,-459.67,25.94,9/26/2015,No,803.56,218.26,231.69,20.40,2.968,20.00,12222,12975,Grain Harvest,2010385416,CORN
-86.19776593,40.97547474,AULT,HOME,BEEF 60,,On,-459.67,25.50,9/26/2015,No,803.74,213.84,226.43,20.20,2.986,20.00,11975,12680,Grain Harvest,2010385416,CORN
-86.19776628,40.97546136,AULT,HOME,BEEF 60,,On,-459.67,25.28,9/26/2015,No,803.87,205.28,218.74,20.70,3.065,20.00,11496,12249,Grain Harvest,2010385416,CORN
-86.19776656,40.97544822,AULT,HOME,BEEF 60,,On,-459.67,26.47,9/26/2015,No,804.02,212.94,226.05,20.40,3.105,20.00,11925,12659,Grain Harvest,2010385416,CORN
-86.19776693,40.97543485,AULT,HOME,BEEF 60,,On,-459.67,24.82,9/26/2015,No,804.19,200.11,212.16,20.30,3.103,20.00,11206,11881,Grain Harvest,2010385416,CORN
-86.19776700,40.97542124,AULT,HOME,BEEF 60,,On,-459.67,22.97,9/26/2015,No,804.29,184.71,195.59,20.20,3.114,20.00,10344,10953,Grain Harvest,2010385416,CORN
-86.19776728,40.97540781,AULT,HOME,BEEF 60,,On,-459.67,24.99,9/26/2015,No,804.37,202.52,212.32,19.40,3.121,20.00,11341,11890,Grain Harvest,2010385416,CORN
-86.19776753,40.97539439,AULT,HOME,BEEF 60,,On,-459.67,23.85,9/26/2015,No,804.45,194.59,203.25,19.10,3.112,20.00,10897,11382,Grain Harvest,2010385416,CORN
-86.19776799,40.97538090,AULT,HOME,BEEF 60,,On,-459.67,22.20,9/26/2015,No,804.53,179.14,187.57,19.30,3.138,20.00,10032,10504,Grain Harvest,2010385416,CORN
-86.19776842,40.97536719,AULT,HOME,BEEF 60,,On,-459.67,19.27,9/26/2015,No,804.49,157.72,164.94,19.20,3.098,20.00,8832.3,9236.8,Grain Harvest,2010385416,CORN
-86.19776892,40.97535341,AULT,HOME,BEEF 60,,On,-459.67,21.02,9/26/2015,No,804.50,171.62,178.59,18.80,3.121,20.00,9610.6,10001,Grain Harvest,2010385416,CORN
-86.19776947,40.97533977,AULT,HOME,BEEF 60,,On,-459.67,20.11,9/26/2015,No,804.46,165.45,170.28,17.90,3.132,20.00,9264.9,9535.8,Grain Harvest,2010385416,CORN
-86.19776968,40.97532613,AULT,HOME,BEEF 60,,On,-459.67,18.15,9/26/2015,No,804.41,150.85,154.88,17.70,3.107,20.00,8447.4,8673.2,Grain Harvest,2010385416,CORN
-86.19777013,40.97531370,AULT,HOME,BEEF 60,,On,-459.67,19.92,9/26/2015,No,804.34,176.58,181.52,17.80,2.910,20.00,9888.5,10165,Grain Harvest,2010385416,CORN
-86.19777066,40.97530333,AULT,HOME,BEEF 60,,On,-459.67,21.61,9/26/2015,No,804.32,222.81,228.49,17.60,2.508,20.00,12477,12795,Grain Harvest,2010385416,CORN
-86.19777117,40.97529244,AULT,HOME,BEEF 60,,On,-459.67,23.25,9/26/2015,No,804.26,240.95,247.69,17.80,2.490,20.00,13493,13871,Grain Harvest,2010385416,CORN
-86.19777184,40.97528151,AULT,HOME,BEEF 60,,On,-459.67,21.41,9/26/2015,No,804.16,221.38,227.85,17.90,2.492,20.00,12397,12760,Grain Harvest,2010385416,CORN
-86.19777248,40.97527063,AULT,HOME,BEEF 60,,On,-459.67,24.43,9/26/2015,No,804.13,252.79,259.55,17.70,2.496,20.00,14156,14535,Grain Harvest,2010385416,CORN
-86.19777316,40.97525979,AULT,HOME,BEEF 60,,On,-459.67,23.91,9/26/2015,No,804.01,242.85,250.86,18.20,2.528,20.00,13599,14048,Grain Harvest,2010385416,CORN
-86.19777367,40.97524869,AULT,HOME,BEEF 60,,On,-459.67,21.88,9/26/2015,No,803.91,225.41,232.85,18.20,2.492,20.00,12623,13040,Grain Harvest,2010385416,CORN
-86.19777399,40.97523750,AULT,HOME,BEEF 60,,On,-459.67,24.12,9/26/2015,No,803.79,243.86,253.46,18.70,2.523,20.00,13656,14194,Grain Harvest,2010385416,CORN
-86.19777418,40.97522652,AULT,HOME,BEEF 60,,On,-459.67,23.64,9/26/2015,No,803.65,239.56,251.15,19.40,2.496,20.00,13415,14064,Grain Harvest,2010385416,CORN
-86.19777451,40.97521568,AULT,HOME,BEEF 60,,On,-459.67,22.97,9/26/2015,No,803.51,229.38,241.38,19.70,2.523,20.00,12845,13517,Grain Harvest,2010385416,CORN
-86.19777484,40.97520469,AULT,HOME,BEEF 60,,On,-459.67,21.76,9/26/2015,No,803.30,221.29,231.71,19.30,2.490,20.00,12392,12976,Grain Harvest,2010385416,CORN
